din	from	din	from	ADP;ACC	
care	kimler	care	kim	PRO;3	
care	who	care	who	PRO;3	
care	kim	care	kim	PRO;3	PRO;NOM;SG;3
care	hangi	care	hangi	PRO;3	ADJ
care	hangisi	care	hangi	PRO;3	
mai	mai	mai	mai	ADV	
mai	devamı	mai	devam	ADV	
mai	more	mai	more	ADV	
pentru	icin	pentru	icin	ADP;ACC	
pentru	için	pentru	için	ADP;ACC	
lui	lui	el	li	PRO;3	
lui	onunki	el	onunki	PRO;3	
lui	onun	el	o	PRO;3	PRO;GEN;SG;3
după	sonrası	după	sonra	ADP;ACC	
după	ardından	după	ardından	ADP;ACC	ADV
după	sonrasında	după	sonra	ADP;ACC	N;ESS;SG;3
după	sonra	după	sonra	ADP;ACC	ADV
ale	bira	al	bira	DET;FEM;PL	
prin	aracılığıyla	prin	aracılık	ADP;ACC	N;INS;SG;3
prin	yoluyla	prin	yol	ADP;ACC	N;INS;SG;3
prin	geçerek	prin	geç	ADP;ACC	V;PFV;IND;POS;PRS;V.CVB
regiunea	bölge	regiune	bölge	N;DEF;FEM;SG	
regiunea	bölgede	regiune	bölge	N;DEF;FEM;SG	N;ESS;SG;3
regiunea	bölgesi	regiune	bölge	N;DEF;FEM;SG	N;NOM;SG;3
mare	harika	mare	harik	ADJ;INDF;MASC;SG	
mare	big	mare	big	ADJ;INDF;MASC;SG	
mare	buyuk	mare	buyuk	ADJ;INDF;MASC;SG	
mare	büyük	mare	büyük	ADJ;INDF;MASC;SG	
mare	kocaman	mare	kocaman	ADJ;INDF;MASC;SG	
mare	deniz	mare	deniz	ADJ;INDF;MASC;SG	
anul	yıl	an	yıl	N;DEF;MASC;SG	
anul	yılı	an	yıl	N;DEF;MASC;SG	
anul	sene	an	sene	N;DEF;MASC;SG	
comună	yaygın	comun	yaygın	ADJ;INDF;FEM;SG	
externe	harici	extern	harici	ADJ;INDF;FEM;PL	
legături	bağlar	legătură	bağla	N;INDF;FEM;PL	
legături	bağlar	legătură	bağla	N;INDF;FEM;PL	
vezi	gör	vedea	gör	V;IND;SG;2;PRS;FIN	V;PFV;IMP;SG;2;POS;PRS
vezi	görün	vedea	görün	V;IND;SG;2;PRS;FIN	V;PFV;IMP;PL;2;POS;PRS
dar	fakat	dar	fakat	CONJ;POS	
cod	şifre	cod	şifre		N;NOM;SG;3
cod	morina	cod	morina		N;NOM;SG;3
populație	nüfusu	populație	nüfus	N;INDF;FEM;SG	N;ACC;SG;3
populație	nüfus	populație	nüfus	N;INDF;FEM;SG	
bucurești	bükreş	bucuresc	bükreş	PROPN	PROPN;NOM;SG;3
bucurești	bucurești	bucuresc	bucurezt	PROPN	
fiind	olmak	fi	ol	V;V.MSDR	V;PFV;NOM;IND;POS;PRS;V.MSDR
românia	romanya	românia	romanya	PROPN	PROPN;NOM;SG;3
jpg	jpg	jpg	jpg	N	
lista	liste	listă	lis	N;DEF;FEM;SG	
lista	listesi	listă	liste	N;DEF;FEM;SG	N;NOM;SG;3
lista	listeyi	listă	liste	N;DEF;FEM;SG	N;ACC;SG;3
ucraina	ukrayna	ucraina	ukra	PROPN	PROPN;NOM;SG;3
nume	adın	nume	ad	N;INDF	
ani	ani	an	ani	N;INDF;MASC;PL	
ani	anı	an	an	N;INDF;MASC;PL	
ani	yıllarca	an	yıllarca	N;INDF;MASC;PL	ADV
ani	yıllardır	an	yıl	N;INDF;MASC;PL	V;IPFV;IND;PL;3;POS
ani	seneler	an	sene	N;INDF;MASC;PL	
avea	vardı	avea	var	V;IND;SG;3;IPFV;FIN	V;PFV;IND;SG;3;POS;PST
între	arasında	între	ara	ADP;ACC	ADJ;ESS;SG;3
între	arasına	între	ara	ADP;ACC	ADJ;DAT;SG;3
între	arası	între	ara	ADP;ACC	ADJ;NOM;SG;3
între	arasındaki	între	ara	ADP;ACC	ADJ;ESS;SG;3
comuna	belediye	comună	beledi	N;DEF;FEM;SG	
comuna	belediyesi	comună	belediye	N;DEF;FEM;SG	
comuna	belediyeye	comună	belediye	N;DEF;FEM;SG	N;DAT;SG;3
comuna	yaygın	comună	yaygın	N;DEF;FEM;SG	
două	iki	doi	iki	NUM;FEM;PL	
rege	kral	rege	kral	N;INDF;MASC;SG	
rege	king	rege	king	N;INDF;MASC;SG	
sub	altında	sub	alt	ADP;ACC	ADJ;ESS;SG;3
sub	altinda	sub	alt	ADP;ACC	ADJ;ESS;SG;3
sub	altına	sub	alt	ADP;ACC	ADJ;DAT;SG;3
alte	diğer	alt	diğer	DET;FEM;PL;3	ADJ
alte	diğeri	alt	diğer	DET;FEM;PL;3	N;NOM;SG;3
alte	öteki	alt	öteki	DET;FEM;PL;3	
alte	diger	alt	diger	DET;FEM;PL;3	
regiune	bölge	regiune	bölge	N;INDF;FEM;SG	
regiune	bölgede	regiune	bölge	N;INDF;FEM;SG	N;ESS;SG;3
regiune	bölgesi	regiune	bölge	N;INDF;FEM;SG	N;NOM;SG;3
anii	yıllarca	an	yıllarca	N;DEF;MASC;PL	ADV
anii	yıllardır	an	yıl	N;DEF;MASC;PL	V;IPFV;IND;PL;3;POS
anii	yıllar	an	yıl	N;DEF;MASC;PL	N;NOM;PL;3
anii	yılların	an	yıl	N;DEF;MASC;PL	N;GEN;PL;3
anii	seneler	an	sene	N;DEF;MASC;PL	
parte	kısım	parte	kısım	N;INDF;FEM;SG	
parte	parçası	parte	parça	N;INDF;FEM;SG	N;NOM;SG;3
parte	bölüm	parte	bölüm	N;INDF;FEM;SG	
parte	part	parte	part	N;INDF;FEM;SG	
parte	kısmen	parte	kısmen	N;INDF;FEM;SG	
județul	şehristanı	județ	şehristan	N;DEF;MASC;SG	N;NOM;SG;3
