間	przerwa	間	przerwa	N	
海岸	brzegowej	海岸	brzegowy	N	ADJ;GEN;FEM;SG
擢	mew	擢	mewić	N	
詩歌	poezji	詩歌	poezja	N	
詩歌	poezja	詩歌	poezja	N	
流失	odpływ	流失	odpływ	V	N;NOM;MASC;SG
流失	odpływu	流失	odpływ	V	N;GEN;MASC;SG
流失	odpływ	流失	odpływ	V	N;NOM;MASC;SG
流失	drenaż	流失	drenaż	V	N;NOM;MASC;SG
正	plac	正	plac	PART	N;NOM;MASC;SG
正	kwadrat	正	kwadrat	PART	N;NOM;MASC;SG
正	kwadratowy	正	kwadratowy	PART	ADJ;NOM;MASC;SG
正	square	正	squary	PART	
正	kwadratowe	正	kwadratowy	PART	ADJ;NOM;NEUT;SG
保守	konserwatyści	保守	konserwatyść	ADJ	N;NOM;MASC;PL
判刑	skazany	判刑	skazać	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
判刑	skazana	判刑	skazać	V	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
判刑	skazani	判刑	skazać	V	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
判刑	wyroki	判刑	wyrok	V	N;NOM;MASC;PL
判刑	zdania	判刑	zdanie	V	N;NOM;NEUT;PL
判刑	wyrok	判刑	wyrok	V	N;NOM;MASC;SG
判刑	zdanie	判刑	zdanie	V	N;NOM;NEUT;SG
判刑	zdania	判刑	zdanie	V	N;NOM;NEUT;PL
剪輯	montaż	剪輯	montaż	N	
灶	piece	灶	piec	N	
氯化	chlorek	氯化	chlorek	V	N;NOM;MASC;SG
印度	hinduizm	印度	hinduizm	PROPN	N;NOM;MASC;SG
印度	hindu	印度	hind	PROPN	
短	niedobory	短	niedobory	ADJ	N;NOM;MASC;PL
短	niedobór	短	niedobór	ADJ	N;NOM;MASC;SG
短	niedobór	短	niedobór	ADJ	N;NOM;MASC;SG
音節	syla	音節	syla	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
傻	głupie	傻	głupi		V;IPFV;IND;SG;FIN;ACT
傻	głupi	傻	głupi		V;IPFV;IND;SG;PST;FIN;ACT
傻	głupie	傻	głupi		V;IPFV;IND;SG;FIN;ACT
跳躍	skok	跳躍	skok	V	N;NOM;MASC;SG
跳躍	skok	跳躍	skok	V	N;NOM;MASC;SG
跳躍	skok	跳躍	skok	V	N;NOM;MASC;SG
跳躍	skoki	跳躍	skok	V	N;NOM;MASC;PL
測驗	próby	測驗	próba	N	
伯德	ptaka	伯德	ptak	PROPN	N;ACC;MASC;SG
伯德	ptak	伯德	ptak	PROPN	N;NOM;MASC;SG
伯德	bird	伯德	bird	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
伯德	ptaszek	伯德	ptaszek	PROPN	N;NOM;MASC;SG
峽谷	canyon	峽谷	canyon	N	
傳聞	pogłoski	傳聞	pogłoski	N	
飼養	hodowlane	飼養	hodowlany	V	ADJ;NOM;NEUT;SG
飼養	hodowla	飼養	hodowle	V	N;NOM;FEM;SG
飼養	hodowli	飼養	hodowne	V	N;GEN;FEM;SG
飼養	hodowlanych	飼養	hodowlany	V	ADJ;GEN;MASC;PL
吞吐	przepustowość	吞吐	przepustowość	V	N;NOM;FEM;SG
液體	cieczy	液體	ciecz	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
液體	płynny	液體	płynny	N	ADJ;NOM;MASC;SG
液體	płynne	液體	płynny	N	
信念	wierze	信念	wierzyć	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
信念	faith	信念	faith	N	
槍擊	strzelać	槍擊	strzelać	N	V;IPFV;NFIN;ACT
荷馬	homer	荷馬	homer	PROPN	N;NOM;MASC;SG
荷馬	homera	荷馬	homer	PROPN	N;ACC;MASC;SG
墓碑	tombstone	墓碑	tombstony	N	
彈頭	kula	彈頭	kula	N	
彈頭	kulka	彈頭	kulka	N	
內心	wewnątrz	內心	wewnątrz	N	
內心	wewnętrzny	內心	wewnętrzny	N	ADJ;NOM;MASC;SG
內心	wewnętrzna	內心	wewnętrzny	N	ADJ;NOM;FEM;SG
新鮮	świeżo	新鮮	świeżo	N	ADV
新鮮	świeże	新鮮	świeży	N	ADJ;NOM;NEUT;SG
新鮮	świeża	新鮮	świeży	N	ADJ;NOM;FEM;SG
新鮮	świeży	新鮮	świeży	N	
畏	angst	畏	angst	N	
沼澤	bagna	沼澤	bagny	N	
沼澤	bagna	沼澤	bagny	N	
沼澤	marsh	沼澤	marsh	N	PROPN;NOM;MASC;SG
沼澤	bog	沼澤	bog	N	V;IPFV;MASC;IND;SG;PST;FIN;ACT
直立	pionowo	直立	pionowo	N	ADV
圍攻	oblężenie	圍攻	oblężenie	V	N;NOM;NEUT;SG
幻影	phantom	幻影	phant	N	
幻影	widmo	幻影	widmo	N	
幻影	mirage	幻影	miraga	N	
氟化	fluorek	氟化	fluorek		N;NOM;MASC;SG
遙遠	daleki	遙遠	daleki		ADJ;NOM;MASC;SG
遙遠	odległy	遙遠	odlec		V;PFV;MASC;IND;SG;PST;FIN;ACT
遙遠	dalekie	遙遠	daleki		ADJ;NOM;NEUT;SG
遙遠	odległ	遙遠	odlec		V;PFV;MASC;IND;SG;PST;FIN;ACT
各式	różne	各式	różny	N	ADJ;NOM;NEUT;SG
牛肉	wołowiny	牛肉	wołowiny	N	
牛肉	wołowina	牛肉	wołowina	N	
狩獵	łowy	狩獵	łowa	V	
狩獵	hunt	狩獵	hunt	V	
狩獵	polowanie	狩獵	polować	V	N;NOM;NEUT;SG
狩獵	polowania	狩獵	polowanie	V	N;NOM;NEUT;SG
狩獵	polowanie	狩獵	polować	V	N;NOM;NEUT;SG
等	czeka	等	czekać	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
等	czekamy	等	czekać	N	V;IPFV;IND;PL;1;PRS;FIN;ACT
等	czekam	等	czekać	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
軌跡	locus	軌跡	locus	N	V;IPFV;IND;SG;PRS;FIN;ACT
滴	rzuć	滴	rzuć	N	V;PFV;IMP;SG;2;FIN;ACT
昏迷	śpiączce	昏迷	śpiączka	V	N;DAT;FEM;SG
昏迷	śpiączka	昏迷	śpiączka	V	N;NOM;FEM;SG
微型	miniaturowe	微型	miniaturowy	N	ADJ;NOM;NEUT;SG
微型	mikro	微型	mikro	N	
海豹	foki	海豹	foki	PROPN	
海豹	fok	海豹	fok	PROPN	
海豹	pieczęć	海豹	pieczęć	PROPN	N;NOM;FEM;SG
大廳	hala	大廳	hala	N	
大廳	hall	大廳	hall	N	
大廳	lobby	大廳	lobby	N	
斯德哥爾摩	sztokholmu	斯德哥爾摩	sztokholm	PROPN	N;GEN;MASC;SG
斯德哥爾摩	sztokholmie	斯德哥爾摩	sztokholm	PROPN	N;ACC;MASC;SG
岩	iwate	岩	iwata	N	
日誌	journal	日誌	journal	N	
日誌	log	日誌	log	N	V;IPFV;IMP;SG;2;FIN;ACT
喊	krzycz	喊	krzycz		V;IPFV;IMP;SG;2;FIN;ACT
喊	krzyczeć	喊	krzyczeć		V;IPFV;NFIN;ACT
喊	krzycz	喊	krzycz		V;IPFV;IMP;SG;2;FIN;ACT
喊	krzyk	喊	krzyk		N;NOM;MASC;SG
基準	bazowy	基準	bazowy	N	ADJ;NOM;MASC;SG
總和	sum	總和	suma	N	
總和	sumy	總和	suma	N	
石窟	nikra	石窟	nikrać	N	
著	autorstwo	著	autorstwo	PART;PROG	N;NOM;NEUT;SG
著	autorskie	著	autorski	PART;PROG	ADJ;NOM;NEUT;SG
安	abe	安	abe	PROPN	PROPN;NOM;MASC;SG
放射	radiologii	放射	radiologia	V	N;GEN;FEM;SG
放射	radioaktywności	放射	radioaktywność	V	N;GEN;FEM;SG
放射	promieniowanie	放射	promieniować	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
放射	promieniowania	放射	promieniować	V	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
放射	radioaktywne	放射	radioaktywny	V	ADJ;NOM;NEUT;SG
放射	radioaktywny	放射	radioaktywny	V	ADJ;NOM;MASC;SG
小	młode	小	młody	PART	ADJ;NOM;NEUT;SG
摩擦	rub	摩擦	rub	V	
摩擦	pocieranie	摩擦	pocierać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
摩擦	tarcia	摩擦	tarcia	V	
