valoroase	قيمة	valoros	قِيمَة	ADJ;INDF;FEM;PL	N;NOM;INDF;SG
reclamă	التجاري	reclama	تِجَارِيّ	N;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
reclamă	تجاري	reclama	تِجَارِيّ	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
reclamă	تجارية	reclama	تِجَارِيّ	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
reclamă	الدعاية	reclama	دِعَايَة	N;INDF;FEM;SG	N;NOM;DEF;SG
reclamă	الاعلانات	reclama	إِعلَان	N;INDF;FEM;SG	N;NOM;DEF;PL
reclamă	الاعلان	reclama	إِعلَان	N;INDF;FEM;SG	N;NOM;DEF;SG
reclamă	اعلان	reclama	إِعلَان	N;INDF;FEM;SG	N;NOM;INDF;SG
reclamă	اعلانات	reclama	إِعلَان	N;INDF;FEM;SG	N;NOM;INDF;PL
merite	الجدارة	merit	جِدَارَة	N;INDF;FEM;PL	N;NOM;DEF;SG
merite	الاستحقاق	merit	اِستِحقَاق	N;INDF;FEM;PL	N;NOM;DEF;SG
merite	استحقاق	merit	اِستِحقَاق	N;INDF;FEM;PL	N;NOM;INDF;SG
merite	جدارة	merit	جَدَارَة	N;INDF;FEM;PL	N;NOM;INDF;SG
tong	تونغ	tong	تونغ	PROPN	
comunicații	الاتصالات	comunicație	اِتِّصَال	N;INDF;FEM;PL	N;NOM;DEF;PL
comunicații	البلاغات	comunicație	بَلَاغَة	N;INDF;FEM;PL	N;NOM;DEF;PL
manga	المانجا	manga	مَانجَا		
electorală	انتخابية	electoral	اِنتِخَابِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
marketing	التسويق	marketing	تَسوِيق	N;INDF;MASC;SG	N;NOM;DEF;SG
declara	نعلن	declara	نعلن	V;IND;SG;3;IPFV;FIN	
montreal	مونتريال	montreal	مُونترِيَال	PROPN	
scade	تخفيض	scădea	تَخفِيض	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
