tennessee	теннесси	tennessa	теннесси	ADV	N;INAN;NOM;MASC;SG
techniku	техника	technik	техника	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
raymond	рэймонд	raymond	рэймонд	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
raymond	реймонд	raymond	реймонд	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
public	публичные	publica	публичный	N;NOM;FEM;SG	ADJ;NOM;PL
prijatá	получено	prijatý	получить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
prijatá	получен	prijatý	получить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
prijatá	полученная	prijatý	получить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
prijatá	полученные	prijatý	получить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
prijatá	получены	prijatý	получить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
prijatá	принят	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
prijatá	принята	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
prijatá	приняты	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
prijatá	принято	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
prijatá	признала	prijatý	признать	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
prijatá	признал	prijatý	признать	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
prijatá	принято	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
prijatá	принята	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
prijatá	принятый	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
prijatá	принят	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
prijatá	принятые	prijatý	принять	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
joan	джоан	joan	джоан	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
rozhodnuté	решен	rozhodnutý	решить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
rozhodnuté	разрешен	rozhodnutý	разрешить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
rozhodnuté	решена	rozhodnutý	решить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
rozhodnuté	решило	rozhodnutý	решить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NEUT;IND;SG;PST;FIN;ACT
rozhodnuté	решила	rozhodnutý	решить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
