что	o	что	o	PRO;NOM	DET
как	como	как	como	CONJ	PRO
как	que	как	que	CONJ	PRO
как	canto	как	canto	CONJ	PRO
как	como	как	como	CONJ	PRO
как	como	как	como	CONJ	PRO
как	así	как	así	CONJ	ADV
был	era	быть	ser	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V
был	estaba	быть	estar	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V
его	o	он	o	PRO;ACC;MASC;SG;3	DET
его	seu	он	seu	PRO;ACC;MASC;SG;3	DET
его	súa	он	seu	PRO;ACC;MASC;SG;3	DET
его	seus	он	seu	PRO;ACC;MASC;SG;3	DET
его	a	он	o	PRO;ACC;MASC;SG;3	DET
его	o	он	o	PRO;ACC;MASC;SG;3	DET
это	esta	это	este	PRO;INAN;NOM;NEUT;SG	DET
это	este	это	este	PRO;INAN;NOM;NEUT;SG	DET
это	é	это	ser	PRO;INAN;NOM;NEUT;SG	V
после	despois	после	despois	ADP	ADV
после	logo	после	logo	ADP	ADV
было	era	быть	ser	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V
было	estaba	быть	estar	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V
была	foi	быть	ser	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V
так	que	так	que	ADV	PRO
место	sobre	место	sobre	N;INAN;NOM;NEUT;SG	ADP
были	estaban	быть	estar	V;IPFV;IND;PL;PST;FIN;ACT	V
район	fiscal	район	fiscal	N;INAN;NOM;MASC;SG	ADJ
район	do	район	do	N;INAN;NOM;MASC;SG	PROPN
под	debaixo	под	debaixo	ADP	ADV
только	único	только	único	PART	ADJ
только	só	только	só	PART	ADV
только	única	только	único	PART	ADJ
только	de	только	de	PART	ADP
только	só	только	só	PART	ADV
есть	que	быть	que	V;IPFV;IND;SG;3;PRS;FIN;ACT	PRO
язык	a	язык	o	N;INAN;NOM;MASC;SG	DET
код	code	код	coder	N;INAN;NOM;MASC;SG	PROPN
мая	poden	май	poder	N;INAN;GEN;MASC;SG	V
мая	pode	май	poder	N;INAN;GEN;MASC;SG	V
мая	que	май	que	N;INAN;GEN;MASC;SG	PRO
мая	podo	май	podar	N;INAN;GEN;MASC;SG	V
дата	a	дата	o	N;INAN;NOM;FEM;SG	DET
ноября	de	ноябрь	de	N;INAN;GEN;MASC;SG	ADP
деревня	da	деревня	da	N;INAN;NOM;FEM;SG	V
где	onde	где	onde	ADV	PRO
января	de	январь	de	N;INAN;GEN;MASC;SG	ADP
марта	de	март	de	N;INAN;GEN;MASC;SG	ADP
все	todo	все	todo	PRO;INAN;NOM;NEUT;SG	DET
все	o	все	o	PRO;INAN;NOM;NEUT;SG	DET
все	todo	все	todo	PRO;INAN;NOM;NEUT;SG	DET
все	todos	все	todo	PRO;INAN;NOM;NEUT;SG	DET
все	todas	все	todo	PRO;INAN;NOM;NEUT;SG	DET
все	todo	все	todo	PRO;INAN;NOM;NEUT;SG	DET
все	o	все	o	PRO;INAN;NOM;NEUT;SG	DET
все	mundo	все	mundo	PRO;INAN;NOM;NEUT;SG	N
все	todos	все	todo	PRO;INAN;NOM;NEUT;SG	DET
августа	de	август	de	N;INAN;GEN;MASC;SG	ADP
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	PROPN
октября	de	октябрь	de	N;INAN;GEN;MASC;SG	ADP
сентября	de	сентябрь	de	N;INAN;GEN;MASC;SG	ADP
апреля	de	апрель	de	N;INAN;GEN;MASC;SG	ADP
сша	eua	сшать	eua	N;INAN;NOM;PL	PROPN
название	se	название	se	N;INAN;NOM;NEUT;SG	CONJ
человек	alguén	человек	alguén	N;ANIM;NOM;MASC;SG	PRO
человек	humanos	человек	humano	N;ANIM;NOM;MASC;SG	ADJ
человек	humana	человек	humano	N;ANIM;NOM;MASC;SG	ADJ
человек	humano	человек	humano	N;ANIM;NOM;MASC;SG	ADJ
человек	meu	человек	meu	N;ANIM;NOM;MASC;SG	DET
февраля	de	февраль	de	N;INAN;GEN;MASC;SG	ADP
города	city	город	city	N;INAN;NOM;MASC;PL	PROPN
города	da	город	da	N;INAN;NOM;MASC;PL	V
города	nas	город	nas	N;INAN;NOM;MASC;PL	PROPN
может	se	мочь	se	V;IPFV;IND;SG;3;PRS;FIN;ACT	CONJ
может	cadra	мочь	cadra	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	quizais	мочь	quizais	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	talvez	мочь	talvez	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
