par	pour	par	pour		ADP
gada	annuelle	gads	annuel	N;GEN;MASC;SG	ADJ;FEM;SG
gada	annuels	gads	annuel	N;GEN;MASC;SG	ADJ;MASC;PL
gada	annuel	gads	annuel	N;GEN;MASC;SG	ADJ;MASC;SG
gada	annuelle	gads	annuel	N;GEN;MASC;SG	ADJ;FEM;SG
gada	annuels	gads	annuel	N;GEN;MASC;SG	ADJ;MASC;PL
gada	annuel	gads	annuel	N;GEN;MASC;SG	ADJ;MASC;SG
arī	également	arī	également	PART	ADV
arī	aussi	arī	aussi	PART	ADV
arī	egalement	arī	egalement	PART	ADV
bija	avait	būt	avoir	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
bija	avaient	būt	avoir	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
bija	avais	būt	avoir	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;1;IPFV;FIN
bija	fut	būt	être	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;PST;FIN
bija	etait	būt	etever	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
bija	était	būt	être	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
kas	quel	kas	quel	PRO;NOM	DET;MASC;SG
kas	quelle	kas	quel	PRO;NOM	DET;FEM;SG
kas	qui	kas	qui	PRO;NOM	PRO
kas	oms	kas	om	PRO;NOM	N;MASC;SG
kas	who	kas	who	PRO;NOM	PROPN
kas	lesquels	kas	lequel	PRO;NOM	PRO;MASC;PL
kas	laquelle	kas	lequel	PRO;NOM	PRO;FEM;SG
kas	lequel	kas	lequel	PRO;NOM	PRO;MASC;SG
tika	etait	tikt	etever	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
tika	était	tikt	être	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
pēc	apres	pēc	après	ADP	
pēc	after	pēc	after	ADP	PROPN
pēc	aprés	pēc	apré	ADP	
latvijas	lettonie	latvija	lettonie	PROPN;NOM;FEM;SG	N;FEM;SG
latvijas	lettone	latvija	letton	PROPN;NOM;FEM;SG	ADJ;FEM;SG
latvijas	lettons	latvija	letton	PROPN;NOM;FEM;SG	ADJ;MASC;PL
latvijas	letton	latvija	letton	PROPN;NOM;FEM;SG	N;MASC;SG
var	mai	varēt	mai	V;FH;IND;3;POS;PRS;FIN;ACT	N;MASC;SG
var	may	varēt	may	V;FH;IND;3;POS;PRS;FIN;ACT	PROPN
var	pouvez	varēt	pouvoir	V;FH;IND;3;POS;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
var	peux	varēt	pouvoir	V;FH;IND;3;POS;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
tiek	etre	tikt	être	V;FH;IND;3;POS;PRS;FIN;ACT	V;NFIN
laikā	durant	laiks	durant	N;ESS;MASC;SG	ADP
laikā	pendant	laiks	pendant	N;ESS;MASC;SG	ADP
laikā	lors	laiks	lors	N;ESS;MASC;SG	ADV
tas	cette	tas	ce	PRO;NOM;MASC;SG	DET;FEM;SG
tas	que	tas	que	PRO;NOM;MASC;SG	CONJ
dzimis	naissance	dzimt	naissance	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;FEM;SG
dzimis	born	dzimt	born	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	PROPN
nav	not	nebūt	not	V;FH;IND;3;NEG;PRS;FIN;ACT	PRO;SG;3
nav	non	nebūt	non	V;FH;IND;3;NEG;PRS;FIN;ACT	ADV
nav	pas	nebūt	pas	V;FH;IND;3;NEG;PRS;FIN;ACT	ADV;NEG
nav	aucun	nebūt	aucun	V;FH;IND;3;NEG;PRS;FIN;ACT	PRO;MASC;SG
nav	néant	nebūt	néant	V;FH;IND;3;NEG;PRS;FIN;ACT	N;MASC;SG
nav	aucune	nebūt	aucun	V;FH;IND;3;NEG;PRS;FIN;ACT	DET;FEM;SG;NEG
tās	sa	tā	son	PRO;NOM;FEM;PL	DET;FEM;SG
tās	ses	tā	son	PRO;NOM;FEM;PL	DET;MASC;PL
tās	son	tā	son	PRO;NOM;FEM;PL	DET;MASC;SG
tās	elles	tā	il	PRO;NOM;FEM;PL	PRO;FEM;PL;3
tās	ils	tā	il	PRO;NOM;FEM;PL	PRO;MASC;PL;3
atrodas	situés	atrasties	situer	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V;MASC;PL;PST;V.PTCP
