maraş	maras	maraş	mara		N;NOM;INDF;MASC+FEM;SG
gnu	gnu	gn	gnu		N;NOM;INDF;MASC+FEM;SG
pete	pete	pete	pete		PROPN;NOM
tanıtımı	främja	tanıtım	främja	N;NOM;SG;3	V;IMP;FIN;ACT
tanıtımı	marknadsföra	tanıtım	marknadsföra	N;NOM;SG;3	V;IMP;FIN;ACT
tanıtımı	befordrad	tanıtım	befordrad	N;NOM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
tanıtımı	marknadsfört	tanıtım	marknadsför	N;NOM;SG;3	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
tanıtımı	främjas	tanıtım	främja	N;NOM;SG;3	V;NFIN;PASS
tanıtımı	marknadsförs	tanıtım	marknadsför	N;NOM;SG;3	V;IND;PRS;FIN;PASS
tanıtımı	marknadsför	tanıtım	marknadsför	N;NOM;SG;3	V;IND;FIN;PASS
tanıtımı	främja	tanıtım	främja	N;NOM;SG;3	V;IMP;FIN;ACT
tanıtımı	marknadsföra	tanıtım	marknadsföra	N;NOM;SG;3	V;IMP;FIN;ACT
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG;3	PROPN;NOM
duvarları	murar	duvar	mura	N;ACC;PL;3	N;NOM;INDF;MASC+FEM;PL
duvarları	väggarna	duvar	vägg	N;ACC;PL;3	N;NOM;DEF;MASC+FEM;PL
duvarları	väggar	duvar	vägg	N;ACC;PL;3	N;NOM;INDF;MASC+FEM;PL
lille	lille	lille	liten	PROPN;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
sevda	kärlek	sevda	kärlek		N;NOM;INDF;MASC+FEM;SG
sevda	älska	sevda	älsk		V;IMP;FIN;ACT
sevda	love	sevda	love		N;NOM;INDF;MASC+FEM;SG
sevda	älskar	sevda	älska		V;IND;PRS;FIN;ACT
tören	ceremoni	tör	ceremoni		N;NOM;INDF;MASC+FEM;SG
tören	ceremonin	tör	ceremoni		N;NOM;DEF;MASC+FEM;SG
tören	ceremonier	tör	ceremoni		N;NOM;INDF;MASC+FEM;PL
tören	ritual	tör	ritual		N;NOM;INDF;MASC+FEM;SG
tören	ritualer	tör	ritual		N;NOM;INDF;MASC+FEM;PL
bayat	corny	bayat	corny		N;NOM;INDF;MASC+FEM;SG
memphis	memphis	memphis	memphis	PROPN;NOM;SG;3	PROPN;NOM
müslümanların	muslimer	müslüman	muslim	N;GEN;PL;3	N;NOM;INDF;MASC+FEM;PL
müslümanların	muslimerna	müslüman	muslim	N;GEN;PL;3	N;NOM;DEF;MASC+FEM;PL
cadı	häxa	cadı	häxa		N;NOM;INDF;MASC+FEM;SG
cadı	häxan	cadı	häxan		N;NOM;DEF;MASC+FEM;SG
patlayıcı	explosiva	patlayıcı	explosiv		ADJ;NOM;PL
patlayıcı	sprängämnen	patlayıcı	sprängämne		N;NOM;DEF;MASC+FEM;SG
patlayıcı	explosivt	patlayıcı	explosiv		ADJ;NOM;INDF;NEUT;SG
patlayıcı	explosiv	patlayıcı	explosiv		ADJ;NOM;INDF;MASC+FEM;SG
patlayıcı	sprängämnen	patlayıcı	sprängämne		N;NOM;DEF;MASC+FEM;SG
patlayıcı	sprängmedel	patlayıcı	sprängmedel		N;NOM;INDF;NEUT;SG
ufuk	skyline	ufuk	skyline		N;NOM;INDF;MASC+FEM;SG
ufuk	horisont	ufuk	horisont		N;NOM;INDF;MASC+FEM;SG
ufuk	horizon	ufuk	horizon		PROPN;NOM
ufuk	horisonten	ufuk	horisont		N;NOM;DEF;MASC+FEM;SG
kader	öde	kader	öd		N;NOM;INDF;NEUT;SG
kader	ödet	kader	öd		N;NOM;DEF;NEUT;SG
kader	destiny	kader	destiny		PROPN;NOM
kader	öde	kader	öd		N;NOM;INDF;NEUT;SG
kader	ödet	kader	öd		N;NOM;DEF;NEUT;SG
werner	werner	werner	werner	PROPN;NOM;SG;3	PROPN;NOM
nihai	ultimata	nihai	ultimat		V;FIN;ACT
erich	erich	erich	erich		PROPN;NOM
nem	nem	nem	nem		N;NOM;INDF;MASC+FEM;SG
nem	vattenhalt	nem	vattenhalt		N;NOM;INDF;MASC+FEM;SG
nem	fukt	nem	fukt		N;NOM;INDF;MASC+FEM;SG
nem	fuktighet	nem	fuktighet		N;NOM;INDF;MASC+FEM;SG
nem	luftfuktighet	nem	luftfuktighet		N;NOM;INDF;MASC+FEM;SG
nem	fukt	nem	fukt		N;NOM;INDF;MASC+FEM;SG
nem	fuktighet	nem	fuktighet		N;NOM;INDF;MASC+FEM;SG
çılgın	galen	çılgın	gal		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
çılgın	sinnessjuk	çılgın	sinnessjuk		N;NOM;INDF;MASC+FEM;SG
çılgın	sinnessjuka	çılgın	sinnessjuka		ADJ;NOM;PL
çılgın	wild	çılgın	wild		N;NOM;INDF;NEUT;SG
çılgın	vilt	çılgın	vilja		N;NOM;INDF;NEUT;SG
çılgın	frilevande	çılgın	frilevande		N;NOM;INDF;NEUT;SG
çılgın	vilda	çılgın	vilja		ADJ;NOM;PL
çılgın	vild	çılgın	vilja		ADJ;NOM;INDF;MASC+FEM;SG
çılgın	galen	çılgın	gal		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
çılgın	galet	çılgın	gal		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
çılgın	tokig	çılgın	tokig		ADJ;NOM;INDF;MASC+FEM;SG
çılgın	mad	çılgın	mad		N;NOM;INDF;MASC+FEM;SG
çılgın	arg	çılgın	arg		ADJ;NOM;INDF;MASC+FEM;SG
üstünlük	överordnad	üstünlük	överordnad	N;NOM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
üstünlük	superior	üstünlük	superio	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;PL
üstünlük	dominerande	üstünlük	dominerande	N;NOM;SG;3	ADJ;NOM;PRS;V.PTCP
yarıda	avbröt	yarı	avbröta	N;ESS;SG;3	V;IND;PST;FIN;ACT
yarıda	avbröts	yarı	avbröta	N;ESS;SG;3	V;IND;PST;FIN;PASS
yarıda	avbruten	yarı	avbruta	N;ESS;SG;3	N;NOM;INDF;MASC+FEM;SG
radar	sonar	radar	sona		N;NOM;INDF;MASC+FEM;SG
radar	radar	radar	rad		N;NOM;INDF;MASC+FEM;PL
radar	radarn	radar	radarn		N;NOM;DEF;MASC+FEM;SG
porno	porrfilm	porno	porrfilm		N;NOM;INDF;MASC+FEM;SG
porno	porr	porno	porr		N;NOM;INDF;MASC+FEM;SG
porno	porr	porno	porr		N;NOM;INDF;MASC+FEM;SG
pol	pol	pol	pol		N;NOM;INDF;NEUT;SG
hayati	vital	hayati	vital		N;NOM;INDF;MASC+FEM;SG
hayati	vitala	hayati	vital		N;NOM;INDF;NEUT;PL
hayati	hayati	hayati	hayati		N;NOM;INDF;NEUT;SG
madison	madison	madison	madison	PROPN;NOM;SG;3	PROPN;NOM
patinaj	skridskor	patinaj	skridska	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;PL
tang	tang	tang	tang		N;NOM;INDF;NEUT;SG
belgeler	dokument	belge	dokument	N;NOM;PL;3	N;NOM;INDF;NEUT;SG
belgeler	dokumentation	belge	dokumentation	N;NOM;PL;3	N;NOM;INDF;MASC+FEM;SG
belgeler	dokumentationen	belge	dokumentation	N;NOM;PL;3	N;NOM;DEF;MASC+FEM;SG
değişmez	oföränderliga	değişmez	oföränderlig		ADJ;NOM;PL
değişmez	oföränderliga	değişmez	oföränderlig		ADJ;NOM;PL
roland	roland	roland	roland		PROPN;NOM
uçar	flyger	uç	flyga		V;IND;PRS;FIN;ACT
uçar	flugor	uç	fluga		N;NOM;INDF;MASC+FEM;PL
adın	namnge	ad	namnge		V;IMP;FIN;ACT
adın	namn	ad	namn		N;NOM;INDF;NEUT;SG
adın	name	ad	name		N;NOM;INDF;NEUT;SG
kobe	kobe	kobe	kobe	PROPN;NOM;SG;3	PROPN;NOM
garcía	garcía	garc	garcía	PROPN;NOM;SG;3	PROPN;NOM
taktik	taktik	taktik	taktik		N;NOM;INDF;MASC+FEM;SG
taktik	taktik	taktik	taktik		N;NOM;INDF;MASC+FEM;SG
taktik	taktiska	taktik	taktisk		ADJ;NOM;PL
taktik	taktisk	taktik	taktisk		ADJ;NOM;INDF;MASC+FEM;SG
taktik	taktiskt	taktik	taktisk		ADV
dst	dst	dst	dst		N
geyik	hjortar	geyik	hjort	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;PL
geyik	rådjur	geyik	rådjur	N;NOM;SG;3	N;NOM;INDF;NEUT;PL
siteleri	platser	site	plats	N;ACC;PL;3	N;NOM;INDF;MASC+FEM;PL
siteleri	webbplatser	site	pebbplats	N;ACC;PL;3	N;NOM;INDF;MASC+FEM;PL
siteleri	webbplatser	site	pebbplats	N;ACC;PL;3	N;NOM;INDF;MASC+FEM;PL
siteleri	hemsidor	site	hemsida	N;ACC;PL;3	N;NOM;INDF;MASC+FEM;PL
siteleri	webbsidor	site	pebbsida	N;ACC;PL;3	N;NOM;INDF;MASC+FEM;PL
noktalar	points	nokta	points	N;NOM;PL;3	N;NOM;INDF;NEUT;SG
noktalar	poäng	nokta	poäng	N;NOM;PL;3	N;NOM;INDF;NEUT;SG
yuva	hem	yuva	hem		N;NOM;INDF;NEUT;SG
yuva	hemma	yuva	hemma		ADV
yuva	hemmet	yuva	hem		N;NOM;DEF;NEUT;SG
yuva	home	yuva	home		N;NOM;INDF;NEUT;SG
yuva	näste	yuva	näste		N;NOM;INDF;MASC+FEM;SG
uzayı	mellanslag	uza	mellanslag		N;NOM;INDF;NEUT;PL
uzayı	rymd	uza	rymd		N;NOM;INDF;MASC+FEM;SG
uzayı	rymden	uza	rymd		N;NOM;DEF;MASC+FEM;SG
uzayı	utrymme	uza	utrymme		N;NOM;INDF;NEUT;SG
ahit	testamente	ahit	testamente		N;NOM;INDF;NEUT;SG
ahit	testamentet	ahit	testamente		N;NOM;DEF;NEUT;SG
por	por	por	por		N;NOM;INDF;MASC+FEM;SG
montana	montana	monta	montan		N;NOM;INDF;MASC+FEM;SG
orda	där	ora	där	N;ESS;SG;3	ADV
nesli	generation	nesli	generation		N;NOM;INDF;MASC+FEM;SG
nesli	generationen	nesli	generation		N;NOM;DEF;MASC+FEM;SG
nesli	generering	nesli	generering		N;NOM;INDF;MASC+FEM;SG
nesli	släkte	nesli	släkte		N;NOM;INDF;NEUT;SG
koltuk	sittplats	koltuk	sittplats	N;NOM;SG;3	V;V.CVB;PASS
yara	ärr	yara	vara		N;NOM;INDF;NEUT;SG
yara	skador	yara	skada		N;NOM;INDF;MASC+FEM;PL
yara	personskador	yara	personskada		N;NOM;INDF;MASC+FEM;PL
yara	skada	yara	skada		N;NOM;INDF;MASC+FEM;SG
yara	sår	yara	så		N;NOM;INDF;NEUT;SG
yara	sår	yara	så		N;NOM;INDF;NEUT;SG
yara	ärr	yara	vara		N;NOM;INDF;NEUT;SG
birleşmesi	samgående	birleş	samgående	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;INDF;NEUT;SG
birleşmesi	fusion	birleş	fusion	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;INDF;NEUT;SG
birleşmesi	sammanslagning	birleş	sammanslagning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;INDF;MASC+FEM;SG
kayak	skidor	kayak	skida	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;PL
kayak	skidor	kayak	skida	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;PL
kayak	skidor	kayak	skida	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;PL
icd	icd	icd	icd		N;NOM;INDF;MASC+FEM;SG
alabama	alabama	alaba	alabam	PROPN;NOM;SG;3	PROPN;NOM
çevreleyen	omgivande	çevrele	omgivande	V;PFV;IND;POS;PRS;V.PTCP	ADJ;NOM;PRS;V.PTCP
cole	cole	cole	cole		PROPN;NOM
bombası	granat	bomba	gran		ADV
montreal	montreal	montreal	montreal	PROPN;NOM;SG;3	PROPN;NOM
masters	masters	masters	mast		N;NOM;INDF;MASC+FEM;SG
masters	herrar	masters	herre		N;NOM;INDF;MASC+FEM;PL
