πολύχρωμα	رنگین	πολύχρωμα	رنگین	ADJ;NOM;NEUT;PL	PROPN;NOM;MASC;SG;3
σιδηροδρομικών	off	σιδηροδρομικά	off	ADJ;GEN;FEM;PL	
σιδηροδρομικών	against	σιδηροδρομικά	against	ADJ;GEN;FEM;PL	PROPN;NOM;MASC;SG;3
φιάλη	powder-flask	φιάλος	powder-flask	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
αντιπροσωπευτική	مثال.	αντιπροσωπευτικός	مثال.	ADJ;NOM;FEM;SG	
αντιπροσωπευτική	عیوضی.	αντιπροσωπευτικός	عیوضیؤ	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
αντιπροσωπευτική	(	αντιπροσωπευτικός	(	ADJ;NOM;FEM;SG	
κάψουλα	مجمل	κάψουλα	مجمل	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
επιβάρυνση	لادنا	επιβάρυνση	لادنا	N;ACC;FEM;SG	
επιβάρυνση	ستانا.	επιβάρυνση	ستاناؤ	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
επιβάρυνση	لادنا	επιβάρυνση	لادنا	N;ACC;FEM;SG	
επιβάρυνση	ستانا.	επιβάρυνση	ستاناؤ	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
επιβάρυνση	بوجھ	επιβάρυνση	بوجھ	N;ACC;FEM;SG	V;ACT
ντοκυμαντέρ	حقیقی	ντοκυμαντέρ	حقیقی	N;NOM;NEUT;SG	ADJ
τυπολογία	صنفیات	τυπολογία	صنفیات	N;NOM;FEM;SG	N;NOM;MASC;PL;3
κατασκοπεία	جاسوسی	κατασκοπεία	جاسوسی	N;NOM;FEM;SG	ADJ
σεξουαλικό	شہوانی.	σεξουαλικός	شہوانی.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
επαναστάτη	منحرف.	επαναστάτης	منحرف.	N;ACC;MASC;SG	ADJ
επαναστάτη	باغیوں	επαναστάτης	باغی	N;ACC;MASC;SG	N;ACC;MASC;PL;3
επαναστάτη	سرکش	επαναστάτης	سرکش	N;ACC;MASC;SG	N;NOM;MASC;SG;3
επαναστάτη	منحرف.	επαναστάτης	منحرف.	N;ACC;MASC;SG	ADJ
επαναστάτη	باغی	επαναστάτης	باغی	N;ACC;MASC;SG	ADJ
επαναστάτη	باغیوں	επαναστάτης	باغی	N;ACC;MASC;SG	N;ACC;MASC;PL;3
