月	moon	月	moon	N	
日	dag	日	dag	PROPN	N;INDF;MASC+FEM;SG
日	dagen	日	dag	PROPN	N;DEF;MASC+FEM;SG
日	kampdag	日	kampdag	PROPN	N;INDF;MASC+FEM;SG
和	og	和	og	ADP	CONJ
村	village	村	villag	N	
人	people	人	peopl	N	
小	asteroider	小	asteroide	PART	N;INDF;MASC+FEM;PL
小	asteroide	小	asteroide	PART	N;INDF;MASC+FEM;SG
大	big	大	big	PART	
大	store	大	stor	PART	ADJ;PL
大	stor	大	stor	PART	ADJ;INDF;MASC+FEM;SG
大	stort	大	stor	PART	ADJ;INDF;NEUT;SG
重	tunge	重	tung	N	ADJ;PL
重	tungt	重	tungt	N	ADJ;INDF;NEUT;SG
重	tung	重	tung	N	ADJ;INDF;MASC+FEM;SG
重	kraftig	重	kraftig	N	ADJ;INDF;MASC+FEM;SG
重	tungere	重	tung	N	ADJ;CMPR
一	et	一	en	NUM	PRO;NEUT;SG
一	en	一	en	NUM	PRO;MASC+FEM;SG
一	én	一	en	NUM	PRO;MASC+FEM;SG
定	orientering	定	orientering	V	N;INDF;MASC+FEM;SG
定	retningsbestemt	定	retningsbestemt	V	ADJ;INDF;SG
但	men	但	men	ADV	CONJ
拉	trække	拉	trække		V;NFIN;ACT
拉	træk	拉	træk		N;INDF;NEUT;SG
留言	beskeden	留言	beskeden	N	ADJ;INDF;MASC+FEM;SG
市	city	市	city	N	
市	kommun	市	kommun	N	
克	gram	克	gram	PROPN	N;INDF;MASC+FEM;SG
克	grams	克	gram	PROPN	N;INDF;MASC+FEM;SG
新	ny	新	ny	PART	ADJ;INDF;MASC+FEM;SG
新	nyt	新	ny	PART	ADJ;INDF;NEUT;SG
新	nye	新	ny	PART	ADJ;PL
站	stå	站	stå	N	V;NFIN;ACT
州	state	州	state	N	
研究	undersøgelse	研究	undersøgelse	V	N;INDF;MASC+FEM;SG
研究	studie	研究	studie	V	N;INDF;NEUT;SG
研究	studier	研究	studi	V	N;INDF;NEUT;PL
研究	undersøgelser	研究	undersøgelse	V	N;INDF;MASC+FEM;PL
研究	studier	研究	studi	V	N;INDF;NEUT;PL
研究	forskning	研究	forskning	V	N;INDF;MASC+FEM;SG
日本	japan	日本	japan	PROPN	
三	three	三	thre	NUM	
前	inden	前	inden	N	ADV
前	før	前	før	N	ADV
家	hjem	家	hjem	N	ADV
家	hjemme	家	hjemme	N	ADV
家	hjemad	家	hjemad	N	ADV
家	home	家	home	N	
近	nær	近	nær		ADJ;INDF;MASC+FEM;SG
米	rice	米	rice	N	
多	mere	多	mere		ADV;CMPR
多	flere	多	mange		ADJ;CMPR;PL
使用	brug	使用	brug	V	N;INDF;MASC+FEM;SG
使用	anvendelse	使用	anvendelse	V	N;INDF;MASC+FEM;SG
基	kei	基	kei	V	
王	konge	王	konge	PROPN	N;INDF;MASC+FEM;SG
王	kongens	王	konge	PROPN	N;GEN;DEF;MASC+FEM;SG
王	kong	王	kong	PROPN	
王	kongen	王	konge	PROPN	N;DEF;MASC+FEM;SG
王	king	王	king	PROPN	
王	wang	王	wang	PROPN	
林	lin	林	lin	PROPN	
李	lee	李	lee	PROPN	
一	et	一	en	NUM	PRO;NEUT;SG
一	en	一	en	NUM	PRO;MASC+FEM;SG
一	én	一	en	NUM	PRO;MASC+FEM;SG
卡	kort	卡	kort	PROPN	ADJ;INDF;SG
卡	cards	卡	cards	PROPN	N;INDF;MASC+FEM;SG
卡	kortspil	卡	kortspil	PROPN	N;INDF;NEUT;SG
卡	kort	卡	kort	PROPN	ADJ;INDF;SG
卡	card	卡	card	PROPN	N;INDF;MASC+FEM;SG
小	small	小	small	PART	
小	små	小	lille	PART	ADJ;PL
小	småt	小	småt	PART	ADV
小	lille	小	lille	PART	ADJ;SG
小	små	小	lille	PART	ADJ;PL
小	lille	小	lille	PART	ADJ;SG
相似	tilsvarende	相似	tilsvarende	V	ADJ
相似	ligheden	相似	lighed	V	N;DEF;MASC+FEM;SG
相似	lighed	相似	lighed	V	N;INDF;MASC+FEM;SG
相似	ligheden	相似	lighed	V	N;DEF;MASC+FEM;SG
相似	lighed	相似	lighed	V	N;INDF;MASC+FEM;SG
相似	ligheder	相似	lighed	V	N;INDF;MASC+FEM;PL
人口	demografiske	人口	demografisk	N	ADJ;PL
人口	demografisk	人口	demografisk	N	ADV
四	four	四	four	NUM	
道	dao	道	dao	PROPN	N;INDF;MASC+FEM;SG
將	will	將	will	V;CAUS	
將	vil	將	ville	V;CAUS	V;IND;PRS;FIN;ACT
高	høj	高	høj	PROPN	ADJ;INDF;MASC+FEM;SG
高	højt	高	høj	PROPN	ADJ;INDF;NEUT;SG
高	høje	高	høj	PROPN	ADJ;PL
高	høj	高	høj	PROPN	ADJ;INDF;MASC+FEM;SG
高	høje	高	høj	PROPN	ADJ;PL
高	gao	高	gao	PROPN	
美國	america	美國	america	PROPN	
美國	amerika	美國	amerika	PROPN	N;INDF;MASC+FEM;SG
美國	usa	美國	usa	PROPN	PROPN
集	sæt	集	sætte	N	V;IMP
集	indstillet	集	indstille	N	V;INDF;SG;PST;V.PTCP
集	sat	集	sætte	N	V;INDF;SG;PST;V.PTCP
台灣	taiwans	台灣	taiwan	PROPN	
台灣	taiwan	台灣	taiwan	PROPN	
布	klæde	布	klæde		V;NFIN;ACT
布	klud	布	klud		N;INDF;MASC+FEM;SG
世界	world	世界	world	N	
南	nan	南	nan	N	
南	sydpå	南	sydpå	N	ADV
南	sydlige	南	sydlig	N	ADJ;PL
本	ben	本	ben		N;INDF;NEUT;PL
金	jin	金	jin	PROPN	
金	guld	金	guld	PROPN	N;INDF;NEUT;SG
金	gold	金	gold	PROPN	
金	kim	金	kim	PROPN	PROPN
曾	zeng	曾	zeng	ADV	
文	wen	文	wen	N	
林	lincoln	林	lincoln	PROPN	N;INDF;MASC+FEM;SG
人民	people	人民	peopl	N	
包括	omfattet	包括	omfatte	V	N;DEF;NEUT;SG
峰	højdepunkt	峰	højdepunkt	PROPN	N;INDF;NEUT;SG
峰	peak	峰	peak	PROPN	
峰	toppe	峰	toppe	PROPN	N;INDF;MASC+FEM;PL
峰	tinder	峰	tinde	PROPN	N;INDF;MASC+FEM;PL
位	beliggende	位	beliggende	V	ADJ
其他	andre	其他	anden	DET	PRO;PL
其他	andet	其他	anden	DET	PRO;NEUT;SG
其他	andre	其他	anden	DET	PRO;PL
第一	første	第一	første	NUM	ADJ
第一	først	第一	først	NUM	ADV
任	ren	任	ren	N	ADJ;INDF;MASC+FEM;SG
比	nøgletal	比	nøgletal	ADP	N;INDF;MASC+FEM;SG
比	forhold	比	forhold	ADP	N;INDF;NEUT;SG
元	meta	元	meta	PROPN	
元	yuan	元	yuan	PROPN	
元	dollar	元	dollar	PROPN	N;INDF;MASC+FEM;SG
元	vandt	元	vinde	PROPN	V;IND;PST;FIN;ACT
元	vundet	元	vinde	PROPN	V;INDF;SG;PST;V.PTCP
中國	porcelæn	中國	porcelæn	PROPN	N;INDF;MASC+FEM;SG
中國	china	中國	china	PROPN	
