auseinander	בנפרד	auseinander	בנפרד	ADV	PROPN
forst	יער	forsen	יער	PROPN;NOM;SG	
forst	היער	forsen	היער	PROPN;NOM;SG	
hang	מדרון	hang	מדרון	N	PROPN
hang	לתלות	hang	תלה	N	V;NFIN;ACT
löscht	מוחקת	löschen	הוחק	V;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP;PASS
stadtmauer	חומות	stadtmau	חומה		N;FEM;PL
stadtmauer	קירות	stadtmau	קיר		N;MASC;PL
beantwortet	ענתה	beantworten	ענה	V;V.PTCP	N;FEM;SG
beantwortet	ענתה	beantworten	ענה	V;V.PTCP	N;FEM;SG
labor	מעבדות	labor	מעבדה		N;FEM;PL
labor	מעבדה	labor	מעבדה		N;FEM;SG
labor	מעבדה	labor	מעבדה		N;FEM;SG
labor	צירים	labor	ציר		N;MASC;PL
samstag	שבת	samstag	שבת	ADV	PROPN
samstag	שבתות	samstag	שבת	ADV	N;FEM;PL
lehmann	להמן	lehmann	המן	PROPN;NOM;SG	PROPN
classic	קלאסיקה	classic	קלאסיקה	PROPN	N;FEM;SG
classic	קלאסי	classic	קלאסי	PROPN	ADJ;MASC;SG
classic	קלאסית	classic	קלאסי	PROPN	ADV
wirtschafts	כלכלי	wirtschafts	כלכלי	PROPN	ADJ;MASC;SG
wirtschafts	כלכלית	wirtschafts	כלכלי	PROPN	ADV
hiermit	בזאת	hiermit	בזאת	ADV	
herausragende	מצטיין	herausragend	הצטיין	ADJ;NOM;FEM;PL	V;MASC;SG;V.PTCP
oberste	העליון	ober	העליון	ADJ;NOM	PROPN
berühmt	מפורסם	berühmt	מפורסם	ADJ	V;MASC;SG;V.PTCP;PASS
berühmt	המפורסם	berühmt	המפורסם	ADJ	PROPN
berühmt	מפורסם	berühmt	מפורסם	ADJ	V;MASC;SG;V.PTCP;PASS
berühmt	סלבריטי	berühmt	סלבריטי	ADJ	PROPN
berühmt	סלב	berühmt	סלב	ADJ	
berühmt	תהילה	berühmt	תהילה	ADJ	PROPN
restaurierung	השיפוץ	restaurierung	השיפוץ	N;NOM;FEM;SG	PROPN
restaurierung	משחזר	restaurierung	משחזר	N;NOM;FEM;SG	V;MASC;SG;V.PTCP;ACT
jonas	יונאס	jonas	יונאס	PROPN;NOM;MASC;SG	PROPN
jonas	יונה	jonas	יונה	PROPN;NOM;MASC;SG	PROPN
umzug	נע	umzugen	נע	N;SG	
umzug	עובר	umzugen	עבר	N;SG	V;MASC;SG;V.PTCP;ACT
umzug	זז	umzugen	זז	N;SG	V;MASC;SG;3;PST;ACT
umzug	המצעד	umzugen	המצעד	N;SG	PROPN
umzug	מצעד	umzugen	מצעד	N;SG	
niedrigen	שפל	niedrig	שפל	ADJ	N;MASC;SG
ski	המגלשיים	ski	המגלשיים		N;MASC;DU
ski	סקי	ski	סקי		PROPN
weichen	מתגים	weichen	התגים	V;NFIN	N;MASC;PL
ansprechen	תשובה	ansprechen	תשובה	V;NFIN	N;FEM;SG
ansprechen	תגובה	ansprechen	תגובה	V;NFIN	N;FEM;SG
held	גיבורה	held	גיבור	PROPN;SG	N;FEM;SG
held	גיבור	held	גיבור	PROPN;SG	N;MASC;SG
erhöhung	יגבר	erhöhung	גבר	N;NOM;FEM;SG	PROPN
erhöhung	הגדל	erhöhung	הגדל	N;NOM;FEM;SG	
erhöhung	להגדיל	erhöhung	הגדיל	N;NOM;FEM;SG	V;NFIN;ACT
wüste	מדבר	wüst	מדבר		N;MASC;SG
wüste	המדבר	wüst	המדבר		PROPN
wüste	שממה	wüst	שממה		PROPN
wüste	השממה	wüst	השממה		N;FEM;SG
wüste	מדבריות	wüst	מדברי		N;FEM;PL
verkauften	נמכרה	verkaufen	נמכר	V;IND;PL;3;PST;FIN	V;FEM;SG;3;PST;MID
verkauften	מכר	verkaufen	מכר	V;IND;PL;3;PST;FIN	N;MASC;SG
verkauften	נמכר	verkaufen	נמכר	V;IND;PL;3;PST;FIN	V;MASC;SG;3;PST;MID
polizisten	משטרה	polizist	משטרה	N;PL	N;FEM;SG
polizisten	המשטרה	polizist	המשטר	N;PL	PROPN
polizisten	שוטר	polizist	שוטר	N;PL	N;MASC;SG
mhz	mhz	mhz	mhz		
carter	קרטר	carter	קרטר	PROPN;NOM;SG	PROPN
princeton	פרינסטון	princeton	פרינסטון	PROPN;NOM;SG	PROPN
latein	לטינית	latein	לטיני	ADJ	ADV
latein	לטיני	latein	לטיני	ADJ	PROPN
latein	בלטינית	latein	בלטיני	ADJ	ADV
latein	הלטינית	latein	הלטיני	ADJ	ADV
politisches	פוליטיות	politisch	פוליטי	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
politisches	פוליטית	politisch	פוליטי	ADJ;NOM;NEUT;SG	ADV
politisches	פוליטי	politisch	פוליטי	ADJ;NOM;NEUT;SG	N;MASC;SG
atlanta	אטלנטה	atlanta	אטאלנטה	PROPN	PROPN
hip	היפ	hip	היפ	ADJ	
hip	ירך	hip	ירך	ADJ	PROPN
hip	הירך	hip	הירך	ADJ	
antwerpen	אנטוורפן	antwerpen	אנטוורפן		PROPN
kaiserslautern	קייזרסלאוטרן	kaiserslaut	וקייזרסלאוטרן	PROPN;NOM;SG	PROPN
invasion	פלישה	invasion	פלישה		N;FEM;SG
invasion	לפלוש	invasion	פלש		V;NFIN;ACT
antonius	אנטוני	antonius	אנטוני	PROPN;NOM;MASC;SG	PROPN
antonius	אנתוני	antonius	אנתוני	PROPN;NOM;MASC;SG	PROPN
antonius	אנטוני	antonius	אנטוני	PROPN;NOM;MASC;SG	PROPN
antonius	אנטוניוס	antonius	אנטוניוס	PROPN;NOM;MASC;SG	PROPN
antonius	אנטוניוס	antonius	אנטוניוס	PROPN;NOM;MASC;SG	PROPN
muhammad	מוחמד	muhammad	מוחמד	PROPN;NOM;SG	PROPN
gegenwärtig	כרגע	gegenwärtig	כרגע	ADJ	ADV
gegenwärtig	כיום	gegenwärtig	כיום	ADJ	ADV
northern	צפון	northern	צפון	PROPN	N;MASC;SG
julian	וליאן	julian	וליאן	PROPN;NOM;MASC;SG	PROPN
nil	הנילוס	nil	הנילוס	PROPN;NOM;MASC;SG	PROPN
selbständige	עצמאית	selbständig	עצמאי	ADJ;NOM;FEM;PL	ADV
selbständige	עצמאי	selbständig	עצמאי	ADJ;NOM;FEM;PL	ADJ;MASC;SG
