של	shel	של	shel	PART;GEN	N;NOM;INDF;MASC+FEM;SG
את	ni	את	ni	PART;ACC	PRO;NOM;DEF;MASC+FEM;SG
את	dig	את	du	PART;ACC	PRO;ACC;DEF;MASC+FEM;SG
את	du	את	du	PART;ACC	PRO;NOM;DEF;MASC+FEM;SG
על	ungefär	על	ungefär	ADP	ADV
גם	oxå	גם	oxå	ADV	N;NOM;INDF;MASC+FEM;SG
גם	too	גם	too	ADV	N;NOM;INDF;NEUT;SG
זה	att	זה	att	PRO;MASC;SG;3	PART
היא	she	הוא	she	PRO;FEM;SG;3	V;IMP;FIN;ACT
היה	var	היה	var	V;MASC;SG;3;POS;PST	PRO;INDF;MASC+FEM;SG
שיחה	konversationer	שיחה	konversation	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
שיחה	ring	שיחה	ring	N;FEM;SG	V;IMP;FIN;ACT
שיחה	ringa	שיחה	ringa	N;FEM;SG	V;FIN;ACT
לאחר	efteråt	לאחר	efteråt	ADP	ADV
לאחר	after	לאחר	after	ADP	N;NOM;INDF;MASC+FEM;SG
בין	bönan	בין	böna	ADP	N;NOM;DEF;MASC+FEM;SG
בין	bean	בין	bean	ADP	PROPN;NOM
בין	böna	בין	böna	ADP	N;NOM;INDF;MASC+FEM;SG
בין	inter	בין	inter	ADP	PROPN;NOM
כל	allt	כול	all	DET;PSSD	PRO;INDF;NEUT;SG
כל	alla	כול	all	DET;PSSD	PRO;INDF;PL
כל	någon	כול	någon	DET;PSSD	PRO;INDF;MASC+FEM;SG
יותר	more	יותר	more	ADV	
יותר	fler	יותר	mången	ADV	PRO;INDF;PL
ישראל	israel	ישראל	israel	PROPN	PROPN;NOM
עד	tills	עד	tills	ADP	ADV
עד	tills	עד	tills	ADP	ADV
שם	namnge	שם	namnge	ADV	V;IMP;FIN;ACT
שם	namn	שם	namn	ADV	N;NOM;INDF;NEUT;SG
שם	name	שם	name	ADV	N;NOM;INDF;NEUT;SG
בית	beit	בית	beit	N;MASC;SG	V;IMP;FIN;ACT
בית	hemma	בית	hemma	N;MASC;SG	ADV
הייתה	var	היה	var	V;FEM;SG;3;POS;PST	PRO;INDF;MASC+FEM;SG
אשר	asher	אשר	asher	CONJ	N;NOM;INDF;MASC+FEM;SG
אשר	escher	אשר	escher	CONJ	PROPN;NOM
אשר	usher	אשר	usher	CONJ	PROPN;NOM
אשר	vilka	אשר	vilken	CONJ	PRO;INDF;PL
אשר	vilket	אשר	vilken	CONJ	PRO;INDF;NEUT;SG
אשר	vilken	אשר	vilken	CONJ	PRO;INDF;MASC+FEM;SG
אשר	bekräftar	אשר	bekräfta	CONJ	V;IND;PRS;FIN;ACT
אשר	bekräfta	אשר	bekräfta	CONJ	V;IMP;FIN;ACT
כמו	gilla	כמו	gilla	ADP	V;IMP;FIN;ACT
כמו	gillar	כמו	gilla	ADP	V;IND;PRS;FIN;ACT
כמו	som	כמו	som	ADP	CONJ
כמו	like	כמו	like	ADP	V;IMP;FIN;ACT
אחד	one	אחד	one	NUM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
שמאל	kvar	שמאל	kvar	N;MASC;SG	ADV
שמאל	vänstra	שמאל	vänster	N;MASC;SG	ADJ;NOM;DEF;SG
קישורים	anknyter	קישורים	anknyta	N;MASC;PL	V;IND;PRS;FIN;ACT
חיצוניים	extern	חיצוני	exter	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
חיצוניים	externt	חיצוני	extern	ADJ;MASC;PL	ADV
חיצוניים	externa	חיצוני	ext	ADJ;MASC;PL	N;NOM;DEF;MASC+FEM;PL
הברית	alliance	הברית	alliance	PROPN	N;NOM;INDF;MASC+FEM;SG
הברית	allians	הברית	allians	PROPN	N;NOM;INDF;MASC+FEM;SG
הברית	alliansen	הברית	allians	PROPN	N;NOM;DEF;MASC+FEM;SG
בו	honom	ב	han	ADP	PRO;ACC;DEF;MASC+FEM;SG
בו	bu	ב	bu	ADP	
בו	boo	ב	boo	ADP	PROPN;NOM
היו	var	היה	var	V;PL;3;POS;PST	PRO;INDF;MASC+FEM;SG
כאשר	när	כאשר	när	CONJ	ADV
בן	ben	בן	ben	PROPN	N;NOM;INDF;NEUT;PL
בן	sonen	בן	son	PROPN	N;NOM;DEF;MASC+FEM;SG
בן	son	בן	son	PROPN	N;NOM;INDF;MASC+FEM;SG
שלו	hans	של	han		PRO;DEF
שלו	its	של	its		N;NOM;INDF;MASC+FEM;SG
שלו	dess	של	den		PRO;DEF
שני	sekund	שני	sekund	NUM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
שני	andra	שני	annan	NUM;MASC;PL	PRO;INDF;PL
שני	shani	שני	shani	NUM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
שני	måndag	שני	måndag	NUM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
לו	lew	ל	lew		PROPN;NOM
לו	lou	ל	lou		N;NOM;INDF;MASC+FEM;PL
מה	vad	מה	vad	ADV	PRO;INDF;NEUT;SG
העולם	world	העולם	world		N;NOM;NEUT;SG
העולם	värld	העולם	värld		N;NOM;INDF;MASC+FEM;SG
העולם	världen	העולם	värld		N;NOM;DEF;MASC+FEM;SG
העיר	town	העיר	town	V;MASC;SG;3;PST;ACT	N;NOM;INDF;MASC+FEM;SG
העיר	stad	העיר	stad	V;MASC;SG;3;PST;ACT	N;NOM;INDF;MASC+FEM;SG
העיר	staden	העיר	stad	V;MASC;SG;3;PST;ACT	N;NOM;DEF;MASC+FEM;SG
העיר	staden	העיר	stad	V;MASC;SG;3;PST;ACT	N;NOM;DEF;MASC+FEM;SG
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	N;NOM;INDF;NEUT;SG
