stein	stein	star	stein	PROPN	PROPN
custar	coût	custar	coût	V	N;MASC;SG
custar	coûts	custar	coût	V	N;MASC;PL
usas	vous	usar	vous	ADV	PRO;PL;2
usas	tu	usar	il	ADV	PRO;SG;2
usas	toi	usar	soi	ADV	PRO;SG;2
usas	you	usar	you	ADV	PRO;SG;2
usas	utilisation	usar	utilisation	ADV	N;FEM;SG
usas	utiliser	usar	utiliser	ADV	V;NFIN
usas	utilise	usar	utiliser	ADV	V;IND;SG;3;PRS;FIN
usas	utilisez	usar	utiliser	ADV	V;IMP;PL;2;PRS;FIN
aturar	stand	aturar	stand	V	N;MASC;SG
cá	le	cá	le	N	DET;DEF;MASC;SG
cá	les	cá	le	N	DET;DEF;PL
cá	la	cá	le	N	DET;DEF;FEM;SG
saberán	sais	saber	savoir	V	INTJ
saberán	elles	saber	il	V	PRO;FEM;PL;3
saberán	ils	saber	il	V	PRO;MASC;PL;3
saberán	eux	saber	soi	V	PRO;MASC;PL;3
patada	botter	patada	botter	N	V;NFIN
comparación	comparés	comparación	comparer	N	V;MASC;PL;PST;V.PTCP
comparación	comparé	comparación	comparer	N	V;MASC;SG;PST;V.PTCP
morrera	avait	morrera	avoir	V	V;IND;SG;3;IPFV;FIN
morrera	avaient	morrera	avoir	V	V;IND;PL;3;IPFV;FIN
reclamar	réclamation	reclamar	réclamation	V	N;FEM;SG
reclamar	revendication	reclamar	revendication	V	N;FEM;SG
reclamar	pour	reclamar	pour	V	ADP
polonia	pologne	polonia	pologne	PROPN	N;FEM;SG
humilde	humblement	humilde	humblement	N	ADV
humilde	humbles	humilde	humble	N	ADJ;MASC;PL
humilde	humble	humilde	humble	N	ADJ;MASC;SG
humilde	modeste	humilde	modeste	N	ADJ;MASC;SG
detén	arrêts	detén	arrêt	V	N;MASC;PL
detén	arrêt	detén	arrêt	V	N;MASC;SG
detén	stop	detén	stop	V	
faltaba	fut	faltar	être	V	V;IND;SG;3;PST;FIN
faltaba	était	faltar	être	V	V;IND;SG;3;IPFV;FIN
faltaba	manquants	faltar	manquant	V	ADJ;MASC;PL
faltaba	manquante	faltar	manquant	V	ADJ;FEM;SG
faltaba	manque	faltar	manque	V	N;MASC;SG
chegaría	serait	chegar	être	V	V;COND;SG;3;PRS;FIN
chegaría	aurait	chegar	avoir	V	V;COND;SG;3;PRS;FIN
hmm	hmm	hmm	hmm	PROPN	
hmm	humm	hmm	humm	PROPN	N;MASC;SG
hmm	hmmm	hmm	hmmm	PROPN	INTJ
esixe	nécessaire	esixir	nécessaire	V	ADJ;MASC;SG
esixe	obligatoire	esixir	obligatoire	V	ADJ;MASC;SG
febles	faiblesse	feble	faiblesse	ADJ	N;FEM;SG
gañaches	vous	gañaches	vous	N	PRO;PL;2
gañaches	tu	gañaches	il	N	PRO;SG;2
gañaches	toi	gañaches	soi	N	PRO;SG;2
gañaches	you	gañaches	you	N	PRO;SG;2
gañaches	gagné	gañaches	gagner	N	V;MASC;SG;PST;V.PTCP
gañaches	gagnée	gañaches	gagner	N	V;FEM;SG;PST;V.PTCP
gañaches	gagnées	gañaches	gagnée	N	V;FEM;PL;PST;V.PTCP
gañaches	won	gañaches	won	N	
gañaches	gagnés	gañaches	gagner	N	V;MASC;PL;PST;V.PTCP
gañaches	gagnez	gañaches	gagner	N	V;IMP;PL;2;PRS;FIN
gañaches	gagner	gañaches	gagner	N	V;NFIN
gañaches	gagnant	gañaches	gagner	N	V;PRS;V.PTCP
bóla	ball	bóla	ball	N	PROPN
alerta	alerter	alertar	alerter	N	V;NFIN
alerta	alertes	alertar	alerte	N	V;FEM;PL;PST;V.PTCP
puxeches	did	puxeche	did	V	
puxeches	vous	puxeche	vous	V	PRO;PL;2
puxeches	tu	puxeche	il	V	PRO;SG;2
puxeches	toi	puxeche	soi	V	PRO;SG;2
puxeches	you	puxeche	you	V	PRO;SG;2
debate	débattre	debate	débattre	N	V;NFIN
larry	larry	larry	larry	PROPN	PROPN
