ίκαρος	icarus	ίκαρος	icarus	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
αλγερίας	alžirija	αλγερία	alžirija	PROPN;GEN;FEM;SG	N;NOM;FEM;SG
γκαλερί	galerije	γκαλώ	galerija	N;NOM;FEM;SG	N;NOM;FEM;PL
γκαλερί	galerijo	γκαλώ	galerija	N;NOM;FEM;SG	N;ACC;FEM;SG
κολούμπια	columbia	κολούμπιος	columbia	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
εγκεφαλικό	hod	εγκεφαλικός	hoda	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
εγκεφαλικό	kap	εγκεφαλικός	kap	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
αλαμπάμα	alabama	αλαμπάμα	alaba		N;NOM;FEM;SG
σύνορο	mejo	σύνορο	meja	N;NOM;NEUT;SG	N;ACC;FEM;SG
σύνορο	meje	σύνορο	meja	N;NOM;NEUT;SG	N;NOM;FEM;PL
λειτουργική	funkcionalne	λειτουργικός	funkcionalen	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
λειτουργική	funkcionalno	λειτουργικός	funkcionalen	ADJ;NOM;FEM;SG	ADV
λειτουργική	operativno	λειτουργικός	operativen	ADJ;NOM;FEM;SG	ADV
λειτουργική	operativnih	λειτουργικός	operativen	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;PL
κρίσεις	kriz	κρίση	kriz	N;NOM;FEM;PL	N;GEN;FEM;PL
πωλήσεων	prodaja	πώληση	prodaja	N;GEN;FEM;PL	N;NOM;FEM;SG
γλυκό	sladkih	γλυκό	sladek	N;NOM;NEUT;SG	ADJ;GEN;MASC;PL
γλυκό	sladko	γλυκό	sladko	N;NOM;NEUT;SG	ADV
γλυκό	sladki	γλυκό	sladek	N;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
γλυκό	sladka	γλυκό	sladka	N;NOM;NEUT;SG	ADJ;NOM;FEM;SG
γκαρντ	gard	γκαρντ	garda		N;NOM;MASC;SG
μιγκέλ	miguel	μιγκέλ	migul		PROPN;NOM;MASC;SG
ρούντολφ	rudolph	ρούντολφ	rudolph	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ρούντολφ	rudolf	ρούντολφ	rudolf	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ρούντολφ	rudolf	ρούντολφ	rudolf	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
πήτερ	peter	πήτερ	peter		N;NOM;MASC;SG
πήτερ	petra	πήτερ	peter		N;NOM;MASC;SG
χρήσιμες	uporaben	χρήσιμος	uporaben	ADJ;NOM;FEM;PL	ADJ;NOM;INDF;MASC;SG
χρήσιμες	koristno	χρήσιμος	koristen	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
χρήσιμες	uporabna	χρήσιμος	uporaben	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
χρήσιμες	uporabno	χρήσιμος	uporaben	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
χρήσιμες	koristna	χρήσιμος	koristen	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
κοπεγχάγη	københavnu	κοπεγχάγη	krbenhaven	PROPN;ACC;FEM;SG	ADJ;DAT;MASC;SG
δίσκοι	evidenca	δίσκος	evidenca	N;NOM;MASC;PL	N;NOM;FEM;SG
δίσκοι	diske	δίσκος	disk	N;NOM;MASC;PL	N;ACC;MASC;PL
δίσκοι	diske	δίσκος	disk	N;NOM;MASC;PL	N;ACC;MASC;PL
βενεζουέλας	venezuelski	βενεζουέλα	venezuelski	PROPN;GEN;FEM;SG	ADJ;NOM;MASC;SG
βενεζουέλας	venezueli	βενεζουέλα	venezuel	PROPN;GEN;FEM;SG	N;NOM;FEM;SG
καθήκον	dajatev	καθήκον	dajatev	N;NOM;NEUT;SG	N;GEN;FEM;SG
καθήκον	dolžnosti	καθήκον	dolžnost	N;NOM;NEUT;SG	N;NOM;FEM;PL
παναμά	panama	παναμύς	panam	PROPN;NOM;NEUT;SG	N;NOM;FEM;SG
παναμά	panami	παναμύς	pana	PROPN;NOM;NEUT;SG	N;DAT;FEM;PL
λιγότερες	manj	λίγος	manj	ADJ;NOM;CMPR;FEM;PL	DET
λιγότερες	manj	λίγος	manj	ADJ;NOM;CMPR;FEM;PL	DET
δόση	odmerki	δόση	odmerek	N;NOM;FEM;SG	N;NOM;MASC;PL
εξεγέρσεις	nemirov	εξέγερση	nemir	N;NOM;FEM;PL	N;GEN;MASC;PL
εξεγέρσεις	uporov	εξέγερση	upor	N;NOM;FEM;PL	N;GEN;MASC;PL
αλκοόλ	alkohol	αλκοόλ	alkohol		N;NOM;MASC;SG
αλκοόλ	alkohola	αλκοόλ	alkohol		N;GEN;MASC;SG
τόνο	tuna	τόνος	tuna	N;ACC;MASC;SG	ADJ;NOM;FEM;SG
τόνο	tun	τόνος	tuna	N;ACC;MASC;SG	N;NOM;MASC;SG
τόνο	tune	τόνος	tuna	N;ACC;MASC;SG	N;NOM;FEM;SG
τόνο	tona	τόνος	tona	N;ACC;MASC;SG	N;NOM;MASC;DU
τόνο	ton	τόνος	tona	N;ACC;MASC;SG	N;NOM;MASC;SG
τόνο	tone	τόνος	tona	N;ACC;MASC;SG	N;NOM;MASC;SG
κατάχρηση	zloraba	κατάχρηση	zloraba	N;ACC;FEM;SG	N;NOM;FEM;SG
κατάχρηση	poneverbe	κατάχρηση	poneverba	N;ACC;FEM;SG	N;NOM;FEM;PL
κατάχρηση	zloraba	κατάχρηση	zloraba	N;ACC;FEM;SG	N;NOM;FEM;SG
κατάχρηση	zlorabe	κατάχρηση	zloraba	N;ACC;FEM;SG	N;NOM;FEM;PL
ρίτσι	ritchie	ρίτσι	ritchi		N;NOM;MASC;SG
ρίτσι	richie	ρίτσι	richie		PROPN;NOM;MASC;SG
