של	shel	של	shel	PART;GEN	N;INDF;MASC;SG
את	ai	את	avea	PART;ACC	V;SG;2
את	te	את	tu	PART;ACC	PRO;ACC;SG;2
את	tu	את	tu	PART;ACC	PRO;NOM;SG;2
קטגוריה	categorii	קטגוריה	categorie	N;FEM;SG	N;INDF;FEM;PL
זה	că	זה	că	PRO;MASC;SG;3	CONJ;POS
שיחה	sună	שיחה	suna	N;FEM;SG	V;IND;SG;3;PST;FIN
שיחה	suna	שיחה	suna	N;FEM;SG	V;IND;SG;3;IPFV;FIN
לאחר	dupa	לאחר	dupa	ADP	N;DEF;FEM;SG
בין	bean	בין	bean	ADP	PROPN
בין	fasole	בין	fasole	ADP	N;INDF;FEM;SG
בין	inter	בין	inter	ADP	N;INDF;MASC;SG
בין	intre	בין	intra	ADP	V;SBJV;3;PRS;FIN
כל	toti	כול	toti	DET;PSSD	
כל	toți	כול	tot	DET;PSSD	PRO;MASC;PL;3
כל	toate	כול	tot	DET;PSSD	PRO;FEM;PL;3
כל	tot	כול	tot	DET;PSSD	PRO;MASC;SG;3
כל	oricare	כול	oricare	DET;PSSD	PRO;3
כל	orice	כול	orice	DET;PSSD	PRO;SG;3
ישראל	israel	ישראל	israel	PROPN	PROPN
ישראל	israelului	ישראל	israel	PROPN	N;DEF;MASC;SG
ישראל	israelul	ישראל	israel	PROPN	N;DEF;MASC;SG
יש	ura	יש	ură	V	N;DEF;FEM;SG
שם	nume	שם	nume	ADV	N;INDF
שם	numele	שם	nume	ADV	N;DEF;MASC;SG
שם	denumire	שם	denumire	ADV	N;INDF;FEM;SG
שם	name	שם	name	ADV	
בית	acasa	בית	acasa	N;MASC;SG	
בית	acasă	בית	acasă	N;MASC;SG	ADV
בית	home	בית	homă	N;MASC;SG	
הם	au	הוא	avea	PRO;MASC;PL;3	V;PL;3
אשר	asher	אשר	asher	CONJ	PROPN
אשר	escher	אשר	escher	CONJ	N;INDF;MASC;SG
אשר	usher	אשר	usher	CONJ	PROPN
אשר	care	אשר	care	CONJ	PRO;3
אשר	confirma	אשר	confirma	CONJ	V;IND;SG;3;IPFV;FIN
אשר	confirmă	אשר	confirma	CONJ	V;IND;SG;3;PST;FIN
אשר	confirmare	אשר	confirmare	CONJ	N;INDF;FEM;SG
אשר	confirm	אשר	confirm	CONJ	V;IND;SG;1;PRS;FIN
כמו	ca	כמו	ca	ADP	ADV
כמו	like	כמו	like	ADP	
אחד	una	אחד	unul	NUM;MASC;SG	PRO;FEM;SG;3
אחד	unul	אחד	unul	NUM;MASC;SG	PRO;MASC;SG;3
חיצוניים	extern	חיצוני	extern	ADJ;MASC;PL	ADJ;INDF;MASC;SG
חיצוניים	externă	חיצוני	extern	ADJ;MASC;PL	ADJ;INDF;FEM;SG
חיצוניים	exterior	חיצוני	exterior	ADJ;MASC;PL	N;INDF;MASC;SG
הברית	alianta	הברית	aliantă	PROPN	N;DEF;FEM;SG
הברית	alianță	הברית	alianță	PROPN	N;INDF;FEM;SG
הברית	alianța	הברית	alianță	PROPN	N;DEF;FEM;SG
בו	el	ב	el	ADP	PRO;MASC;SG;3
בו	bau	ב	baue	ADP	
בו	boo	ב	boo	ADP	N;INDF;MASC;SG
היו	erau	היה	fi	V;PL;3;POS;PST	V;IND;PL;3;IPFV;FIN
כאשר	cand	כאשר	cand	CONJ	
כאשר	când	כאשר	când	CONJ	ADV
אותו	el	None	el	PRO;ACC;MASC;SG;3	PRO;MASC;SG;3
בן	ben	בן	ben	PROPN	PROPN
בן	fiule	בן	fiu	PROPN	
בן	fiul	בן	fiu	PROPN	N;DEF;MASC;SG
בן	fiu	בן	fiu	PROPN	N;INDF;MASC;SG
שלו	lui	של	el		PRO;3
שני	shani	שני	shan	NUM;MASC;PL	
שני	doua	שני	doi	NUM;MASC;PL	NUM;FEM;SG
שני	luni	שני	lună	NUM;MASC;PL	N;INDF;FEM;PL
שני	lunea	שני	lune	NUM;MASC;PL	N;DEF;FEM;SG
לו	lew	ל	lew		PROPN
לו	lou	ל	lou		PROPN
מה	ce	מה	ce	ADV	PRO;3
העולם	lumea	העולם	lume		N;DEF;FEM;SG
העולם	lume	העולם	lume		N;INDF;FEM;SG
העולם	world	העולם	world		PROPN
העיר	oraș	העיר	oraș	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	oras	העיר	oras	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	oraşul	העיר	orac	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
העיר	oraş	העיר	oraş	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	oras	העיר	oras	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	oraș	העיר	oraș	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	oraş	העיר	oraş	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	oraşul	העיר	orac	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
העיר	orașul	העיר	oraș	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
כן	mda	כן	mda	ADV	
כן	daa	כן	da	ADV	
אף	nasul	אף	nas	CONJ	N;DEF;MASC;SG
אף	nas	אף	nas	CONJ	N;INDF;MASC;SG
אף	nasu	אף	nasu	CONJ	
אף	fep	אף	fep	CONJ	N
רבים	multi	רב	mult	V;MASC;PL;V.PTCP;ACT	
רבים	mulți	רב	mult	V;MASC;PL;V.PTCP;ACT	PRO;MASC;PL;3
רבים	multe	רב	mult	V;MASC;PL;V.PTCP;ACT	PRO;FEM;PL;3
רבים	plural	רב	plural	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;SG
בה	ea	ב	el		PRO;FEM;SG;3
אין	niciuna	None	nici_unul	ADV;NEG	
אביב	aviv	אביב	aviv	N;MASC;SG	PROPN
במאי	may	במאי	may	N;MASC;SG	
שנה	ani	שנה	an	N;FEM;SG	N;INDF;MASC;PL
שנה	anii	שנה	an	N;FEM;SG	N;DEF;MASC;PL
נולד	nascut	נולד	naște	V;MASC;SG;3;PST;MID	ADJ;INDF;MASC;SG
נולד	născută	נולד	naște	V;MASC;SG;3;PST;MID	ADJ;INDF;FEM;SG
נולד	născut	נולד	naște	V;MASC;SG;3;PST;MID	ADJ;INDF;MASC;SG
חלק	netede	חלק	neted	N;MASC;SG	ADJ;INDF;FEM;PL
חלק	neted	חלק	neted	N;MASC;SG	ADJ;INDF;MASC;SG
חלק	lină	חלק	lin	N;MASC;SG	ADJ;INDF;FEM;SG
חלק	netedă	חלק	neted	N;MASC;SG	ADJ;INDF;FEM;SG
לפני	inainte	לפני	inainte	ADP	
לפני	înainte	לפני	înainte	ADP	ADV
אחת	una	אחת	unul	NUM;FEM;SG	PRO;FEM;SG;3
אחת	unul	אחת	unul	NUM;FEM;SG	PRO;MASC;SG;3
ביולי	iulie	ביולי	iulie	PROPN	N;INDF;MASC;SG
שוליים	fringe	שול	fringe	N;MASC;PL	
שוליים	marjă	שול	marjă	N;MASC;PL	N;INDF;FEM;SG
שוליים	marja	שול	marjă	N;MASC;PL	N;DEF;FEM;SG
להיות	fiind	היה	fi	V;POS;NFIN	V;V.MSDR
באוקטובר	octombrie	באוקטובר	octombrie	PROPN	N;INDF;MASC;SG
באוקטובר	oct	באוקטובר	oct	PROPN	
בשם	numit	בשם	numit		ADJ;INDF;MASC;SG
אותה	ea	None	el	PRO;ACC;FEM;SG;3	PRO;FEM;SG;3
החל	pornirea	None	pornire	ADP	N;DEF;FEM;SG
החל	începând	None	începe	ADP	V;V.MSDR
החל	pornire	None	pornire	ADP	N;INDF;FEM;SG
החל	incepand	None	incepa	ADP	
הרב	herb	הרב	herb		PROPN
מן	mană	מן	mană	ADP	N;INDF;FEM;SG
בינואר	ianuarie	בינואר	ianuarie		N;INDF;MASC;SG
במרץ	martie	במרץ	martie	PROPN	N;INDF;MASC;SG
חיים	life	חיים	life	PROPN	
חיים	viaţa	חיים	viapă	PROPN	N;DEF;FEM;SG
חיים	viaţă	חיים	viaţă	PROPN	N;INDF;FEM;SG
חיים	viața	חיים	viață	PROPN	N;DEF;FEM;SG
חיים	viață	חיים	viață	PROPN	N;INDF;FEM;SG
חיים	viata	חיים	viată	PROPN	N;DEF;FEM;SG
חיים	chaim	חיים	chaim	PROPN	PROPN
חיים	haim	חיים	haim	PROPN	PROPN
המאה	secolul	המאה	secol		N;DEF;MASC;SG
המאה	secol	המאה	secol		N;INDF;MASC;SG
המאה	century	המאה	century		PROPN
בנובמבר	november	בנובמבר	november	ADV	N;INDF;MASC;SG
בנובמבר	noiembrie	בנובמבר	noiembrie	ADV	N;INDF;MASC;SG
