در	drzwi	در	drzwi	ADP	N;NOM;NEUT;PL
رده	zajęcia	رده	zajęcia	N;SG	N;NOM;NEUT;PL
رده	klasa	رده	klasa	N;SG	V;IPFV;IND;SG;2;FIN;ACT
از	from	از	from	ADP	
که	kto	که	kto	CONJ	PRO;NOM;MASC;SG
که	kogo	که	kto	CONJ	PRO;ACC;MASC;SG
که	who	که	who	CONJ	
که	że	که	że	CONJ	PART
این	tym	این	to	DET	PRO;INS;NEUT;SG
را	make	را	maka	PART	
میلادی	dekady	میلادی	dekada	ADJ	
میلادی	dekadę	میلادی	dekada	ADJ	N;ACC;FEM;SG
یک	jeden	یک	jeden	NUM	ADJ;NOM;MASC;SG
یک	jedna	یک	jeden	NUM	ADJ;NOM;FEM;SG
سال	lat	سال	rok	N;SG	N;GEN;MASC;PL
سال	lata	سال	rok	N;SG	N;NOM;MASC;PL
سال	sal	سال	sal	N;SG	
آن	anne	آن	anny	DET	PROPN;NOM;FEM;SG
آن	anna	آن	anna	DET	PROPN;NOM;FEM;SG
آن	ania	آن	ania	DET	PROPN;NOM;FEM;SG
ایران	iranie	ایران	iran	N;SG	
ایران	iranu	ایران	iran	N;SG	PROPN;GEN;MASC;SG
ایران	irański	ایران	irański	N;SG	ADJ;NOM;MASC;SG
ایران	iran	ایران	iran	N;SG	PROPN;NOM;MASC;SG
برای	na	برای	na	ADP	INTJ
برای	za	برای	za	ADP	PART
اهل	ahl	اهل	ahl	N;SG	
شهرستان	powiat	شهرستان	powiat	N;SG	
آمریکا	ameryka	آمریکا	ameryka	N;SG	
فهرست	listy	فهرست	list	N;SG	
فهرست	katalogi	فهرست	kataloga	N;SG	N;NOM;MASC;PL
تا	majowe	تا	majowy	ADP	ADJ;NOM;NEUT;SG
تا	maja	تا	mieć	ADP	
تا	może	تا	móc	ADP	V;IPFV;IND;SG;3;PRS;FIN;ACT
تا	majowy	تا	majowy	ADP	ADJ;NOM;MASC;SG
تا	maj	تا	maj	ADP	
وابسته	przymiotnik	وابسته	przymiotnik	ADJ	N;NOM;MASC;SG
فوتبال	football	فوتبال	football	N;SG	
فوتبال	futbol	فوتبال	futbol	N;SG	
ساعت	godziny	ساعت	godzina	N;SG	N;NOM;FEM;PL
ساعت	godzin	ساعت	godzina	N;SG	N;GEN;FEM;PL
ساعت	godz	ساعت	godzić	N;SG	
ساعت	godziny	ساعت	godzina	N;SG	N;NOM;FEM;PL
پایه	podstawy	پایه	podstawa	N;SG	N;ACC;FEM;PL
پایه	foundation	پایه	foundation	N;SG	
پایه	base	پایه	bas	N;SG	
پایه	fundamenty	پایه	fundament	N;SG	N;NOM;MASC;PL
پایه	fundacje	پایه	fundacja	N;SG	N;NOM;FEM;PL
پایه	podstawowe	پایه	podstawowy	N;SG	ADJ;NOM;NEUT;SG
پایه	podstawowego	پایه	podstawowy	N;SG	ADJ;ACC;MASC;SG
پایه	podstawowy	پایه	podstawowy	N;SG	ADJ;NOM;MASC;SG
پایه	podstawowa	پایه	podstawowy	N;SG	
استان	regiony	استان	regić	N;SG	N;NOM;MASC;PL
شهر	town	شهر	town	N;SG	
شهر	city	شهر	city	N;SG	
کشور	kraje	کشور	kraj	N;SG	N;NOM;MASC;PL
تاریخ	data	تاریخ	datać	N;SG	
فیلم	filmy	فیلم	film	N;SG	N;NOM;MASC;PL
فیلم	filmy	فیلم	film	N;SG	N;NOM;MASC;PL
بخش	sektory	بخش	sektor	N;SG	N;NOM;MASC;PL
بخش	powiat	بخش	powiat	N;SG	
جمعیت	tłumy	جمعیت	tłum	N;SG	N;NOM;MASC;PL
جمعیت	tłumy	جمعیت	tłum	N;SG	N;NOM;MASC;PL
یکی	ktoś	یک	ktoś	NUM	PRO;NOM;MASC;SG
یکی	jeden	یک	jeden	NUM	ADJ;NOM;MASC;SG
یکی	jedna	یک	jeden	NUM	ADJ;NOM;FEM;SG
وی	wei	وی	wziąć	PRO;SG;3	
وی	wii	وی	wia	PRO;SG;3	
روستاهای	wioski	روستا	wioska	N;PL	N;ACC;FEM;SG
دیگر	more	دیگر	more	ADV	
دیگر	innych	دیگر	inny	ADV	ADJ;GEN;MASC;PL
