operze	opéra	operz	opéra		N;MASC;SG
kazachstanu	kazakhs	kazachstan	kazakh	N;GEN;MASC;SG	N;MASC;PL
kazachstanu	kazakhe	kazachstan	kazakh	N;GEN;MASC;SG	ADJ;FEM;SG
kazachstanu	kazakhstan	kazachstan	kazakhstan	N;GEN;MASC;SG	PROPN
fal	ondes	fala	onde		N;FEM;PL
fal	vagues	fala	vague		N;FEM;PL
krok	step	krok	step	N;NOM;MASC;SG	PROPN
wolę	préfère	woleć	préférer	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
wolę	préférez	woleć	préférer	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
wolę	préfèrent	woleć	préférer	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
sycylii	sicile	sycylia	sicile	N;GEN;FEM;SG	ADJ;FEM;SG
szkła	verres	szkło	verre	N;NOM;NEUT;SG	N;MASC;PL
larwy	larve	larwa	larve		N;FEM;SG
larwy	larve	larwa	larve		N;FEM;SG
larwy	larves	larwa	larve		N;FEM;PL
larwy	asticots	larwa	asticot		N;MASC;PL
hamburgu	hambourg	hamburg	hambourg	N;ACC;MASC;SG	PROPN
hamburgu	hamburg	hamburg	hamburg	N;ACC;MASC;SG	PROPN
motor	bicyclette	motor	bicyclette		N;FEM;SG
motor	vélo	motor	vélo		N;MASC;SG
motor	motocyclette	motor	motocyclette		N;FEM;SG
motor	motocycle	motor	motocycle		N;MASC;SG
motor	motocyclettes	motor	motocyclette		N;FEM;PL
motor	moto	motor	moto		N;FEM;SG
motor	moteur	motor	moteur		N;MASC;SG
motor	motocyclette	motor	motocyclette		N;FEM;SG
motor	moto	motor	moto		N;FEM;SG
wirtualny	virtuels	wirtualny	virtuel	ADJ;NOM;MASC;SG	ADJ;MASC;PL
wirtualny	virtual	wirtualny	virtual	ADJ;NOM;MASC;SG	PROPN
wirtualny	virtuelles	wirtualny	virtuel	ADJ;NOM;MASC;SG	ADJ;FEM;PL
mnich	monk	mnichy	monk	N;NOM;MASC;SG	PROPN
wolna	gratuit	wolny	gratuit		ADJ;MASC;SG
wolna	gratuits	wolny	gratuit		V;MASC;PL;PST;V.PTCP
wolna	free	wolny	free		N;MASC;SG
wolna	gratuitement	wolny	gratuitement		ADV
wolna	libre	wolny	libre		ADJ;MASC;SG
rick	rick	rick	rick	PROPN;NOM;MASC;SG	PROPN
