در	porta	در	porta	ADP	N;FEM;SG
از	do	از	do	ADP	N;MASC;SG
از	da	از	da	ADP	INTJ
که	oms	که	oms	CONJ	N;FEM;SG
که	who	که	who	CONJ	N;MASC;SG
که	quem	که	quem	CONJ	PRO;SG
که	essa	که	esse	CONJ	PRO;FEM;SG
که	isso	که	isso	CONJ	PRO;MASC;SG
که	que	که	que	CONJ	PRO;MASC;SG
این	esta	این	este	DET	PRO;FEM;SG
این	isso	این	isso	DET	PRO;MASC;SG
این	isto	این	isto	DET	PRO;MASC;SG
این	essa	این	esse	DET	PRO;FEM;SG
را	os	را	o	PART	PRO;ACC;MASC;PL;3
را	make	را	make	PART	N;FEM;SG
را	faça	را	fazer	PART	V;SBJV;SG;3;PRS;FIN
میلادی	década	میلادی	década	ADJ	N;FEM;SG
یک	one	یک	one	NUM	N;MASC;SG
سال	anos	سال	ano	N;SG	N;MASC;PL
آن	anne	آن	anne	DET	N;FEM;SG
آن	ana	آن	ana	DET	PROPN;FEM;SG
ایران	irão	ایران	ir	N;SG	V;IND;PL;3;FUT;FIN
شده	sido	کرد#کن	ser	V;SG;3;V.PTCP	V;MASC;SG;V.PTCP
فهرست	listar	فهرست	listar	N;SG	V;NFIN
بود	estava	بود#باش	estar	V;SG;3;PST	V;IND;SG;3;IPFV;FIN
بود	era	بود#باش	ser	V;SG;3;PST	V;IND;SG;3;IPFV;FIN
بود	tava	بود#باش	tavo	V;SG;3;PST	V;IND;SG;1;IPFV;FIN
بود	foi	بود#باش	foi	V;SG;3;PST	ADV
او	she	او	she	PRO;SG;3	N;MASC;SG
او	seu	او	seu	PRO;SG;3	DET;MASC;SG
او	his	او	his	PRO;SG;3	N;MASC;SG
او	sua	او	seu	PRO;SG;3	DET;FEM;SG
او	dela	او	dela	PRO;SG;3	N;MASC;SG
او	her	او	her	PRO;SG;3	N;MASC;SG
تا	may	تا	may	ADP	N;MASC;SG
تا	maio	تا	maio	ADP	N;MASC;SG
تا	pode	تا	poder	ADP	V;IND;SG;3;PRS;FIN
تا	ate	تا	ate	ADP	INTJ
تا	até	تا	até	ADP	ADV
وابسته	adjectivo	وابسته	adjectivo	ADJ	N;MASC;SG
وابسته	dependentes	وابسته	dependente	ADJ	N;MASC;PL
وابسته	associadas	وابسته	associar	ADJ	V;FEM;PL;V.PTCP
وابسته	associada	وابسته	associar	ADJ	V;FEM;SG;V.PTCP
وابسته	associados	وابسته	associado	ADJ	V;MASC;PL;V.PTCP
وابسته	associado	وابسته	associar	ADJ	V;MASC;SG;V.PTCP
ساعت	horas	ساعت	hora	N;SG	N;FEM;PL
پایه	fundações	پایه	fundação	N;SG	N;FEM;PL
پایه	fundações	پایه	fundação	N;SG	N;FEM;PL
پایه	básicas	پایه	básico	N;SG	N;FEM;PL
پایه	básico	پایه	básico	N;SG	ADJ;MASC;SG
پایه	básicos	پایه	básico	N;SG	N;MASC;PL
ملی	national	ملی	national	ADJ	N;MASC;SG
ملی	nacionais	ملی	nacional	ADJ	N;MASC;PL
کشور	pais	کشور	pai	N;SG	N;MASC;PL
فیلم	filmes	فیلم	filme	N;SG	N;MASC;PL
فیلم	películas	فیلم	película	N;SG	N;FEM;PL
فیلم	filmes	فیلم	filme	N;SG	N;MASC;PL
جمعیت	multidões	جمعیت	multidão	N;SG	N;FEM;PL
دو	two	دو	two	NUM	N;MASC;SG
یکی	alguém	یک	alguém	NUM	PRO;MASC;SG
یکی	alguem	یک	alguem	NUM	N;MASC;SG
یکی	one	یک	one	NUM	N;MASC;SG
وی	wei	وی	wair	PRO;SG;3	N;MASC;SG
وی	wii	وی	wii	PRO;SG;3	N;MASC;SG
دیگر	more	دیگر	more	ADV	N;MASC;SG
دیگر	outro	دیگر	outro	ADV	PRO;MASC;SG
دیگر	outros	دیگر	outro	ADV	PRO;MASC;PL
دیگر	outras	دیگر	outro	ADV	PRO;FEM;PL
دیگر	outra	دیگر	outro	ADV	PRO;FEM;SG
