von	출신	von	출신	ADP	N
das	이거	der	이거	PRO;NOM;NEUT;SG	
das	das	der	das	PRO;NOM;NEUT;SG	
des	des	der	des	DET;GEN;DEF;NEUT;SG	
mit	사용하기	mit	사용+하+기	ADP	V
mit	함께	mit	함께	ADP	ADV
mit	mit	mit	mit	ADP	
ein	하나	ein	하나	ADV	
ein	ein	ein	ein	ADV	
eine	하나	ein	하나	DET;NOM;INDF;FEM;SG	
auch	조차도	auch	조차도	ADV	
auch	또한	auch	또한	ADV	CONJ
nicht	아님	nicht	아니+ㅁ	PART;NEG	
aus	출신	aus	출신	ADP	N
aus	아웃	aus	아웃	ADP	
sie	귀하	sie	귀하	PRO;NOM;FEM;SG;3	
sie	그녀	sie	그녀	PRO;NOM;FEM;SG;3	
bis	bis	bis	bis	ADP	
einer	하나	ein	하나	PRO;NOM;INDF;MASC;SG	
durch	통해	durch	통하+어	ADP	CONJ
score	점수	scoren	점수	PROPN	N
score	득점	scoren	득점	PROPN	N
einen	하나	ein	하나	PRO;ACC;INDF;MASC;SG	
über	소개	über	소개	ADP	N
über	대략	über	대략	ADP	
über	비아	über	비+아	ADP	
über	via	über	via	ADP	
aber	근데	aber	근데	CONJ	
wie	어떻게	wie	어떻+게	ADP	CONJ
nur	단발	nur	단발	ADV	
hat	모자	haben	모자	V;IND;SG;3;PRS;FIN	N
artikel	기사	artikel	기사	ADJ	N
artikel	상품	artikel	상품	ADJ	N
artikel	항목	artikel	항목	ADJ	N
artikel	품목	artikel	품목	ADJ	N
artikel	아이템	artikel	아이템	ADJ	N
artikel	기사	artikel	기사	ADJ	N
man	남자	man	남자	PRO;NOM;INDF;SG	N
man	남성	man	남성	PRO;NOM;INDF;SG	N
man	사람	man	사람	PRO;NOM;INDF;SG	N
vor	이전	vor	이전	ADP	N
vor	전에	vor	전+에	ADP	ADV
sein	그의	sein	그+의	DET;NOM;MASC;SG	PRO
diese	이거	dies	이거	PRO;NOM;FEM;SG	
vom	출신	vom	출신		N
hier	여기	hier	여기	ADV	PRO
diskussion	토론	diskussion	토론	N	
diskussion	토론	diskussion	토론	N	
diskussion	토론	diskussion	토론	N	
seine	그의	sein	그+의	DET;NOM;FEM;SG	PRO
seit	언제부터	seit	언제+부터	ADP	
seit	이후	seit	이후	ADP	N
seit	이후부터	seit	이후+부터	ADP	ADV
dieser	이거	dies	이거	PRO;NOM;MASC;SG	
jahr	year	Jahr	year	N;NOM;NEUT;SG	
jahr	연도	Jahr	연도	N;NOM;NEUT;SG	
wenn	언제쯤	wenn	언제+쯤	CONJ	N
wenn	언제	wenn	언제	CONJ	
dann	그렇다면	dann	그렇다면	ADV	CONJ
dann	그러면	dann	그러면	ADV	CONJ
dann	그때	dann	그때	ADV	
zwei	두두	zwei	두두	NUM	
zwei	두분	zwei	두분	NUM	
seiner	그의	sein	그+의	DET;NOM;MASC;SG	PRO
jahre	year	jahren	year	ADV	
jahre	연도	jahren	연도	ADV	
jahre	수년	jahren	수년	ADV	
zwischen	중간	zwischen	중간	ADP	N
team	team	team	team	N;NOM;NEUT;SG	
mehr	기타	mehr	기타	ADV	N
keine	없음	kein	없+ㅁ	PRO;NOM;INDF;FEM;SG;NEG	
waren	상품	sein	상품	V;IND;PL;3;PST;FIN	N
waren	물품	sein	물품	V;IND;PL;3;PST;FIN	N
waren	상품	sein	상품	V;IND;PL;3;PST;FIN	N
zeit	기간	zeit	기간	ADJ	N
zeit	시대	zeit	시대	ADJ	N
zeit	주기	zeit	주+기	ADJ	
zeit	시간	zeit	시간	ADJ	N
zeit	타임	zeit	타임	ADJ	
zeit	time	zeit	time	ADJ	
stadt	시내	staden	시내		N
stadt	도시	staden	도시		N
stadt	마을	staden	마을		N
stadt	도시	staden	도시		N
stadt	도시	staden	도시		N
wieder	재결합	wieder	재결합	ADV	N
gibt	인정	geben	인정	V;IND;SG;3;PRS;FIN	
gibt	반환	geben	반환	V;IND;SG;3;PRS;FIN	N
gibt	리턴	geben	리턴	V;IND;SG;3;PRS;FIN	
deutscher	독일	deutsch	독일	ADJ	PROPN
deutscher	독일인	deutsch	독일인	ADJ	N
deutscher	독일어	deutsch	독일어	ADJ	
deutscher	독일인	deutsch	독일인	ADJ	N
jahren	수년	jahren	수년	ADJ	
mal	한번	mal	한번	ADV	
mal	once	mal	once	ADV	
mal	타임스	mal	타임스	ADV	
mal	타임즈	mal	타임즈	ADV	
ersten	우선	erst	우선	ADJ;NOM;PL	ADV
ersten	퍼스트	erst	퍼스트	ADJ;NOM;PL	
ersten	처음	erst	처음	ADJ;NOM;PL	N
ersten	먼저	erst	먼저	ADJ;NOM;PL	ADV
jedoch	그러나	jedoch	그러나	ADV	CONJ
jedoch	그런데	jedoch	그런데	ADV	CONJ
jedoch	그러나	jedoch	그러나	ADV	CONJ
jedoch	근데	jedoch	근데	ADV	
jedoch	하지만	jedoch	하지만	ADV	CONJ
dort	거기	dort	거기	ADV	
seed	seed	seed	seed		
etwa	소개	etwa	소개	ADV	N
etwa	대략	etwa	대략	ADV	
deutschen	독일	deutsch	독일	ADJ	PROPN
deutschen	독일인	deutsch	독일인	ADJ	N
deutschen	독일어	deutsch	독일어	ADJ	
deutschen	독일인	deutsch	독일인	ADJ	N
teil	부분	teil	부분	ADV	N
teil	부품	teil	부품	ADV	N
teil	파트	teil	파트	ADV	
berlin	베를린	berlin	베를린	PROPN;NOM;NEUT;SG	PROPN
heute	오늘도	heute	오늘+도	ADV	
heute	오늘	heute	오늘	ADV	N
habe	got	haben	got	V;SBJV;SG;3;PRS;FIN	
alle	everybody	alle	everybody	PRO;NOM;INDF;PL	
alle	다들	alle	다+들	PRO;NOM;INDF;PL	
alle	모두	alle	모두	PRO;NOM;INDF;PL	ADV
alle	전체	alle	전체	PRO;NOM;INDF;PL	N
alle	모두	alle	모두	PRO;NOM;INDF;PL	ADV
während	동안	während	동안	CONJ	
ihre	그들의	ihr	그+들+의	DET;NOM;FEM;SG	PRO
ihre	그녀	ihr	그녀	DET;NOM;FEM;SG	
ihre	그녀의	ihr	그녀+의	DET;NOM;FEM;SG	PRO
anderen	기타	ander	기타	ADJ;NOM;PL	N
anderen	기타	ander	기타	ADJ;NOM;PL	N
später	나중에	spät	나중+에	ADJ	ADV
mir	mir	ich	mir	PRO;DAT;SG;1	
mir	미르	ich	미르	PRO;DAT;SG;1	
seinen	그의	sein	그+의	DET;ACC;MASC;SG	PRO
ihr	귀하	ihr	귀하	PRO;NOM;MASC;SG	
ihr	그녀	ihr	그녀	PRO;NOM;MASC;SG	
gemeinde	커뮤니티	gemeinde	커뮤니티	N;NOM;FEM;SG	
seinem	그의	sein	그+의	DET;DAT;MASC;SG	PRO
erste	우선	erst	우선	ADJ;NOM;FEM;PL	ADV
erste	퍼스트	erst	퍼스트	ADJ;NOM;FEM;PL	
erste	처음	erst	처음	ADJ;NOM;FEM;PL	N
erste	먼저	erst	먼저	ADJ;NOM;FEM;PL	ADV
liegt	거짓말	liegen	거짓말	V;IND;SG;3;PRS;FIN	
august	아우구스트	augusten	아우구스트	PROPN;NOM;MASC;SG	PROPN
ohne	without	ohne	without	ADP	
deutschland	독일	deutschland	독일	PROPN;NOM	PROPN
ende	마무리	ende	마무리	N;ACC;NEUT;SG	
ende	마침	ende	마침	N;ACC;NEUT;SG	ADV
ende	끝내기	ende	끝내+기	N;ACC;NEUT;SG	V
ende	끝내기	ende	끝내+기	N;ACC;NEUT;SG	V
ende	엔딩	ende	엔딩	N;ACC;NEUT;SG	
märz	행진	märz	행진	PROPN;NOM;MASC;SG	N
märz	행진곡	märz	행진곡	PROPN;NOM;MASC;SG	
deutsche	독일	deutsch	독일	ADJ;NOM;FEM;PL	PROPN
deutsche	독일인	deutsch	독일인	ADJ;NOM;FEM;PL	N
deutsche	독일어	deutsch	독일어	ADJ;NOM;FEM;PL	
deutsche	독일인	deutsch	독일인	ADJ;NOM;FEM;PL	N
band	밴드	binden	밴드		N
januar	일월	januar	일월	PROPN;NOM;MASC;SG	
doch	그런데	doch	그런데	ADV	CONJ
doch	그러나	doch	그러나	ADV	CONJ
doch	근데	doch	근데	ADV	
doch	하지만	doch	하지만	ADV	CONJ
wikipedia	위키백과의	wikipedia	위키백+과+의		PROPN
wikipedia	위키백과	wikipedia	위키백+과		CONJ
kirche	교회	kirche	교회		N
kirche	교회	kirche	교회		N
juni	jun	juni	jun	PROPN;NOM;MASC;SG	
april	apr	april	apr	PROPN;NOM;MASC;SG	
april	에이프릴	april	에이프릴	PROPN;NOM;MASC;SG	
april	사월	april	사월	PROPN;NOM;MASC;SG	
september	구월	september	구월	PROPN;SG	
selbst	조차도	selbst	조차도	ADV	
selbst	자체	selbst	자체	ADV	N
weitere	기타	weit	기타	ADJ;NOM;FEM;PL	N
andere	기타	ander	기타	ADJ;NOM;FEM;PL	N
andere	기타	ander	기타	ADJ;NOM;FEM;PL	N
kein	아님	kein	아니+ㅁ	PRO;NOM;INDF;MASC;SG;NEG	
geschichte	이야기	geschicht	이야기		N
geschichte	스토리	geschicht	스토리		N
geschichte	소식	geschicht	소식		N
geschichte	역사	geschicht	역사		N
geschichte	내역	geschicht	내역		N
geschichte	기록	geschicht	기록		N
verlag	퍼블리셔	verliegen	퍼블리지+어	N;NOM;MASC;SG	
jpg	jpeg	jpg	jpeg		
jpg	jpg	jpg	jpg		
dezember	적위	dezember	적위	PROPN;NOM;MASC;SG	N
dez	적위	dez	적위		N
universität	대학교	universität	대학교	ADJ	N
universität	대학	universität	대학	ADJ	N
platz	플라자	platz	플라자	ADV	
platz	제곱	platz	제곱	ADV	
platz	스퀘어	platz	스퀘어	ADV	
platz	광장	platz	광장	ADV	N
platz	사각형	platz	사각형	ADV	
platz	정사각형	platz	정사각형	ADV	
platz	장소	platz	장소	ADV	N
platz	스페이스	platz	스페이스	ADV	
platz	공간	platz	공간	ADV	N
platz	우주	platz	우주	ADV	N
ihrer	그들의	ihr	그+들+의	DET;NOM;MASC;SG	PRO
steht	스탠드	stehen	스탠드	V;IND;SG;3;PRS;FIN	N
liste	리스트	lassen	리스트	N;NOM;FEM;SG	
wir	wir	wir	wir	PRO;NOM;PL;1	
jahrhundert	세기	jahrhundert	세기	ADJ	N
beiden	둘다	beide	두+ㄴ다	PRO;NOM;INDF;PL	
beiden	두두	beide	두두	PRO;NOM;INDF;PL	
beiden	두분	beide	두분	PRO;NOM;INDF;PL	
zweiten	둘째	zweit	둘째	ADJ;NOM;MASC;PL	NUM
zweiten	두번째	zweit	두번+째	ADJ;NOM;MASC;PL	N
seite	측면	seit	측면	N	
seite	사이드	seit	사이드	N	
seite	페이지	seit	페이지	N	
seite	사이트	seit	사이트	N	
etwas	약간	etwas	약간	ADV	
etwas	무엇인가	etwas	무엇+이+ㄴ가	ADV	V
etwas	something	etwas	something	ADV	
etwas	뭔가	etwas	뭐+이+ㄴ가	ADV	
etwas	무언가	etwas	무엇+이+ㄴ가	ADV	
etwas	다소	etwas	다소	ADV	N
mich	mich	ich	mich	PRO;ACC;SG;1	
allerdings	그러나	allerdings	그러나	ADV	CONJ
allerdings	그런데	allerdings	그런데	ADV	CONJ
allerdings	그러나	allerdings	그러나	ADV	CONJ
allerdings	근데	allerdings	근데	ADV	
allerdings	하지만	allerdings	하지만	ADV	CONJ
film	영화	falmen	영화		N
film	필름	falmen	필름		N
film	영화	falmen	영화		N
nun	이제	nun	이제	ADV	
nun	지금	nun	지금	ADV	N
leben	생활	leben	생활	V;NFIN	N
leben	생명	leben	생명	V;NFIN	N
leben	생활	leben	생활	V;NFIN	N
leben	라이프	leben	라이프	V;NFIN	
leben	인생	leben	인생	V;NFIN	N
leben	생활	leben	생활	V;NFIN	N
leben	생방송	leben	생방송	V;NFIN	N
leben	라이브	leben	라이브	V;NFIN	
namen	이름	name	이름		N
namen	이름	name	이름		N
weil	왜냐면	weil	왜+이면	CONJ	
weil	왜냐하면	weil	왜냐하면	CONJ	CONJ
bitte	부탁합니다	bitte	부탁+하+ㅂ니다		V
relevanz	관련성	relevanz	관련성	ADJ	N
einige	일부	einige	일부	PRO;NOM;INDF;PL	N
mitglied	멤버	mitglied	멤버	ADJ	
mitglied	회원	mitglied	회원	ADJ	N
wegen	왜냐면	wegen	왜+이면	ADP	
wegen	왜냐하면	wegen	왜냐하면	ADP	CONJ
viele	많이	viel	많이	ADJ;NOM;INDF;PL	ADV
text	텍스트	Text	텍스트		N
text	문자	Text	문자		N
text	문구	Text	문구		N
text	노랫말	Text	노랫말		
ebenfalls	또한	ebenfalls	또한	ADV	CONJ
münchen	뮌헨	münchen	뮌헨	PROPN;NOM;NEUT;SG	PROPN
löschen	지우	löschen	지우	V;NFIN	
löschen	맑음	löschen	맑음	V;NFIN	
löschen	지우	löschen	지우	V;NFIN	
löschen	지워	löschen	지우+어	V;NFIN	
löschen	삭제	löschen	삭제	V;NFIN	N
löschen	삭제	löschen	삭제	V;NFIN	N
erhielt	받음	erhalten	받+ㅁ	V;IND;SG;3;PST;FIN	
bekannt	알려진	bekennen	알리+어+지+ㄴ	ADJ	V
zurück	반납	zurück	반납	ADV	N
zurück	반환	zurück	반환	ADV	N
zurück	리턴	zurück	리턴	ADV	
zurück	귀환	zurück	귀환	ADV	N
zurück	복귀	zurück	복귀	ADV	N
ort	위치	ort	위치	N;NOM;MASC;SG	
