hábito	o	hábito	o	N;MASC;SG	DET
borges	borges	borge	borge	PROPN	N
permanecieron	por	permanecer	por	V;IND;PL;3;PST;FIN	ADP
anónima	anónimos	anónimo	anónir	ADJ;FEM;SG	N
birmingham	birmingham	birmingham	birmingham	N;MASC;SG	PROPN
agricultores	labregos	agricultor	labrego	N;MASC;PL	ADJ
jam	session	jam	session		PROPN
convencido	de	convencido	de	ADJ;MASC;SG;V.PTCP	ADP
convencido	convencido	convencido	convencer	ADJ;MASC;SG;V.PTCP	V
adiós	adeus	adiós	adeus		PROPN
adiós	logo	adiós	logo		ADV
adiós	deica	adiós	deica		ADV
adiós	chao	adiós	chao		PROPN
adiós	deica	adiós	deica		ADV
adiós	bico	adiós	bico		N
adiós	adeus	adiós	adeus		PROPN
hunt	cazar	hunt	cazar	PROPN	V
afectó	afectados	afectar	afectado	V;IND;SG;3;PST;FIN	N
lecturas	lendo	lectura	lendo	N;FEM;PL	V
lecturas	ler	lectura	ler	N;FEM;PL	V
lecturas	a	lectura	o	N;FEM;PL	DET
dependientes	dependentes	dependiente	dependente	N;PL	ADJ
dependientes	depende	dependiente	depender	N;PL	V
curiosidad	curioso	curiosidad	curioso	N;FEM;SG	ADJ
duros	dura	duro	durar	ADJ;MASC;PL	V
duros	por	duro	por	ADJ;MASC;PL	ADP
beethoven	novena	beethoven	novenar	N;FEM;SG	ADJ
bang	baten	bang	bater	N	V
bang	bang	bang	bang	N	PROPN
mafia	mafia	mafia	mafia	N;FEM;SG	PROPN
mafia	mafia	mafia	mafia	N;FEM;SG	PROPN
solos	soa	solo	só	ADJ;MASC;PL	DET
solos	só	solo	só	ADJ;MASC;PL	ADV
solos	sós	solo	só	ADJ;MASC;PL	PROPN
solos	soas	solo	so	ADJ;MASC;PL	N
solos	en	solo	en	ADJ;MASC;PL	ADP
solos	paz	solo	paz	ADJ;MASC;PL	N
suponer	que	suponer	que	V;NFIN	PRO
significativos	máis	significativo	máis	ADJ;MASC;PL	ADV
vivido	vivimos	vivido	vivir	ADJ;MASC;SG;V.PTCP	V
vivido	viviron	vivido	ver	ADJ;MASC;SG;V.PTCP	V
vivido	viviu	vivido	vivir	ADJ;MASC;SG;V.PTCP	V
vivido	viviamos	vivido	vivir	ADJ;MASC;SG;V.PTCP	V
vivido	vivían	vivido	vivir	ADJ;MASC;SG;V.PTCP	V
vivido	vivín	vivido	vivir	ADJ;MASC;SG;V.PTCP	V
vivido	vivía	vivido	vivir	ADJ;MASC;SG;V.PTCP	V
mortales	mortal	mortal	mortal	N;PL	ADJ
comunismo	os	comunismo	o	N;MASC;SG	DET
comunismo	o	comunismo	o	N;MASC;SG	DET
guardar	salvalo	guardar	salvalo	V;NFIN	N
afuera	do	afuera	do		PROPN
afuera	fóra	afuera	fóra		ADV
afuera	fora	afuera	ir		V
afuera	fóra	afuera	fóra		ADV
vasos	sanguíneos	vaso	sanguíneo	N;MASC;PL	ADJ
vasos	as	vaso	o	N;MASC;PL	DET
mind	mente	mind	mente	PROPN	N
mind	importa	mind	importar	PROPN	V
cereales	gran	cereal	gran	N;MASC;PL	ADJ
bit	pouco	bit	pouco	N;MASC;SG	ADV
bit	algo	bit	algo	N;MASC;SG	PRO
bit	un	bit	un	N;MASC;SG	DET
bolas	as	bola	o	N;FEM;PL	DET
desaparecida	desapareceron	desaparecido	desaparecer	ADJ;FEM;SG;V.PTCP	V
desaparecida	desapareceu	desaparecido	desaparecer	ADJ;FEM;SG;V.PTCP	V
desaparecida	a	desaparecido	o	ADJ;FEM;SG;V.PTCP	DET
desaparecida	desaparecidos	desaparecido	desaparecer	ADJ;FEM;SG;V.PTCP	V
desaparecida	faltan	desaparecido	faltar	ADJ;FEM;SG;V.PTCP	V
desaparecida	falta	desaparecido	falta	ADJ;FEM;SG;V.PTCP	N
desaparecida	perdidos	desaparecido	perdido	ADJ;FEM;SG;V.PTCP	V
desaparecida	faltaba	desaparecido	faltar	ADJ;FEM;SG;V.PTCP	V
violenta	violencia	violento	violencia	ADJ;FEM;SG	N
antártica	antártida	antártica	antártida	ADJ;FEM;SG	V
admite	admito	admitir	admito	V;IND;SG;3;PRS;FIN	ADV
admite	que	admitir	que	V;IND;SG;3;PRS;FIN	PRO
admite	admitilo	admitir	admitilo	V;IND;SG;3;PRS;FIN	N
homo	homo	homo	homo	N;MASC;SG	PROPN
adentro	dentro	adentro	dentro		ADV
adentro	interior	adentro	interior		ADJ
domicilio	a	domicilio	o	N;MASC;SG	DET
domicilio	tratar	domicilio	tratar	N;MASC;SG	V
domicilio	abordar	domicilio	abordar	N;MASC;SG	V
collar	colar	collar	colar	N;MASC;SG	V
setiembre	de	setiembre	de	N	ADP
aguda	aguda	agudo	agudo	ADJ;FEM;SG	N
olvido	esquecer	olvido	esquecer	N;MASC;SG	V
olvido	esquezas	olvido	esquece	N;MASC;SG	V
olvido	o	olvido	o	N;MASC;SG	DET
olvido	non	olvido	non	N;MASC;SG	PART
olvido	esquezamos	olvido	esquecer	N;MASC;SG	V
olvido	a	olvido	o	N;MASC;SG	DET
olvido	esqueceu	olvido	esquecer	N;MASC;SG	V
olvido	esquecín	olvido	esquecín	N;MASC;SG	V
olvido	as	olvido	o	N;MASC;SG	DET
olvido	esquece	olvido	esquecer	N;MASC;SG	V
olvido	esquecino	olvido	esquecino	N;MASC;SG	ADJ
asi	así	asi	así	INTJ	ADV
asi	que	asi	que	INTJ	PRO
asi	entón	asi	entón	INTJ	ADV
asi	tan	asi	tan	INTJ	ADV
arcilla	clay	arcilla	clay	N;FEM;SG	PROPN
quitar	se	quitar	se	V;NFIN	CONJ
quitar	e	quitar	e	V;NFIN	CONJ
bienvenida	benvidos	bienvenida	benvido	N;FEM;SG	V
bienvenida	a	bienvenida	o	N;FEM;SG	DET
bienvenida	nada	bienvenida	nada	N;FEM;SG	PRO
agudo	aguda	agudo	agudo	ADJ;MASC;SG	N
finalizado	os	finalizar	o	ADJ;MASC;SG;V.PTCP	DET
finalizado	rematei	finalizar	rematar	ADJ;MASC;SG;V.PTCP	V
finalizado	xa	finalizar	xa	ADJ;MASC;SG;V.PTCP	ADV
finalizado	rematado	finalizar	rematar	ADJ;MASC;SG;V.PTCP	V
finalizado	remate	finalizar	remate	ADJ;MASC;SG;V.PTCP	PROPN
finalizado	acabado	finalizar	acabar	ADJ;MASC;SG;V.PTCP	V
finalizado	rematar	finalizar	rematar	ADJ;MASC;SG;V.PTCP	V
finalizado	rematou	finalizar	rematar	ADJ;MASC;SG;V.PTCP	V
finalizado	remataches	finalizar	remataches	ADJ;MASC;SG;V.PTCP	N
senegal	senegal	senegal	senegal	N;MASC;SG	PROPN
accesos	aos	acceso	aos	N;MASC;PL	PROPN
segundas	segundo	segundo	segundo	ADJ;FEM;PL	ADP
fusiles	as	fusil	o	N;MASC;PL	DET
diga	que	decir	que	V;IMP;SG;3;FIN	PRO
tocado	tocan	tocado	tocar	ADJ;MASC;SG;V.PTCP	V
tocado	están	tocado	estar	ADJ;MASC;SG;V.PTCP	V
tocado	tocar	tocado	tocar	ADJ;MASC;SG;V.PTCP	V
tocado	a	tocado	o	ADJ;MASC;SG;V.PTCP	DET
tocado	tocáronme	tocado	tocáronme	ADJ;MASC;SG;V.PTCP	PROPN
extender	a	extender	o	V;NFIN	DET
ayudado	a	ayudado	o	ADJ;MASC;SG;V.PTCP	DET
ayudado	axudou	ayudado	axudar	ADJ;MASC;SG;V.PTCP	V
ayudado	axuda	ayudado	axuda	ADJ;MASC;SG;V.PTCP	N
ayudado	axudounos	ayudado	axudounos	ADJ;MASC;SG;V.PTCP	N
ayudado	axudaron	ayudado	axudar	ADJ;MASC;SG;V.PTCP	V
eyes	os	eye	o	N	DET
jura	xuro	juro	xuro	V;IND;SG;3;PRS;FIN	N
jura	xúrocho	juro	xúrocho	V;IND;SG;3;PRS;FIN	N
jura	que	juro	que	V;IND;SG;3;PRS;FIN	PRO
jura	xura	juro	xuro	V;IND;SG;3;PRS;FIN	N
mandos	controla	mando	controlar	N;MASC;PL	V
complejas	complexo	complejo	complexo	ADJ;FEM;PL	N
complejas	complexas	complejo	complexo	ADJ;FEM;PL	N
complejas	complexos	complejo	complexo	ADJ;FEM;PL	N
rapidez	rápido	rapidez	rápido	N;FEM;SG	ADJ
rapidez	axiña	rapidez	axiña	N;FEM;SG	ADV
rapidez	rápida	rapidez	rápido	N;FEM;SG	ADJ
rapidez	veña	rapidez	vir	N;FEM;SG	V
rapidez	marchar	rapidez	marchar	N;FEM;SG	V
rapidez	rápido	rapidez	rápido	N;FEM;SG	ADJ
bodas	de	boda	de	N;FEM;PL	ADP
convirtiendo	a	convertir	o	V;V.MSDR	DET
cotidiana	cotiá	cotidiano	cotián	ADJ;FEM;SG	N
humilde	humilde	humilde	humilde	ADJ;SG	N
humilde	humildes	humilde	humilde	ADJ;SG	N
deber	de	deber	de	V;NFIN	ADP
deber	servizo	deber	servizo	V;NFIN	N
deber	co	deber	co	V;NFIN	PROPN
julieta	juliette	julieta	juliette	N;FEM;SG	PROPN
cayeron	caín	caer	caín	V;IND;PL;3;PST;FIN	PRO
luca	luca	luca	luca	PROPN	N
ausente	a	ausente	o	ADJ;SG	DET
ausente	desaparecidos	ausente	desaparecer	ADJ;SG	V
ausente	faltan	ausente	faltar	ADJ;SG	V
ausente	falta	ausente	falta	ADJ;SG	N
ausente	perdidos	ausente	perdido	ADJ;SG	V
ausente	faltaba	ausente	faltar	ADJ;SG	V
ciego	cegas	ciego	cega	ADJ;MASC;SG	N
ciego	cega	ciego	cega	ADJ;MASC;SG	N
ciego	cego	ciego	cego	ADJ;MASC;SG	N
ciego	cegos	ciego	cego	ADJ;MASC;SG	N
capitalismo	o	capitalismo	o	N;MASC;SG	DET
disminuye	diminución	disminuir	diminución	V;IND;SG;3;PRS;FIN	N
bares	de	bar	de	N;MASC;PL	ADP
wise	sabia	wise	sabia	N	V
graduados	estudante	graduado	estudante	ADJ;MASC;PL;V.PTCP	N
type	escribir	type	escribir	N	V
type	de	type	de	N	ADP
forzado	obrigado	forzado	obrigar	ADJ;MASC;SG;V.PTCP	V
