típica	typiska	típico	typisk	ADJ;FEM;SG	ADJ;NOM;PL
johannes	johannes	johanne	johan	N;MASC;SG	PROPN;NOM
vivendo	living	viver	living	V;V.MSDR	N;NOM;INDF;MASC+FEM;SG
vivendo	levande	viver	levande	V;V.MSDR	ADJ;NOM;PRS;V.PTCP
beatles	beatles	beatles	beatla	N;MASC;PL	PROPN;NOM
murray	murray	murray	murray	N;MASC;SG	PROPN;NOM
famosas	berömt	famoso	beröma	ADJ;FEM;PL	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
famosas	berömd	famoso	berömd	ADJ;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
famosas	känd	famoso	känd	ADJ;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
gonzaga	gonzaga	gonzaga	gonöag	N;MASC;SG	PROPN;NOM
tommy	tommy	tommy	tommy	N;MASC;SG	PROPN;NOM
metais	metall	metal	metall	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
metais	metal	metal	metal	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
four	fyra	four	fyra	N;MASC;SG	NUM;NOM
abandonado	övergivet	abandonar	övergiv	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
abandonado	övergiven	abandonar	övergiven	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
abandonado	övergivna	abandonar	övergiven	V;MASC;SG;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
carey	carey	carey	carey	N;FEM;SG	PROPN;NOM
existiam	förelåg	existir	föreligga	V;IND;PL;3;IPFV;FIN	V;IMP;PST;FIN;ACT
existiam	existerade	existir	existera	V;IND;PL;3;IPFV;FIN	V;IND;PST;V.PTCP;ACT
existiam	existerat	existir	existera	V;IND;PL;3;IPFV;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
existiam	fanns	existir	finnas	V;IND;PL;3;IPFV;FIN	V;IND;PST;FIN
obtendo	erhållande	obter	erhållande	V;V.MSDR	ADJ;NOM;PRS;V.PTCP
dick	dick	dick	då	N;MASC;SG	PROPN;NOM
africanos	afrikanskt	africano	afrikansk	N;MASC;PL	ADJ;NOM;INDF;NEUT;SG
africanos	afrikansk	africano	afrikansk	N;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
africanos	afrikanska	africano	afrikansk	N;MASC;PL	ADJ;NOM;PL
testemunhas	vittne	testemunha	vittne	N;FEM;PL	N;NOM;INDF;NEUT;SG
determinação	fastställande	determinação	fastställande	N;FEM;SG	ADJ;NOM;PRS;V.PTCP
nicolas	nicolas	nicola	nicola	N;MASC;SG	PROPN;NOM
fighting	slåss	fighting	slåss	N;MASC;SG	V;FIN;PASS
fighting	kämpa	fighting	kämpa	N;MASC;SG	V;IMP;FIN;ACT
fighting	kämpar	fighting	kämp	N;MASC;SG	V;IND;PRS;FIN;ACT
fighting	kämpande	fighting	kämpande	N;MASC;SG	ADJ;NOM;PRS;V.PTCP
minerais	mineral	mineral	mineral	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
minerais	mineral	mineral	mineral	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
separado	separerad	separar	separerad	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
separado	åtskilda	separar	åtskilja	V;MASC;SG;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
separado	separerat	separar	separerad	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
separado	separerade	separar	separera	V;MASC;SG;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
separado	avskilda	separar	avskild	V;MASC;SG;V.PTCP	ADJ;NOM;PL;PST;V.PTCP
separado	separat	separar	separat	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG
separado	separat	separar	separat	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG
separado	separata	separar	separat	V;MASC;SG;V.PTCP	ADJ;NOM;PL
decoração	dekorera	decoração	dekorera	N;FEM;SG	V;NFIN;ACT
secret	hemliga	secret	hemlig	N;MASC;SG	ADJ;NOM;PL
secret	hemlig	secret	hemlig	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
secret	hemligt	secret	hemlig	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG
herschel	herschel	herschel	herschel	N;MASC;SG	PROPN;NOM
azuis	blå	azul	blå	N;MASC;PL	ADJ;NOM;PL
azuis	blue	azul	blue	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
azuis	blåa	azul	blåa	N;MASC;PL	ADJ;NOM;PL
azuis	blått	azul	blå	N;MASC;PL	N;NOM;INDF;NEUT;SG
azuis	blues	azul	blues	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
