til	for	til	for	ADV	
den	az	den	az	PRO;ACC;MASC+FEM;SG;3	
for	for	for	for	ADP	
med	with	med	with	ADV	
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	
fra	től	fra	től	ADV	
fra	tól	fra	tól	ADV	
fra	from	fra	from	ADV	
også	szintén	også	szintén	ADV	
også	úgyszintén	også	úgyszintén	ADV	
også	is	også	is	ADV	CONJ
også	túl	også	túl	ADV	
efter	után	efter	után	ADV	ADP
efter	after	efter	after	ADV	
efter	miután	efter	miután	ADV	CONJ
efter	utána	efter	utána	ADV	
sig	mondd	sig	mondd	PRO;ACC;3;REFL	V;DEF;IMP;SG;1;PRS;FIN;ACT
kan	may	kunne	may	V;IND;PRS;FIN;ACT	
kan	május	kunne	május	V;IND;PRS;FIN;ACT	N;NOM;SG
kan	májusi	kunne	májusi	V;IND;PRS;FIN;ACT	ADJ;NOM;SG
kan	májusban	kunne	május	V;IND;PRS;FIN;ACT	N;IN+ESS;SG
kan	can	kunne	can	V;IND;PRS;FIN;ACT	
kan	lehet	kunne	lesz	V;IND;PRS;FIN;ACT	V;INDF;POT;SG;3;PRS;FIN;ACT
score	pontszám	score	pontszám	V;NFIN;ACT	N;NOM;SG
score	pontszám	score	pontszám	V;NFIN;ACT	N;NOM;SG
under	alul	under	alul	ADV	
under	alatt	under	alatt	ADV	ADP
under	alatta	under	alat	ADV	
under	lent	under	lesz	ADV	
under	alatt	under	alatt	ADV	ADP
under	alatta	under	alat	ADV	
under	alá	under	alá	ADV	ADP
hans	hans	hans	hans	DET;3	PROPN;NOM;SG
over	vége	over	vég	ADV	N;NOM;SG
over	fölötte	over	fölött	ADV	
over	felett	over	felett	ADV	ADP
over	fölött	over	fölött	ADV	ADP
over	fent	over	fent	ADV	
over	fenti	over	fent	ADV	
over	felette	over	felet	ADV	PRO;NOM;SG;3
første	először	første	először	ADJ	ADV
henvisninger	hivatkozás	henvisning	hivatkozás	N;INDF;MASC+FEM;PL	N;NOM;SG
dansk	dán	dansk	dán	ADJ;INDF;SG	
mod	felé	mod	felé	N;INDF;NEUT;SG	ADP
mod	ellene	mod	ellen	N;INDF;NEUT;SG	PRO;NOM;SG;3
mod	ellen	mod	ellen	N;INDF;NEUT;SG	ADP
andre	egyéb	anden	egyéb	PRO;PL	
andre	más	anden	más	PRO;PL	PRO;NOM;SG;3
andre	másoknak	anden	más	PRO;PL	PRO;DAT;PL;3
andre	egyéb	anden	egyéb	PRO;PL	
andre	mások	anden	más	PRO;PL	
andre	egyebek	anden	egyéb	PRO;PL	
del	del	del	del	N;INDF;MASC+FEM;SG	
del	részben	del	részben	N;INDF;MASC+FEM;SG	ADV
del	megosztás	del	megosztás	N;INDF;MASC+FEM;SG	
flere	számos	mange	számos	ADJ;CMPR;PL	
flere	többszörös	mange	többszörös	ADJ;CMPR;PL	N;NOM;SG
flere	többszörösen	mange	többszörös	ADJ;CMPR;PL	ADJ;FRML;SG
flere	több	mange	több	ADJ;CMPR;PL	DET;INDF
flere	more	mange	more	ADJ;CMPR;PL	
flere	további	mange	további	ADJ;CMPR;PL	N;NOM;SG
flere	tobb	mange	tobb	ADJ;CMPR;PL	
deres	övék	deres	övék	DET;3	N;NOM;SG
alle	mindegyik	al	mindegyik	ADJ;PL	
alle	mind	al	mind	ADJ;PL	CONJ
alle	minden	al	minden	ADJ;PL	PRO;NOM;SG;3
alle	mindenki	al	mindenki	ADJ;PL	
alle	mindenkinek	al	mindenki	ADJ;PL	
danmark	dániában	danmark	dánia		N;IN+ESS;SG
danmark	dánia	danmark	dánia		N;NOM;SG
mange	sok	mange	sok	ADJ;PL	
mange	sokan	mange	sokan	ADJ;PL	ADV
team	team	team	team	N;INDF;NEUT;SG	
kunne	lehetne	kunne	lesz	V;IND;PST;FIN;ACT	V;INDF;SG;3;PRS;FIN;ACT
danske	dán	dansk	dán	ADJ;PL	
kun	kizárólag	kun	kizárólag	ADV	
dog	azonban	dog	azonban	ADV	CONJ
dog	mindamellett	dog	mindamellett	ADV	
dog	mindazonáltal	dog	mindazonáltal	ADV	CONJ
dog	azonban	dog	azonban	ADV	CONJ
tidligere	korábbi	tidligere	korábbi	ADV;CMPR	ADJ;NOM;CMPR;SG
tidligere	korábbi	tidligere	korábbi	ADV;CMPR	ADJ;NOM;CMPR;SG
tidligere	előző	tidligere	előző	ADV;CMPR	
tidligere	korábbi	tidligere	korábbi	ADV;CMPR	ADJ;NOM;CMPR;SG
siden	mivel	siden	mivel	ADV	CONJ
siden	óta	siden	óta	ADV	ADP
siden	oldalt	siden	oldal	ADV	N;ACC;SG
siden	oldal	siden	oldal	ADV	N;NOM;SG
skal	kéne	skulle	kéne	V;IND;PRS;FIN;ACT	V;INDF;COND;SG;3;PRS;FIN;ACT
skal	kellene	skulle	kell	V;IND;PRS;FIN;ACT	V;INDF;COND;SG;3;PRS;FIN;ACT
skal	héj	skulle	héj	V;IND;PRS;FIN;ACT	N;NOM;SG
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	
skal	kagyló	skulle	kagyló	V;IND;PRS;FIN;ACT	
have	kert	have	ker	V;NFIN;ACT	N;NOM;SG
have	kertje	have	kert	V;NFIN;ACT	N;NOM;SG
have	garden	have	garden	V;NFIN;ACT	
have	kertben	have	kert	V;NFIN;ACT	N;IN+ESS;SG
mere	több	mere	több	ADV;CMPR	DET;INDF
mere	more	mere	more	ADV;CMPR	
mere	további	mere	további	ADV;CMPR	N;NOM;SG
mere	tobb	mere	tobb	ADV;CMPR	
store	nagyok	stor	nagy	ADJ;PL	N;NOM;PL
store	nagyméretű	stor	nagyméretű	ADJ;PL	ADJ;NOM;SG
store	nagy	stor	nagy	ADJ;PL	ADJ;NOM;SG
store	nagyok	stor	nagy	ADJ;PL	N;NOM;PL
store	nagy	stor	nagy	ADJ;PL	ADJ;NOM;SG
meget	nagyon	meget	nagyon	ADJ;INDF;SG	ADV
meget	sok	meget	sok	ADJ;INDF;SG	
meget	sokat	meget	sok	ADJ;INDF;SG	
sammen	együtt	sammen	együtt	ADV	
samme	ugyanez	samme	ugyanez	ADJ	
samme	ugyanaz	samme	ugyanaz	ADJ	
vil	will	ville	will	V;IND;PRS;FIN;ACT	
vil	fog	ville	fog	V;IND;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;ACT
vil	akarat	ville	akarat	V;IND;PRS;FIN;ACT	N;NOM;SG
seed	vetőmag	seed	vetőmag		N;NOM;SG
seed	mag	seed	mag		
ham	neki	han	ő	PRO;ACC;MASC+FEM;SG;3	
omkring	kb	omkring	kb	ADV	N;NOM;SG
omkring	nagyjából	omkring	nagy	ADV	N;IN+ABL;SG
omkring	körül	omkring	körül	ADV	ADP
selv	még	selv	még	PRO	ADV
københavn	koppenhága	københavn	koppenhág	PROPN	N;NOM;SG
