kategória	kategorii	kategória	kategoria	N;NOM;FEM;SG	N;GEN;FEM;SG
roku	rok	rok	rok	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
ako	jak	ako	jak	ADV	ADV
ako	jak	ako	jak	ADV	ADV
ako	like	ako	lik	ADV	
pozri	patrz	pozrieť	patrzeć	V;PFV;IMP;SG;2;POS;FIN	V;IPFV;IMP;SG;2;FIN;ACT
obce	gminy	obec	gmina	N;NOM;FEM;PL	
obce	gmin	obec	gmina	N;NOM;FEM;PL	
obce	gminy	obec	gmina	N;NOM;FEM;PL	
obce	wioski	obec	wioska	N;NOM;FEM;PL	N;ACC;FEM;SG
mba	mba	mba	mba		
obyvateľov	mieszkańcy	obyvateľ	mieszkaniec	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
obyvateľov	mieszkańcy	obyvateľ	mieszkaniec	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
obec	gmina	obec	gmina	N;NOM;FEM;SG	
obec	wiosce	obec	wioska	N;NOM;FEM;SG	N;DAT;FEM;SG
obec	wioski	obec	wioska	N;NOM;FEM;SG	N;ACC;FEM;SG
pre	na	pre	na	ADP;ACC	INTJ
pre	za	pre	za	ADP;ACC	PART
jeho	jego	jeho	on	DET;NOM;NEUT;SG;3	PRO;GEN;MASC;SG;3
jeho	jego	jeho	on	DET;NOM;NEUT;SG;3	PRO;GEN;MASC;SG;3
ktorá	które	ktorý	który	DET;NOM;FEM;SG	DET;ACC;MASC;SG
ktorá	która	ktorý	który	DET;NOM;FEM;SG	DET;NOM;FEM;SG
ktorá	który	ktorý	który	DET;NOM;FEM;SG	DET;NOM;MASC;SG
bod	pkt	bod	punkt	N;INAN;NOM;MASC;SG	
bod	point	bod	point	N;INAN;NOM;MASC;SG	
pri	pri	pri	prić	ADP;ESS	PROPN;NOM;MASC;SG
ktoré	które	ktorý	który	DET;NOM;NEUT;SG	DET;ACC;MASC;SG
ktoré	która	ktorý	który	DET;NOM;NEUT;SG	DET;NOM;FEM;SG
ktoré	który	ktorý	który	DET;NOM;NEUT;SG	DET;NOM;MASC;SG
ktorý	które	ktorý	który	DET;ANIM;NOM;MASC;SG	DET;ACC;MASC;SG
ktorý	która	ktorý	który	DET;ANIM;NOM;MASC;SG	DET;NOM;FEM;SG
ktorý	który	ktorý	który	DET;ANIM;NOM;MASC;SG	DET;NOM;MASC;SG
zoznam	listy	zoznam	list	N;INAN;NOM;MASC;SG	
zoznam	listę	zoznam	lista	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
odkazy	odniesienia	odkaz	odnieść	N;INAN;NOM;MASC;PL	N;GEN;NEUT;SG
