और	oraz	और	oraz		CONJ
से	od	से	od		ADP
है	hai	है	haić	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
है	hal	है	hala	V;IND;SG;3;PRS;FIN;ACT	
एक	jeden	एक	jeden	NUM	ADJ;NOM;MASC;SG
एक	jedna	एक	jeden	NUM	ADJ;NOM;FEM;SG
श्रेणी	kategorii	श्रेणी	kategoria	N;NOM;FEM;SG;3	N;GEN;FEM;SG
श्रेणी	szeregi	श्रेणी	szereg	N;NOM;FEM;SG;3	N;ACC;MASC;SG
श्रेणी	serie	श्रेणी	serie	N;NOM;FEM;SG;3	
श्रेणी	series	श्रेणी	series	N;NOM;FEM;SG;3	
श्रेणी	serii	श्रेणी	seria	N;NOM;FEM;SG;3	
श्रेणी	kategorii	श्रेणी	kategoria	N;NOM;FEM;SG;3	N;GEN;FEM;SG
श्रेणी	kategorie	श्रेणी	kategora	N;NOM;FEM;SG;3	N;NOM;FEM;PL
भी	tez	भी	tez	PART	
भी	too	भी	too	PART	
यह	tym	यह	to	PRO;NOM;SG;3	PRO;INS;NEUT;SG
किया	zrobione	कर	zrobić	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
इस	tym	यह	to	DET;ACC;SG;3	PRO;INS;NEUT;SG
हैं	są	है	być	V;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
कि	że	कि	że		PART
भारत	indie	भारत	indie	PROPN;NOM;MASC;SG;3	
जो	joe	जो	joe	PRO;NOM;SG;3	PROPN;NOM;MASC;SG
जो	joego	जो	jo	PRO;NOM;SG;3	N;ACC;MASC;SG
जो	kto	जो	kto	PRO;NOM;SG;3	PRO;NOM;MASC;SG
जो	kogo	जो	kto	PRO;NOM;SG;3	PRO;ACC;MASC;SG
जो	who	जो	who	PRO;NOM;SG;3	
ही	hee	ही	hem	PART	
रूप	formularz	रूप	formularz	N;NOM;MASC;SG;3	N;ACC;MASC;SG
रूप	formy	रूप	forma	N;NOM;MASC;SG;3	N;ACC;FEM;PL
रूप	formularza	रूप	formularz	N;NOM;MASC;SG;3	N;GEN;MASC;SG
कर	podatki	कर	podatek	V;ACT	N;NOM;MASC;PL
कर	podatek	कर	podatek	V;ACT	N;ACC;MASC;SG
कर	podatki	कर	podatek	V;ACT	N;NOM;MASC;PL
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	
साथ	wzdłuż	साथ	wzdłuż	ADV;NOM;MASC;SG;3	
