और	ve	और	ve		CONJ
है	mrb	है	mrb	V;IND;SG;3;PRS;FIN;ACT	
एक	biri	एक	biri	NUM	PRO;NOM;SG;3
एक	bir	एक	bir	NUM	
श्रेणी	kategori	श्रेणी	kategori	N;NOM;FEM;SG;3	
श्रेणी	serisi	श्रेणी	seri	N;NOM;FEM;SG;3	PROPN;NOM;SG;3
श्रेणी	seri	श्रेणी	seri	N;NOM;FEM;SG;3	
श्रेणी	kategorileri	श्रेणी	kategori	N;NOM;FEM;SG;3	N;ACC;PL;3
भी	bile	भी	bile	PART	ADV
भी	hatta	भी	hatta	PART	CONJ
भी	ayrica	भी	ayrica	PART	
भी	ayrıca	भी	ayrıca	PART	
यह	bu	यह	bu	PRO;NOM;SG;3	
यह	bunu	यह	bu	PRO;NOM;SG;3	PRO;ACC;SG;3
किया	yapıldı	कर	yap	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST;PASS
इस	bu	यह	bu	DET;ACC;SG;3	
इस	bunu	यह	bu	DET;ACC;SG;3	PRO;ACC;SG;3
कि	bunu	कि	bu		PRO;ACC;SG;3
भारत	hindistan	भारत	hindistan	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
भारत	hint	भारत	hint	PROPN;NOM;MASC;SG;3	
जो	joe	जो	joe	PRO;NOM;SG;3	
जो	kimler	जो	kim	PRO;NOM;SG;3	
जो	who	जो	who	PRO;NOM;SG;3	
ही	hee	ही	hee	PART	
रूप	formu	रूप	formu	N;NOM;MASC;SG;3	
रूप	biçim	रूप	biçim	N;NOM;MASC;SG;3	
रूप	form	रूप	form	N;NOM;MASC;SG;3	
रूप	görünüş	रूप	görünüş	N;NOM;MASC;SG;3	
कर	vergiler	कर	vergi	V;ACT	N;NOM;PL;3
कर	vergiden	कर	vergi	V;ACT	N;AT+ABL;SG;3
कर	vergi	कर	vergi	V;ACT	N;NOM;SG;3
कर	vergisi	कर	vergi	V;ACT	N;NOM;SG;3
कर	vergiler	कर	vergi	V;ACT	N;NOM;PL;3
कर	vergileri	कर	vergi	V;ACT	N;ACC;PL;3
कर	vergi	कर	vergi	V;ACT	N;NOM;SG;3
नहीं	olmaz	नहीं	ol	PART;NEG	V;IPFV;IND;SG;3;NEG
नहीं	değil	नहीं	değil	PART;NEG	
नहीं	yok	नहीं	yok	PART;NEG	
साथ	with	साथ	with	ADV;NOM;MASC;SG;3	
साथ	ile	साथ	ile	ADV;NOM;MASC;SG;3	
साथ	beraber	साथ	beraber	ADV;NOM;MASC;SG;3	
