skapande	creación	skapande	creación	ADJ;NOM;PRS;V.PTCP	N
tvingar	a	tving	o	V;IND;PRS;FIN;ACT	DET
gus	gus	gus	gus	PROPN;NOM	PROPN
perfect	perfecto	perfect	perfecto	N;NOM;INDF;NEUT;SG	ADJ
perfect	perfecta	perfect	perfecto	N;NOM;INDF;NEUT;SG	ADJ
golv	andar	golv	andar	N;NOM;INDF;NEUT;SG	V
kärnvapen	nucleares	kärnvapen	nuclear	N;NOM;DEF;NEUT;PL	V
paradis	o	paradis	o	N;NOM;INDF;NEUT;SG	DET
asia	asia	asia	asia	N;NOM;INDF;NEUT;SG	PROPN
asia	de	asia	de	N;NOM;INDF;NEUT;SG	ADP
rekommenderas	que	rekommendera	que	V;IND;NFIN;PASS	PRO
tunnelbanan	sen	tunnelbana	sen	N;NOM;DEF;MASC+FEM;SG	ADP
morbror	tonton	morbro	tontor	N;NOM;INDF;MASC+FEM;SG	PROPN
tillåten	permitiu	tillåten	permitir	ADJ;NOM;INDF;MASC+FEM;SG	V
tillåten	se	tillåten	se	ADJ;NOM;INDF;MASC+FEM;SG	CONJ
tillåten	permita	tillåten	permitir	ADJ;NOM;INDF;MASC+FEM;SG	V
tillåten	lles	tillåten	lle	ADJ;NOM;INDF;MASC+FEM;SG	PRO
tillåten	permite	tillåten	permitir	ADJ;NOM;INDF;MASC+FEM;SG	V
tillåten	non	tillåten	non	ADJ;NOM;INDF;MASC+FEM;SG	PART
tillåten	permiten	tillåten	permitir	ADJ;NOM;INDF;MASC+FEM;SG	V
tillåten	vir	tillåten	vir	ADJ;NOM;INDF;MASC+FEM;SG	V
bly	conducir	bly	conducir	N;NOM;INDF;NEUT;SG	V
bly	levar	bly	levar	N;NOM;INDF;NEUT;SG	V
bly	a	bly	o	N;NOM;INDF;NEUT;SG	DET
bly	até	bly	até	N;NOM;INDF;NEUT;SG	ADV
upphöra	alto	upphöra	alto	V;IMP;FIN;ACT	ADJ
upphöra	o	upphöra	o	V;IMP;FIN;ACT	DET
done	feito	dö	feito	V;IMP;FIN;ACT	N
löv	deixa	löv	deixar	N;NOM;INDF;NEUT;SG	V
löv	as	löv	o	N;NOM;INDF;NEUT;SG	DET
löv	sae	löv	saír	N;NOM;INDF;NEUT;SG	V
koppla	conectarnos	koppla	conectarno	V;IMP;FIN;ACT	ADJ
dolda	oculto	dölja	oculto	ADJ;NOM;PL;PST;V.PTCP	N
dolda	oculta	dölja	oculto	ADJ;NOM;PL;PST;V.PTCP	V
dolda	ocultas	dölja	oculto	ADJ;NOM;PL;PST;V.PTCP	N
dolda	escondidos	dölja	esconder	ADJ;NOM;PL;PST;V.PTCP	V
dolda	escondidas	dölja	esconder	ADJ;NOM;PL;PST;V.PTCP	V
ideella	sen	ideell	sen	ADJ;NOM;PL	ADP
ideella	ánimo	ideell	ánimo	ADJ;NOM;PL	N
ideella	lucro	ideell	lucro	ADJ;NOM;PL	N
imperial	imperial	imperial	imperial	N;NOM;INDF;MASC+FEM;SG	ADJ
kommunisterna	os	kommunist	o	N;NOM;DEF;MASC+FEM;PL	DET
utvald	escollida	utvälja	escollida	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V
kört	conducido	köra	conducir	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
luca	luca	luca	luca	PROPN;NOM	N
solomon	solomon	solomon	solomon	PROPN;NOM	PROPN
strong	forte	strong	forte	N;NOM;INDF;MASC+FEM;SG	ADJ
strong	fortes	strong	forte	N;NOM;INDF;MASC+FEM;SG	ADJ
existera	existencia	existera	existencia	V;IMP;FIN;ACT	N
existera	vida	existera	vida	V;IMP;FIN;ACT	N
dödad	a	dödad	o	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	DET
dödad	mataron	dödad	matar	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V
dödad	matou	dödad	matar	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V
dödad	asasinado	dödad	asasinar	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V
dödad	mortos	dödad	morto	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N
hantering	de	hantering	de	N;NOM;INDF;MASC+FEM;SG	ADP
hantering	a	hantering	o	N;NOM;INDF;MASC+FEM;SG	DET
kristet	christian	kristen	christian	ADJ;NOM;INDF;NEUT;SG	V
kristet	cristiáns	kristen	cristián	ADJ;NOM;INDF;NEUT;SG	N
obs	a	obs	o	N;NOM;INDF;MASC+FEM;SG	DET
trust	en	trust	en	N;NOM;INDF;MASC+FEM;SG	ADP
trust	confiar	trust	confiar	N;NOM;INDF;MASC+FEM;SG	V
trust	confío	trust	confío	N;NOM;INDF;MASC+FEM;SG	V
slow	lento	slow	lento	N;NOM;INDF;MASC+FEM;SG	ADJ
slow	lenta	slow	lento	N;NOM;INDF;MASC+FEM;SG	ADJ
slow	lentos	slow	lento	N;NOM;INDF;MASC+FEM;SG	ADJ
slow	ou	slow	ou	N;NOM;INDF;MASC+FEM;SG	CONJ
slow	frean	slow	frear	N;NOM;INDF;MASC+FEM;SG	V
