iranian	پشتو	iranian	پشتو	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
soartă	تباہی	soartă	تباہی	N;INDF;FEM;SG	N;NOM;MASC;SG;3
soartă	مآل	soartă	مآل	N;INDF;FEM;SG	
soartă	بربادی.	soartă	بربادی.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
soartă	موت	soartă	موت	N;INDF;FEM;SG	N;NOM;FEM;SG;3
confirmarea	توثیق	confirmare	توثیق	N;DEF;FEM;SG	N;NOM;MASC;SG;3
amiază	دوپہر	amiază	دوپہر	N;INDF;FEM;SG	N;NOM;MASC;SG;3
avansează	قرضہ.	avansa	قرضہ.	V;IND;3;PRS;FIN	PROPN;NOM;MASC;SG;3
avansează	ترقی.	avansa	ترقی.	V;IND;3;PRS;FIN	PROPN;NOM;MASC;SG;3
avansează	رقم	avansa	رقم	V;IND;3;PRS;FIN	N;NOM;MASC;SG;3
absorbție	انہماک	absorbție	انہماک	N;INDF;FEM;SG	N;NOM;MASC;SG;3
absorbție	استغراق	absorbție	استغراق	N;INDF;FEM;SG	N;NOM;MASC;SG;3
accept	عہدے	accept	عہدہ	V;IND;SG;1;PRS;FIN	N;NOM;MASC;SG;3
accept	ہنڈی	accept	ہنڈی	V;IND;SG;1;PRS;FIN	PROPN;NOM;MASC;SG;3
accept	(	accept	(	V;IND;SG;1;PRS;FIN	
accept	عہدے	accept	عہدہ	V;IND;SG;1;PRS;FIN	N;NOM;MASC;SG;3
accept	ہنڈی	accept	ہنڈی	V;IND;SG;1;PRS;FIN	PROPN;NOM;MASC;SG;3
accept	(	accept	(	V;IND;SG;1;PRS;FIN	
proeminent	اُبھرواں	proeminent	اُبھرواں	ADJ;INDF;MASC;SG	NUM
proeminent	امتیازی.	proeminent	امتیازی.	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
vapori	دھواں	vapori	دھواں	N;INDF;MASC;PL	N;NOM;MASC;SG;3
vapori	بھاپ.	vapori	بھاپ.	N;INDF;MASC;PL	PROPN;NOM;MASC;SG;3
