til	per	til	per	ADV	ADP
den	il	den	il	PRO;ACC;MASC+FEM;SG;3	DET;DEF;MASC;SG
den	la	den	il	PRO;ACC;MASC+FEM;SG;3	DET;DEF;FEM;SG
med	con	med	con	ADV	ADP
var	era	være	essere	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
var	fu	være	essere	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
var	erano	være	essere	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
blev	era	blive	essere	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
blev	fu	blive	essere	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
han	han	han	avere	PRO;NOM;MASC+FEM;SG;3	V;IND;PL;3;PRS;FIN
fra	dal	fra	dal	ADV	ADJ;SG
fra	dalla	fra	dalla	ADV	ADJ;SG
fra	from	fra	from	ADV	
fra	da	fra	da	ADV	ADP
har	got	have	got	V;IND;PRS;FIN;ACT	
ved	know	vide	know	V;IND;PRS;FIN;ACT	N
også	too	også	too	ADV	
efter	after	efter	after	ADV	
sig	dite	sig	dire	PRO;ACC;3;REFL	V;IND;PL;2;PRS;FIN
sig	dire	sig	dire	PRO;ACC;3;REFL	V;NFIN
kan	may	kunne	may	V;IND;PRS;FIN;ACT	N
kan	maggio	kunne	maggio	V;IND;PRS;FIN;ACT	N;MASC;SG
kan	può	kunne	potere	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kan	possono	kunne	potere	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
kan	can	kunne	can	V;IND;PRS;FIN;ACT	
kan	può	kunne	potere	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
score	punteggio	score	punteggio	V;NFIN;ACT	N;MASC;SG
score	punteggio	score	punteggio	V;NFIN;ACT	N;MASC;SG
score	punteggi	score	punteggio	V;NFIN;ACT	N;MASC;PL
hvor	where	hvor	where	ADV	
havde	aveva	have	avere	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
havde	avevano	have	avere	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
under	sotto	under	sotto	ADV	ADP
under	sotto	under	sotto	ADV	ADP
under	under	under	undere	ADV	N;MASC
hans	hans	hans	hans	DET;3	N;MASC;SG
hans	his	hans	his	DET;3	
over	over	over	over	ADV	N
første	prima	første	prima	ADJ	ADV
dansk	danesi	dansk	danese	ADJ;INDF;SG	N;PL
dansk	dansk	dansk	dansk	ADJ;INDF;SG	N;MASC;SG
mod	contrari	mod	contrario	N;INDF;NEUT;SG	ADJ;MASC;PL
mod	against	mod	against	N;INDF;NEUT;SG	
mod	contro	mod	contro	N;INDF;NEUT;SG	ADP
hun	she	hun	she	PRO;NOM;MASC+FEM;SG;3	
andre	altro	anden	altro	PRO;PL	PRO;MASC;SG
andre	altre	anden	altro	PRO;PL	DET;FEM;PL
andre	altre	anden	altro	PRO;PL	DET;FEM;PL
denne	this	denne	this	PRO;MASC+FEM;SG	
denne	questo	denne	questo	PRO;MASC+FEM;SG	DET;MASC;SG
denne	questa	denne	questo	PRO;MASC+FEM;SG	DET;FEM;SG
fik	got	få	got	V;IND;PST;FIN;ACT	
del	del	del	di	N;INDF;MASC+FEM;SG	ADJ;SG
del	condividi	del	condividere	N;INDF;MASC+FEM;SG	V;IMP;SG;2;PRS;FIN
del	condividere	del	condividere	N;INDF;MASC+FEM;SG	V;NFIN
født	born	føde	borno	V;INDF;SG;PST;V.PTCP	N;MASC;SG
født	nati	føde	nascere	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
født	nasce	føde	nascere	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
flere	diversi	mange	diverso	ADJ;CMPR;PL	DET;MASC;PL
flere	multipla	mange	multipla	ADJ;CMPR;PL	ADJ;FEM;SG
flere	multiplo	mange	multiplo	ADJ;CMPR;PL	N;MASC;SG
flere	altro	mange	altro	ADJ;CMPR;PL	PRO;MASC;SG
flere	more	mange	more	ADJ;CMPR;PL	N;SG
flere	più	mange	più	ADJ;CMPR;PL	ADV
dette	this	denne	this	PRO;NEUT;SG	
dette	questo	denne	questo	PRO;NEUT;SG	DET;MASC;SG
dette	questa	denne	questo	PRO;NEUT;SG	DET;FEM;SG
deres	loro	deres	loro	DET;3	PRO;PL;3
alle	tutto	al	tutto	ADJ;PL	PRO;MASC;SG
alle	tutte	al	tutto	ADJ;PL	DET;FEM;PL
alle	tutti	al	tutto	ADJ;PL	PRO;MASC;PL
alle	tutti	al	tutto	ADJ;PL	PRO;MASC;PL
danmark	danimarca	danmark	danimarco		N;FEM;SG
mange	molte	mange	molto	ADJ;PL	DET;FEM;PL
mange	tanti	mange	tanto	ADJ;PL	PRO;MASC;PL
mange	molti	mange	molto	ADJ;PL	PRO;MASC;PL
mange	tantissimi	mange	tanto	ADJ;PL	ADJ;AB;MASC;PL
kunne	potrebbe	kunne	potere	V;IND;PST;FIN;ACT	V;COND;SG;3;PRS;FIN
kunne	potrebbero	kunne	potere	V;IND;PST;FIN;ACT	V;COND;PL;3;PRS;FIN
danske	danese	dansk	danese	ADJ;PL	ADJ;SG
danske	danesi	dansk	danese	ADJ;PL	N;PL
danske	danske	dansk	danska	ADJ;PL	N;MASC
kun	only	kun	only	ADV	
tidligere	ex	tidligere	ex	ADV;CMPR	ADJ
tidligere	precedente	tidligere	precedente	ADV;CMPR	ADJ;SG
tidligere	precedenti	tidligere	precedente	ADV;CMPR	ADJ;PL
siden	pagine	siden	pagina	ADV	N;FEM;PL
siden	pagina	siden	pagina	ADV	N;FEM;SG
siden	page	siden	pagare	ADV	N;FEM;SG
skal	dovrebbe	skulle	dovere	V;IND;PRS;FIN;ACT	V;COND;SG;3;PRS;FIN
skal	dovrebbero	skulle	dovere	V;IND;PRS;FIN;ACT	V;COND;PL;3;PRS;FIN
skal	conchiglia	skulle	conchiglia	V;IND;PRS;FIN;ACT	N;FEM;SG
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	N
skal	guscio	skulle	guscio	V;IND;PRS;FIN;ACT	N;MASC;SG
skal	devono	skulle	dovere	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
skal	mosto	skulle	mosto	V;IND;PRS;FIN;ACT	N;MASC;SG
skal	deve	skulle	dovere	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
skal	must	skulle	must	V;IND;PRS;FIN;ACT	N
have	giardino	have	giardino	V;NFIN;ACT	N;MASC;SG
mere	altro	mere	altro	ADV;CMPR	PRO;MASC;SG
mere	more	mere	more	ADV;CMPR	N;SG
store	large	stor	large	ADJ;PL	N;MASC;SG
store	grande	stor	grande	ADJ;PL	ADJ;SG
store	grosso	stor	grosso	ADJ;PL	ADJ;MASC;SG
store	grande	stor	grande	ADJ;PL	ADJ;SG
store	big	stor	big	ADJ;PL	N
meget	molto	meget	molto	ADJ;INDF;SG	ADV
meget	molto	meget	molto	ADJ;INDF;SG	ADV
meget	much	meget	much	ADJ;INDF;SG	
sammen	together	sammen	together	ADV	N
end	than	end	than	ADP	
vil	will	ville	will	V;IND;PRS;FIN;ACT	
vil	testamento	ville	testamento	V;IND;PRS;FIN;ACT	N;MASC;SG
vil	volontà	ville	volontà	V;IND;PRS;FIN;ACT	N;FEM
vil	vuoi	ville	volere	V;IND;PRS;FIN;ACT	V;IMP;SG;2;PRS;FIN
seed	seme	seed	seme		N;MASC;SG
seed	sementi	seed	semento		N;FEM;PL
omkring	around	omkring	around	ADV	N
selv	even	selv	eveno	PRO	
selv	perfino	selv	perfino	PRO	ADV
selv	persino	selv	persino	PRO	ADV
selv	anche	selv	anche	PRO	ADV
københavn	copenhagen	københavn	copenhagen	PROPN	N;MASC
københavn	copenaghen	københavn	copenaghen	PROPN	N;FEM;SG
kom	vieni	komme	venire	V;IND;PST;FIN;ACT	V;IND;SG;2;PRS;FIN
kom	venite	komme	venita	V;IND;PST;FIN;ACT	V;IND;PL;2;PRS;FIN
skulle	dovrebbe	skulle	dovere	V;IND;PST;FIN;ACT	V;COND;SG;3;PRS;FIN
skulle	dovrebbero	skulle	dovere	V;IND;PST;FIN;ACT	V;COND;PL;3;PRS;FIN
and	duck	and	duck		N
and	anatre	and	anatro		N;FEM;PL
and	papera	and	papera		N;FEM;SG
and	anatra	and	anatro		N;FEM;SG
tre	three	tre	tareo	NUM	N
disse	queste	denne	questo	PRO;PL	DET;FEM;PL
nogle	alcune	nogen	alcuno	PRO;PL	DET;FEM;PL
nogle	some	nogen	some	PRO;PL	
maj	può	maj	potere	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
anden	seconda	anden	secondo	PRO;MASC+FEM;SG	ADJ;FEM;SG
anden	secondo	anden	secondo	PRO;MASC+FEM;SG	ADJ;MASC;SG
anden	secondi	anden	secondo	PRO;MASC+FEM;SG	N;MASC;PL
andet	seconda	anden	secondo	PRO;NEUT;SG	ADJ;FEM;SG
andet	secondo	anden	secondo	PRO;NEUT;SG	ADJ;MASC;SG
andet	secondi	anden	secondo	PRO;NEUT;SG	N;MASC;PL
andet	altre	anden	altro	PRO;NEUT;SG	DET;FEM;PL
andet	altri	anden	altro	PRO;NEUT;SG	PRO;MASC;PL
her	here	her	vero	ADV	
tilbage	schiena	tilbage	schiena	ADV	N;FEM;SG
tilbage	ritorno	tilbage	ritorno	ADV	N;MASC;SG
tilbage	back	tilbage	back	ADV	N
cest	cest	cest	cest		N;SG
død	morti	død	morto	N;INDF;MASC+FEM;SG	N;MASC;PL
død	morta	død	morire	N;INDF;MASC+FEM;SG	V;FEM;SG;PST;V.PTCP
død	morto	død	morire	N;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP
forskellige	differente	forskellig	differente	ADJ;PL	ADJ;SG
forskellige	diversa	forskellig	diverso	ADJ;PL	DET;FEM;SG
forskellige	diverso	forskellig	diverso	ADJ;PL	ADJ;MASC;SG
forskellige	diversi	forskellig	diverso	ADJ;PL	DET;MASC;PL
nye	novità	ny	novità	ADJ;PL	N;FEM
nye	nuovo	ny	nuovo	ADJ;PL	ADJ;MASC;SG
nye	nuova	ny	nuovo	ADJ;PL	ADJ;FEM;SG
både	imbarcazioni	både	imbarcazione	ADV	N;FEM;PL
både	barche	både	barca	ADV	N;FEM;PL
både	entrambi	både	entrambi	ADV	PRO;MASC;PL
både	entrambe	både	entrambi	ADV	DET;FEM;PL
gennem	attraverso	gennem	attraverso	ADV	ADP
gennem	through	gennem	through	ADV	
stor	large	stor	large	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
stor	grandi	stor	grande	ADJ;INDF;MASC+FEM;SG	ADJ;PL
stor	grandi	stor	grande	ADJ;INDF;MASC+FEM;SG	ADJ;PL
stor	big	stor	big	ADJ;INDF;MASC+FEM;SG	N
stor	bravissimo	stor	bravo	ADJ;INDF;MASC+FEM;SG	ADJ;AB;MASC;SG
stor	grandi	stor	grande	ADJ;INDF;MASC+FEM;SG	ADJ;PL
stor	bravissima	stor	bravo	ADJ;INDF;MASC+FEM;SG	ADJ;AB;FEM;SG
usa	america	usa	americo	PROPN	ADJ;FEM;SG
usa	usa	usa	usare	PROPN	V;IND;SG;3;PRS;FIN
uden	senza	uden	senza	ADV	ADP
hold	hold	holde	hold	V;IMP	N
