और	dan	और	dan		CONJ
से	dari	से	dari		ADP
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	PROPN
एक	one	एक	one	NUM	PROPN
श्रेणी	kategori	श्रेणी	kategori	N;NOM;FEM;SG;3	PROPN;SG
श्रेणी	series	श्रेणी	series	N;NOM;FEM;SG;3	PROPN
श्रेणी	kategori	श्रेणी	kategori	N;NOM;FEM;SG;3	PROPN;SG
भी	even	भी	even	PART	PROPN
भी	genap	भी	genap	PART	
भी	bahkan	भी	bahkan	PART	CONJ
भी	juga	भी	juga	PART	ADV
भी	terlalu	भी	terlalu	PART	ADV
भी	too	भी	too	PART	PROPN
यह	ini	यह	ini	PRO;NOM;SG;3	DET
किया	selesai	कर	selesai	V;PFV;MASC;SG;V.PTCP;ACT	ADV;SG
किया	beres	कर	beres	V;PFV;MASC;SG;V.PTCP;ACT	
किया	dilakukan	कर	dilakukan	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
किया	done	कर	done	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
हैं	are	है	are	V;IND;PL;3;PRS;FIN;ACT	PROPN
कि	that	कि	that		PROPN
कि	itu	कि	itu		DET
कि	bahwa	कि	bahwa		CONJ
कि	yang	कि	yang		PRO
भारत	india	भारत	india	PROPN;NOM;MASC;SG;3	PROPN
जो	joe	जो	joe	PRO;NOM;SG;3	PROPN
जो	siapa	जो	siapa	PRO;NOM;SG;3	PRO
जो	who	जो	who	PRO;NOM;SG;3	PROPN
ही	hee	ही	hee	PART	PROPN
रूप	membentuk	रूप	menbentuk	N;NOM;MASC;SG;3	V;SG;ACT
रूप	form	रूप	form	N;NOM;MASC;SG;3	PROPN
रूप	tampil	रूप	tampil	N;NOM;MASC;SG;3	V;SG;ACT
कर	pajak	कर	pajak	V;ACT	N;SG
कर	tax	कर	tax	V;ACT	PROPN
कर	pajak	कर	pajak	V;ACT	N;SG
नहीं	not	नहीं	not	PART;NEG	PROPN
नहीं	nope	नहीं	nope	PART;NEG	PROPN
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	PROPN
साथ	along	साथ	along	ADV;NOM;MASC;SG;3	PROPN
साथ	sepanjang	साथ	sepanjang	ADV;NOM;MASC;SG;3	ADP
साथ	dengan	साथ	dengan	ADV;NOM;MASC;SG;3	ADP
साथ	bareng	साथ	bareng	ADV;NOM;MASC;SG;3	PROPN;SG
साथ	together	साथ	together	ADV;NOM;MASC;SG;3	PROPN
साथ	bersama	साथ	bersama	ADV;NOM;MASC;SG;3	ADP;SG;ACT
पूर्व	east	पूर्व	east	ADV;NOM;MASC;SG;3	PROPN
पूर्व	timur	पूर्व	timur	ADV;NOM;MASC;SG;3	N;SG
पूर्व	mantan	पूर्व	mantan	ADV;NOM;MASC;SG;3	N;SG
होता	akan	हो	akan	V;IPFV;MASC;SG;V.PTCP;ACT	ADV
बाद	nanti	बाद	nanti	ADV;NOM;MASC;SG;3	
बाद	sesudah	बाद	sesudah	ADV;NOM;MASC;SG;3	CONJ
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	PROPN
बाद	setelah	बाद	setelah	ADV;NOM;MASC;SG;3	ADP
तक	hingga	तक	hingga	CONJ	ADP
तक	sampai	तक	sampai	CONJ	ADP
तक	till	तक	till	CONJ	PROPN
तक	tak	तक	tak	CONJ	PART;NEG
अपने	own	अपना	own	PRO;NOM;MASC	PROPN
अपने	sendiri	अपना	sendiri	PRO;NOM;MASC	ADJ;SG
अपने	your	अपना	your	PRO;NOM;MASC	PROPN
था	euy	था	euy	V;MASC;IND;SG;PST;FIN;ACT	PROPN
था	was	था	was	V;MASC;IND;SG;PST;FIN;ACT	PROPN
राज्य	state	राज्य	state	N;NOM;MASC;SG;3	PROPN
बाहरी	outdoor	बाहरी	outdoor	ADJ;NOM	N
बाहरी	outer	बाहरी	outer	ADJ;NOM	PROPN
बाहरी	eksternal	बाहरी	eksternal	ADJ;NOM	N
बाहरी	outdoor	बाहरी	outdoor	ADJ;NOM	N
कुछ	some	कुछ	some	DET	PROPN
कुछ	something	कुछ	something	DET	PROPN
कुछ	sesuatu	कुछ	sesuatu	DET	N;SG
ईसा	yesus	ईसा	yesus	N;NOM;MASC;SG;3	PROPN
ईसा	jesus	ईसा	jesus	N;NOM;MASC;SG;3	PROPN
गाँव	kampung	गाँव	kampung	N;NOM;MASC;PL;3	N;SG
गाँव	dusun	गाँव	dusun	N;NOM;MASC;PL;3	N;SG
गाँव	desa	गाँव	desa	N;NOM;MASC;PL;3	N;SG
गाँव	village	गाँव	village	N;NOM;MASC;PL;3	PROPN
सरकार	merinding	सरकार	menrinding	N;NOM;FEM;SG;3	
कड़ियाँ	rantai	कड़ी	rantai	N;NOM;FEM;PL;3	N;SG
कड़ियाँ	taut	कड़ी	taut	N;NOM;FEM;PL;3	N;SG
कड़ियाँ	pranala	कड़ी	pranala	N;NOM;FEM;PL;3	N;SG
कड़ियाँ	tautan	कड़ी	tautan	N;NOM;FEM;PL;3	N;SG
कड़ियाँ	links	कड़ी	links	N;NOM;FEM;PL;3	PROPN
प्रदेश	provinsi	प्रदेश	provinsi	N;NOM;MASC;SG;3	PROPN;SG
इसके	menta	यह	menta	PRO;MASC;SG;3	
इसके	its	यह	its	PRO;MASC;SG;3	PROPN
दिया	diberikan	दे	diberikan	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
दिया	diberi	दे	diberi	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
अन्य	lain	अन्य	lain	N;NOM;MASC;SG;3	ADJ;SG
अन्य	lain	अन्य	lain	N;NOM;MASC;SG;3	ADJ;SG
जा	jaa	जा	jaa	V;ACT	PROPN
वर्ष	year	वर्ष	year	N;NOM;MASC;SG;3	PROPN
समय	timing	समय	timing	N;NOM;MASC;SG;3	PROPN
समय	time	समय	time	N;NOM;MASC;SG;3	PROPN
वे	mereka	वह	mereka	PRO;NOM;SG;3	PRO;PL;3
प्रकार	kind	प्रकार	kind	N;NOM;MASC;SG;3	PROPN
प्रकार	ketik	प्रकार	ketik	N;NOM;MASC;SG;3	PROPN
भारतीय	indian	भारतीय	indian	PROPN;NOM;SG;3	PROPN
भारतीय	india	भारतीय	india	PROPN;NOM;SG;3	PROPN
भारतीय	hindia	भारतीय	hindia	PROPN;NOM;SG;3	PROPN
किसी	seseorang	कोई	seseorang	PRO;ACC;SG;3	N;SG
किसी	someone	कोई	someone	PRO;ACC;SG;3	PROPN
तहसील	tehsil	तहसील	tehsil	PROPN;NOM;FEM;SG;3	PROPN
क्षेत्र	provinsi	क्षेत्र	provinsi	N;NOM;MASC;SG;3	PROPN;SG
अधिक	selengkapnya	अधिक	selengkap	DET	N;SG
अधिक	lebih	अधिक	lebih	DET	ADV
अधिक	lainnya	अधिक	lainnya	DET	N
अधिक	lagi	अधिक	lagi	DET	ADV
कई	banyak	कई	banyak	DET	ADV
वाले	wale	वाला	wale	V;MASC;PL;FIN;ACT	PROPN
स्थित	berlokasi	स्थित	berlokasi	ADJ	V;SG;ACT
स्थित	bertempat	स्थित	bertempat	ADJ	V;SG;ACT
स्थित	terletak	स्थित	terletak	ADJ	V;SG;PASS
मण्डल	zona	मण्डल	zona	PROPN;NOM;MASC;SG;3	N;SG
मण्डल	zone	मण्डल	zone	PROPN;NOM;MASC;SG;3	PROPN
आधिकारिक	official	आधिकारिक	official	ADJ	PROPN
कारण	sebab	कारण	sebab	N;NOM;MASC;SG;3	CONJ;SG
कारण	sebabkan	कारण	sebabkan	N;NOM;MASC;SG;3	V;SG;ACT
कारण	cause	कारण	cause	N;NOM;MASC;SG;3	PROPN
कारण	menyebabkan	कारण	mensebabkan	N;NOM;MASC;SG;3	V;SG;ACT
कारण	menyebabkan	कारण	mensebabkan	N;NOM;MASC;SG;3	V;SG;ACT
होने	being	हो	being	V;MASC;NFIN;ACT	PROPN
जैसे	suka	जैसे	suka	CONJ	V;SG
जैसे	sukai	जैसे	sukai	CONJ	ADJ;SG
जैसे	seperti	जैसे	seperti	CONJ	ADP
जैसे	like	जैसे	like	CONJ	PROPN
करता	pengganggu	कर	penganggu	V;IPFV;MASC;SG;V.PTCP;ACT	N;SG
उनके	mereka	वह	mereka	PRO;MASC;SG;3;FORM	PRO;PL;3
सबसे	kebanyakan	सबसे	kebanyakan	ADJ;NOM	DET;SG
सबसे	paling	सबसे	paling	ADJ;NOM	ADV
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	PROPN
बहुत	sangat	बहुत	sangat	DET	ADV
पहले	sebelum	पहले	sebelum	ADV;NOM;MASC;SG;3	ADP
पहले	before	पहले	before	ADV;NOM;MASC;SG;3	PROPN
पहले	ago	पहले	ago	ADV;NOM;MASC;SG;3	
पहले	silam	पहले	silam	ADV;NOM;MASC;SG;3	ADJ;SG
पहले	tadi	पहले	tadi	ADV;NOM;MASC;SG;3	N
पहले	pertama	पहले	pertama	ADV;NOM;MASC;SG;3	NUM
पहले	duluan	पहले	duluan	ADV;NOM;MASC;SG;3	
पहले	dulu	पहले	dulu	ADV;NOM;MASC;SG;3	N
पहले	first	पहले	first	ADV;NOM;MASC;SG;3	PROPN
अपनी	own	अपना	own	PRO;NOM;FEM	PROPN
अपनी	sendiri	अपना	sendiri	PRO;NOM;FEM	ADJ;SG
अपनी	duniawi	अपना	duniawi	PRO;NOM;FEM	N
दो	two	दो	two	NUM	PROPN
जब	kapan	जब	kapan	PRO;NOM	PRO
जब	saat	जब	saat	PRO;NOM	N;SG
जब	apabila	जब	apabila	PRO;NOM	CONJ
जब	ketika	जब	ketika	PRO;NOM	CONJ
उन्होंने	mereka	वह	mereka	PRO;SG;3;FORM	PRO;PL;3
जन्म	born	जन्म	born	N;NOM;MASC;SG;3	PROPN
जन्म	lahir	जन्म	lahir	N;NOM;MASC;SG;3	V;SG;ACT
जन्म	terlahir	जन्म	terlahir	N;NOM;MASC;SG;3	V;SG;PASS
जन्म	dilahirkan	जन्म	dilahirkan	N;NOM;MASC;SG;3	V;SG;PASS
जन्म	lahir	जन्म	lahir	N;NOM;MASC;SG;3	V;SG;ACT
कोई	koi	कोई	koi	PRO;NOM;SG;3	PROPN
कोई	setiap	कोई	setiap	PRO;NOM;SG;3	DET
कोई	sembarang	कोई	sembarang	PRO;NOM;SG;3	N
कोई	any	कोई	any	PRO;NOM;SG;3	PROPN
इन	inn	यह	inn	DET;ACC;PL;3	PROPN
इन	penginapan	यह	penginapan	DET;ACC;PL;3	N
लेकिन	tapi	लेकिन	tapi	CONJ	CONJ
लेकिन	tetapi	लेकिन	tetapi	CONJ	CONJ
ये	ini	यह	ini	PRO;NOM;PL;3	DET
कम	rendah	कम	rendah	DET	ADJ;SG
कम	low	कम	low	DET	PROPN
कम	kurang	कम	kurang	DET	ADV;SG
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
कहा	katanya	कह	kata	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
कहा	kata	कह	kata	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
लोग	rakyat	लोग	rakyat	N;NOM;MASC;PL;3	N;SG
