scandal	scandales	scandal	scandale	N;INDF;MASC;SG	N;MASC;PL
digitala	numérique	digitală	numérique	N;DEF;FEM;SG	ADJ;MASC;SG
digitala	numériques	digitală	numérique	N;DEF;FEM;SG	ADJ;MASC;PL
digitala	digital	digitală	digital	N;DEF;FEM;SG	ADJ;MASC;SG
fals	false	fals	false	ADJ;INDF;MASC;SG	N;MASC;SG
fals	fausses	fals	faux	ADJ;INDF;MASC;SG	ADJ;FEM;PL
fals	imposteur	fals	imposteur	ADJ;INDF;MASC;SG	N;MASC;SG
fals	simuler	fals	simuler	ADJ;INDF;MASC;SG	V;NFIN
fals	fake	fals	fake	ADJ;INDF;MASC;SG	N;MASC;SG
clement	clément	clement	clément	PROPN	N;MASC;SG
clement	clément	clement	clément	PROPN	N;MASC;SG
clement	clement	clement	clement	PROPN	N;MASC;SG
liberi	gratuit	liber	gratuit	ADJ;INDF;MASC;PL	ADJ;MASC;SG
liberi	gratuits	liber	gratuit	ADJ;INDF;MASC;PL	V;MASC;PL;PST;V.PTCP
liberi	free	liber	free	ADJ;INDF;MASC;PL	N;MASC;SG
liberi	gratuitement	liber	gratuitement	ADJ;INDF;MASC;PL	ADV
liberi	libre	liber	libre	ADJ;INDF;MASC;PL	ADJ;MASC;SG
amintirea	souvenir	amintire	souvenir	N;DEF;FEM;SG	V;NFIN
amintirea	souvenirs	amintire	souvenir	N;DEF;FEM;SG	N;MASC;PL
medicamente	drogue	medicament	drogue	N;INDF;FEM;PL	N;FEM;SG
intrebat	demandé	intreba	demander	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
intrebat	demandé	intreba	demander	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
stari	stari	stare	stari	N;INDF;FEM;PL	PROPN
colaborator	contributeurs	colaborator	contributeur	N;INDF;MASC;SG	N;MASC;PL
auf	auf	auf	auf	N;INDF;MASC;SG	
lunar	mensuellement	lunar	mensuellement	ADJ;INDF;MASC;SG	ADV
lunar	mensuels	lunar	mensuel	ADJ;INDF;MASC;SG	ADJ;MASC;PL
percutie	percussions	percutie	percussion	N;INDF;FEM;SG	N;FEM;PL
short	courte	short	court	N;INDF;MASC;SG	ADJ;FEM;SG
short	court	short	court	N;INDF;MASC;SG	ADJ;MASC;SG
short	courts	short	court	N;INDF;MASC;SG	ADJ;MASC;PL
short	courtes	short	court	N;INDF;MASC;SG	ADJ;FEM;PL
suficienta	suffisantes	suficient	suffisant	ADJ;DEF;FEM;SG	ADJ;FEM;PL
suficienta	suffisants	suficient	suffisant	ADJ;DEF;FEM;SG	ADJ;MASC;PL
suficienta	suffisamment	suficient	suffisamment	ADJ;DEF;FEM;SG	ADV
atelier	ateliers	atelier	atelier	N;INDF;MASC;SG	N;MASC;PL
barry	barry	barry	barry	PROPN	PROPN
mercur	mercury	mercur	mercury	N;INDF;MASC;SG	PROPN
tun	cannon	tun	cannon	N;INDF;MASC;SG	PROPN
tun	canons	tun	canon	N;INDF;MASC;SG	N;MASC;PL
tun	tun	tun	tun	N;INDF;MASC;SG	
admis	admise	admite	admettre	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
admis	avoué	admite	avouer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
admis	admis	admite	admettre	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
admis	admises	admite	admettre	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
astrofizica	astrophysique	astrofizică	astrophysique	N;DEF;FEM;SG	ADJ;MASC;SG
astronomic	astronomiques	astronomic	astronomique	ADJ;INDF;MASC;SG	ADJ;MASC;PL
ungureanu	ungureanu	ungureanu	ungureanu	PROPN	PROPN
gasita	trouvée	gasita	trouver	ADJ;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
gasita	trouvé	gasita	trouver	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
gasita	trouvées	gasita	trouver	ADJ;DEF;FEM;SG	V;FEM;PL;PST;V.PTCP
