den	το	der	ο	DET;ACC;DEF;MASC;SG	DET;NOM;DEF;NEUT;SG
das	το	der	ο	PRO;NOM;NEUT;SG	DET;NOM;DEF;NEUT;SG
das	ότι	der	ότι	PRO;NOM;NEUT;SG	CONJ
das	that	der	that	PRO;NOM;NEUT;SG	
das	ντας	der	ντας	PRO;NOM;NEUT;SG	
das	das	der	das	PRO;NOM;NEUT;SG	
des	des	der	des	DET;GEN;DEF;NEUT;SG	
mit	χρησιμοποιώντας	mit	χρησιμοποιώ	ADP	V;IPFV;V.CVB;ACT
mit	μιτ	mit	μιτ	ADP	
mit	mit	mit	mit	ADP	
für	for	für	for	ADP	
ein	ένας	ein	ένας	ADV	DET;NOM;INDF;MASC;SG
ein	ενα	ein	ένας	ADV	N;NOM;NEUT;SG
ein	μία	ein	ένας	ADV	NUM;NOM;FEM;SG
ein	ένα	ein	ένας	ADV	NUM;NOM;NEUT;SG
ein	μια	ein	ένας	ADV	NUM;NOM;FEM;SG
ein	ein	ein	ein	ADV	
als	als	als	als	ADP	
als	al	als	al	ADP	
dem	το	der	ο	PRO;DAT;NEUT;SG	DET;NOM;DEF;NEUT;SG
eine	ενα	ein	ένας	DET;NOM;INDF;FEM;SG	N;NOM;NEUT;SG
eine	μία	ein	ένας	DET;NOM;INDF;FEM;SG	NUM;NOM;FEM;SG
eine	ένα	ein	ένας	DET;NOM;INDF;FEM;SG	NUM;NOM;NEUT;SG
eine	μια	ein	ένας	DET;NOM;INDF;FEM;SG	NUM;NOM;FEM;SG
nicht	οχι	nicht	οχι	PART;NEG	ADV
nach	μετα	nach	μετα	ADP	ADV
nach	μετά	nach	μετά	ADP	ADV
bei	bei	bei	bei	ADP	
aus	aus	aus	aus	ADP	
aus	έξω	aus	έξω	ADP	ADV
aus	out	aus	out	ADP	
aus	εξω	aus	εξω	ADP	ADV
sie	εσύ	sie	εσύ	PRO;NOM;FEM;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
sie	εσείς	sie	εγώ	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;PL;2
sie	εσυ	sie	εσυ	PRO;NOM;FEM;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
sie	αυτή	sie	αυτός	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
sie	εκείνη	sie	εκείνος	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
sie	αυτοί	sie	αυτός	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;PL;3
bis	εκκρεμεί	bis	εκκρέπω	ADP	V;PFV;IND;SG;3;PST;FIN;ACT
bis	μεχρι	bis	μεχρι	ADP	ADV
ich	ich	ich	ich	PRO;NOM;SG;1	
einer	ένας	ein	ένας	PRO;NOM;INDF;MASC;SG	DET;NOM;INDF;MASC;SG
einer	ενα	ein	ένας	PRO;NOM;INDF;MASC;SG	N;NOM;NEUT;SG
einer	μία	ein	ένας	PRO;NOM;INDF;MASC;SG	NUM;NOM;FEM;SG
einer	ένα	ein	ένας	PRO;NOM;INDF;MASC;SG	NUM;NOM;NEUT;SG
einer	μια	ein	ένας	PRO;NOM;INDF;MASC;SG	NUM;NOM;FEM;SG
werden	γουίλ	werden	γουίλ	V;NFIN;PASS	
werden	will	werden	will	V;NFIN;PASS	
werden	θα	werden	θα	V;NFIN;PASS	PART
werden	γίνετε	werden	γίνομαι	V;NFIN;PASS	V;IPFV;IND;PL;2;PRS;FIN;PASS
oder	oder	oder	oder	CONJ	
wird	γουίλ	werden	γουίλ	V;IND;SG;3;PRS;FIN;PASS	
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	
wird	θα	werden	θα	V;IND;SG;3;PRS;FIN;PASS	PART
score	βαθμολογία	scoren	βαθμολογία	PROPN	N;ACC;FEM;SG
score	σκορ	scoren	σκορ	PROPN	
zur	zur	zur	zur		
einen	ένας	ein	ένας	PRO;ACC;INDF;MASC;SG	DET;NOM;INDF;MASC;SG
einen	ενα	ein	ένας	PRO;ACC;INDF;MASC;SG	N;NOM;NEUT;SG
einen	μία	ein	ένας	PRO;ACC;INDF;MASC;SG	NUM;NOM;FEM;SG
einen	ένα	ein	ένας	PRO;ACC;INDF;MASC;SG	NUM;NOM;NEUT;SG
einen	μια	ein	ένας	PRO;ACC;INDF;MASC;SG	NUM;NOM;FEM;SG
dass	αυτό	dass	αυτός	CONJ	PRO;NOM;NEUT;SG;3
dass	that	dass	that	CONJ	
über	περίπου	über	περίπου	ADP	ADV
über	via	über	via	ADP	
über	over	über	over	ADP	
über	ανωτέρω	über	ανωτέρω	ADP	ADV
über	παραπάνω	über	παραπάνω	ADP	ADV
aber	αλλα	aber	αλλα	CONJ	ADV
aber	μα	aber	μα	CONJ	ADV
wie	πως	wie	πως	ADP	CONJ
wie	πώς	wie	πώς	ADP	ADV
wie	wie	wie	wie	ADP	
wie	όπως	wie	όπως	ADP	ADV
wie	οπως	wie	οπως	ADP	ADV
wie	like	wie	like	ADP	
wie	σαν	wie	σαν	ADP	ADV
nur	νουρ	nur	νουρ	ADV	
unter	unter	unter	unter	ADP	
hat	καπέλο	haben	καπέλος	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG
artikel	αρθρο	artikel	αρθρο	ADJ	N;NOM;NEUT;SG
artikel	άρθρο	artikel	άρθρο	ADJ	N;NOM;NEUT;SG
artikel	αντικείμενα	artikel	αντικείμενο	ADJ	N;NOM;NEUT;PL
artikel	άρθρα	artikel	άρθρο	ADJ	N;NOM;NEUT;PL
artikel	τεχνουργήματα	artikel	τεχνούργημα	ADJ	N;NOM;NEUT;PL
artikel	αρθρα	artikel	άρθρο	ADJ	
man	άνθρωπος	man	άνθρωπος	PRO;NOM;INDF;SG	N;NOM;MASC;SG
man	φίλε	man	φίλομαι	PRO;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
man	φιλε	man	φίλομαι	PRO;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
vor	μπροστινό	vor	μπροστινός	ADP	N;NOM;NEUT;SG
vor	μπροστά	vor	μπροστά	ADP	ADV
vor	μέτωπο	vor	μέτωπο	ADP	N;NOM;NEUT;SG
vor	ηγούμενος	vor	ηγούμενος	ADP	ADJ;NOM;MASC;SG
vor	πρίν	vor	πρίν	ADP	N
vor	πριν	vor	πριν	ADP	ADV
sein	sein	sein	sein	DET;NOM;MASC;SG	
diese	αυτά	dies	αυτός	PRO;NOM;FEM;SG	PRO;NOM;NEUT;PL;3
diese	αυτές	dies	αυτός	PRO;NOM;FEM;SG	PRO;NOM;FEM;PL;3
diese	οἱ	dies	οἱ	PRO;NOM;FEM;SG	N
diese	αυτα	dies	αυτός	PRO;NOM;FEM;SG	PRO;NOM;NEUT;PL;3
vom	απο	vom	απο		ADP
vom	από	vom	από		ADP
vom	vom	vom	vom		
kann	μάη	können	μάη	V;IND;SG;3;PRS;FIN	ADP
kann	μάιος	können	μάιος	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
