aus	aus	aus	aus		N;MASC;SG
involverede	implicado	involvere	implicar	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
involverede	envolvida	involvere	envolver	V;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
involverede	envolvido	involvere	envolver	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
fogh	fogh	fogh	fogh	PROPN	PROPN;MASC;SG
tegne	assine	tegne	assine	V;NFIN;ACT	INTJ
tegne	empate	tegne	empate	V;NFIN;ACT	N;MASC;SG
tegne	sorteio	tegne	sorteio	V;NFIN;ACT	N;MASC;SG
tegne	desenho	tegne	desenho	V;NFIN;ACT	N;MASC;SG
besøge	visita	besøge	visita	V;NFIN;ACT	N;FEM;SG
introduktion	apresentando	introduktion	apresentar	N;INDF;MASC+FEM;SG	V;V.MSDR
introduktion	introduzindo	introduktion	introduzir	N;INDF;MASC+FEM;SG	V;V.MSDR
introduktion	apresentamos	introduktion	apresentar	N;INDF;MASC+FEM;SG	V;IND;PL;1;PRS;FIN
forstærkninger	reforço	forstærkning	reforço	N;INDF;MASC+FEM;PL	N;MASC;SG
svag	fracos	svag	fraco	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
svag	fracas	svag	fraco	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
sejler	vela	sejle	vela	V;IND;PRS;FIN;ACT	N;FEM;SG
roma	roma	roma	roma		N;FEM;SG
hebraisk	hebraico	hebraisk	hebraico	ADJ;INDF;SG	N;MASC;SG
hebraisk	hebraica	hebraisk	hebraica	ADJ;INDF;SG	N;FEM;SG
hebraisk	hebreu	hebraisk	hebreu	ADJ;INDF;SG	N;MASC;SG
hebraisk	hebreus	hebraisk	hebreu	ADJ;INDF;SG	N;MASC;PL
ehf	ehf	ehf	ehf	PROPN	N;FEM;SG
spænding	tensões	spænding	tensão	N;INDF;MASC+FEM;SG	N;FEM;PL
lloyd	lloyd	lloyd	lloyd		N;MASC;SG
made	feitos	made	fazer		V;MASC;PL;V.PTCP
made	feita	made	fazer		V;FEM;SG;V.PTCP
made	feito	made	fazer		V;MASC;SG;V.PTCP
made	made	made	made		N;MASC;SG
fløjte	assobiar	fløjte	assobiar	N;INDF;MASC+FEM;SG	V;NFIN
romantiske	romântico	romantisk	romântico	ADJ;PL	ADJ;MASC;SG
romantiske	romântica	romantisk	romântico	ADJ;PL	ADJ;FEM;SG
delstater	lander	delstat	lander	N;INDF;MASC+FEM;PL	N;FEM;SG
delstater	lander	delstat	lander	N;INDF;MASC+FEM;PL	N;FEM;SG
tykke	gordinho	tyk	gordinho	ADJ;PL	N;MASC;SG
tykke	gordinha	tyk	gordinha	ADJ;PL	N;FEM;SG
tykke	espesso	tyk	espesso	ADJ;PL	ADJ;MASC;SG
tykke	grossa	tyk	grosso	ADJ;PL	N;FEM;SG
tykke	grosso	tyk	grosso	ADJ;PL	N;MASC;SG
tykke	espessa	tyk	espesso	ADJ;PL	ADJ;FEM;SG
tykke	gorducho	tyk	gorducho	ADJ;PL	N;MASC;SG
tykke	gordos	tyk	gordo	ADJ;PL	N;MASC;PL
tykke	gordinho	tyk	gordinho	ADJ;PL	N;MASC;SG
