политехнический	politehnični	политехнический	politehničen	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
закрыто	zaprto	закрыть	zaprt	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
закрыто	zaprt	закрыть	zaprt	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
закрыто	zaprte	закрыть	zaprt	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;FEM;PL;V.PTCP
закрыто	zaprti	закрыть	zaprt	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
закрыто	zaprta	закрыть	zaprt	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
джейсон	jason	джейсон	jason	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
чрезвычайный	izredno	чрезвычайный	izredno	ADJ;NOM;MASC;SG	ADV
критическое	kritični	критический	kritičen	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
критическое	kritične	критический	kritičen	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
критическое	kritično	критический	kritično	ADJ;NOM;NEUT;SG	ADV
используемые	uporabljen	использовать	uporabljen	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
используемые	uporabljena	использовать	uporabljen	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
используемые	uporabljeno	использовать	uporabljeno	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
используемые	uporabljene	использовать	uporabljen	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;NOM;FEM;PL;V.PTCP
используемые	uporabljeni	использовать	uporabljen	V;IPFV;NOM;PL;PRS;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
прощения	odpuščanja	прощение	odpuščanje	N;INAN;NOM;NEUT;PL	N;GEN;NEUT;SG
прощения	odpuščanje	прощение	odpuščanje	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
райан	ryan	райан	ryan	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
особняк	dvorcu	особняк	dvorec	N;INAN;NOM;MASC;SG	N;DAT;MASC;SG
хлеб	kruh	хлеб	kruh	N;INAN;NOM;MASC;SG	N;INAN;ACC;MASC;SG
хлеб	kruha	хлеб	kruh	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
ближайшее	najbližji	ближайший	blizek	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;RL;MASC;SG
ближайшее	najbližja	ближайший	blizek	ADJ;NOM;NEUT;SG	ADJ;NOM;RL;FEM;SG
ближайшее	najbližje	ближайший	ulizek	ADJ;NOM;NEUT;SG	ADV;RL
избрана	izvoljeni	избрать	izvoljen	V;PFV;FEM;SG;PST;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
избрана	izvoljen	избрать	izvoljen	V;PFV;FEM;SG;PST;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
избрана	izvoljena	избрать	izvoljen	V;PFV;FEM;SG;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
сады	vrtovih	сад	vrt	N;INAN;NOM;MASC;PL	N;ESS;MASC;PL
сады	vrtov	сад	vrt	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
сады	vrtove	сад	vrt	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
слоя	plast	слой	plast	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
слоя	sloj	слой	sloj	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
слоя	plasti	слой	plast	N;INAN;GEN;MASC;SG	N;NOM;FEM;PL
девочки	punci	девочка	punca	N;ANIM;NOM;FEM;PL	N;NOM;FEM;SG
освободить	izpust	освободить	izpust	V;PFV;NFIN;ACT	N;NOM;MASC;SG
освободить	sproščanje	освободить	sproščanje	V;PFV;NFIN;ACT	N;NOM;NEUT;SG
освободить	sprostitev	освободить	sprostitev	V;PFV;NFIN;ACT	N;NOM;FEM;SG
жаль	usmiljenje	жаль	usmiljenje	ADV	N;NOM;NEUT;SG
жаль	usmiljenja	жаль	usmiljenje	ADV	N;NOM;NEUT;PL
жаль	škoda	жаль	škoda	ADV	N;NOM;FEM;SG
месяцы	meseca	месяц	mesec	N;INAN;NOM;MASC;PL	N;ACC;MASC;SG
месяцы	mesece	месяц	mesec	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
месяцы	mesecev	месяц	mesec	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
индонезия	indonezije	индонезия	indonezija	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
луиджи	luigi	луидж	luiga	N;INAN;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
исчезли	izginil	исчезнуть	izginiti	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
исчезли	izginila	исчезнуть	izginiti	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
могилы	grobov	могила	grob	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
могилы	graves	могила	graves	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
могилы	grobove	могила	grob	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
томми	tommy	то	tommy	N;ANIM;NOM;MASC;SG	
королевская	royal	королевский	royal	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP
белков	proteini	белок	protein	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
белков	beljakovine	белок	beljakovina	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
чан	chang	чан	chang	PART	N;NOM;MASC;SG
чан	chan	чан	chan	PART	PROPN;NOM;MASC;SG
чан	jang	чан	jang	PART	N;NOM;MASC;SG
улицах	ulice	улица	ulica	N;INAN;ESS;FEM;PL	N;NOM;FEM;PL
улицах	ceste	улица	cesta	N;INAN;ESS;FEM;PL	N;NOM;FEM;PL
технику	tehnika	техника	tehnika	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
частного	zasebno	частный	zaseben	ADJ;GEN;MASC;SG	ADJ;NOM;NEUT;SG
частного	privat	частный	privati	ADJ;GEN;MASC;SG	
частного	zasebna	частный	zaseben	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG
частного	zasebni	частный	zaseben	ADJ;GEN;MASC;SG	ADJ;NOM;MASC;SG
оригинальные	prvotna	оригинальный	prvoten	ADJ;NOM;PL	ADJ;NOM;FEM;SG
оригинальные	izvirnik	оригинальный	izvirnik	ADJ;NOM;PL	N;NOM;MASC;SG
оригинальные	izvirno	оригинальный	izviren	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
оригинальные	prvotni	оригинальный	prvoten	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
оригинальные	original	оригинальный	original	ADJ;NOM;PL	N;NOM;MASC;SG
цветы	cvetje	цветы	cvetje	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
прокат	najemnino	прокат	najemnina	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
литве	litva	литв	litev	N;INAN;NOM;FEM;SG	PROPN;NOM;FEM;SG
литве	litvo	литв	litev	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
дам	jez	дать	jez		N;NOM;MASC;SG
наблюдать	opazuj	наблюдать	opazuj	V;IPFV;NFIN;ACT	V;PFV;IND;SG;3;PRS;FIN
печатных	tiskani	печатный	tiskan	ADJ;GEN;PL	ADJ;NOM;DEF;MASC;SG
печатных	tiskane	печатный	tiskan	ADJ;GEN;PL	ADJ;NOM;FEM;PL
