một	یگانه	một	یگانه	NUM	N;SG
năm	پنج	năm	پنج	N	NUM
của	شما	của	شما	ADP	PRO;PL;2
các	تو	các	تو	DET	PRO;SG;2
các	شما	các	شما	DET	PRO;PL;2
này	این	này	این	PROPN	DET
thích	دوست	thích	دوست	V	N;SG
thích	پسندید	thích	پسندید	V	N;SG
thích	شبیه	thích	شبیه	V	ADJ
thích	لایک	thích	لایک	V	N;SG
thích	مثل	thích	مثل	V	ADV
thích	like	thích	like	V	
thích	مانند	thích	مانند	V	ADV
thích	لایک	thích	لایک	V	N;SG
học	studying	học	studying	V	N;SG
học	مطالعه	học	مطالعه	V	N;SG
học	تحصیل	học	تحصیل	V	N;SG
học	مطالعه	học	مطالعه	V	N;SG
học	مدرسه	học	مدرسه	V	N;SG
học	مکتب	học	مکتب	V	N;SG
học	یادگیری	học	یادگیری	V	N;SG
học	یادگیری	học	یادگیری	V	N;SG
thực	رئال	thực	رئال	V	N;SG
thực	حقیقی	thực	حقیقی	V	N;SG
thực	واقعی	thực	واقعی	V	ADJ
thực	راستش	thực	راستش	V	N;SG
thực	درواقع	thực	درواقع	V	CONJ
thực	اصلن	thực	اصلن	V	CONJ
thực	واقعآ	thực	واقعآ	V	ADV
thực	واقعا	thực	None	V	ADV
tham	مفصل	tham	مفصل	V	N;SG
đầu	اول	đầu	اول	N	ADJ
đầu	نخستین	đầu	نخستین	N	ADJ;RL
thành	چنگ	thành	چنگ	V	N;SG
thành	ارگ	thành	ارگ	V	N;SG
khoa	علمی	khoa	علمی		N;SG
khoa	علم	khoa	علم		N;SG
khoa	علوم	khoa	علم		N;PL
cho	چو	cho	چو	V	
cho	برای	cho	برای	V	ADP
thuộc	شنیدن	thuộc	شنیدن	V	N;SG
những	اینها	những	این	DET	PRO;PL
những	اینا	những	اینا	DET	
những	اونا	những	آن	DET	N;PL
những	اونها	những	اون	DET	N;PL
những	آنها	những	آن	DET	PRO;PL
những	ایشان	những	ایشان	DET	PRO;PL;3
nam	nam	nam	nam	N	
công	عمومی	công	عمومی	N	ADJ
công	علنی	công	None	N	ADJ
chính	حتی	chính	حتی	PART	ADV
chính	حتى	chính	حتى	PART	
chính	وحتی	chính	وحتی	PART	CONJ
chính	ابتدایی	chính	ابتدایی	PART	N;SG
chính	اصلی	chính	اصلی	PART	ADJ
chính	اولیه	chính	اولیه	PART	ADJ
chính	main	chính	main	PART	N;SG
chính	اصلی	chính	اصلی	PART	ADJ
chính	ماین	chính	ماین	PART	N;SG
động	داینامیک	động	داینامیک	V	N;SG
động	پویای	động	پویا	V	N;SG
động	پویا	động	پویا	V	N;SG
động	دینامیک	động	دینامیک	V	N;SG
động	اتوماتیک	động	اتوماتیک	V	N;SG
động	خودکار	động	خودکار	V	N;SG
khi	وقتی	khi	وقتی	N	CONJ
khi	چون	khi	چون	N	CONJ
đến	ورود	đến	ورود	PART	N;SG
đến	رسیدن	đến	رسیدن	PART	N;SG
đến	آمد	đến	آمد#آ	PART	V;SG;3;PST
đến	رسید	đến	رسید#رس	PART	N;SG
đến	بیا	đến	آمد#آ	PART	V;IMP;SG;2
đến	بیاید	đến	آمد#آ	PART	V;SBJV;SG;3;PRS
đến	میاد	đến	میاد	PART	V;SG;2;PRS
đến	آمدن	đến	آمدن	PART	N;SG
theo	تئو	theo	تئو	V	N;SG
tỉnh	بیدار	tỉnh	بیدار	N	ADJ
sau	دیرتر	sau	دیر	N	ADJ;CMPR
sau	بعدها	sau	بعد	N	ADV
sau	بعدا	sau	بعداً	N	
sau	بعداً	sau	بعداً	N	ADV
trung	متوسط	trung	متوسط	N	ADJ
trung	مرکزی	trung	مرکزی	N	ADJ
trung	وسط	trung	وسط	N	ADP
trên	فراز	trên	فراز		N;SG
như	شبیه	như	شبیه	CONJ	ADJ
như	لایک	như	لایک	CONJ	N;SG
như	مثل	như	مثل	CONJ	ADV
như	like	như	like	CONJ	
như	مانند	như	مانند	CONJ	ADV
thời	time	thời	time	N	
miêu	میائو	miêu	مائوه	N	
đại	بزرگ	đại	بزرگ	N	ADJ
thế	که	thế	که	PROPN	CONJ
bar	b	bar	b		N;SG
bar	میله	bar	میله		N;SG
bar	بار	bar	بار		N;SG
lại	دوباره	lại	دوباره		ADV
cũng	همچنین	cũng	همچنین		CONJ
the	را	the	را		PART
nhất	بهترین	nhất	به		ADJ;RL
nhất	بهتر	nhất	به		ADJ;CMPR
nhất	best	nhất	best		N;SG
