der	на	der	на	DET;NOM;DEF;MASC;SG	ADP;ACC
die	на	der	на	DET;NOM;DEF;FEM;SG	ADP;ACC
den	на	der	на	DET;ACC;DEF;MASC;SG	ADP;ACC
das	цей	der	цей	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
das	ця	der	цей	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
das	на	der	на	PRO;NOM;NEUT;SG	ADP;ACC
das	той	der	той	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
das	das	der	das	PRO;NOM;NEUT;SG	
des	des	der	des	DET;GEN;DEF;NEUT;SG	
des	дез	der	дез	DET;GEN;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
mit	користування	mit	користування	ADP	N;INAN;NOM;NEUT;SG
mit	використання	mit	використання	ADP	N;INAN;NOM;NEUT;SG
mit	mit	mit	mit	ADP	
ein	одна	ein	один	ADV	NUM;NOM;FEM
ein	one	ein	one	ADV	
ein	одне	ein	один	ADV	DET;NOM;NEUT;SG
ein	один	ein	один	ADV	NUM;NOM;MASC
ein	германії	ein	германія	ADV	PROPN;INAN;NOM;FEM;SG
als	als	als	als	ADP	
dem	на	der	на	PRO;DAT;NEUT;SG	ADP;ACC
eine	одна	ein	один	DET;NOM;INDF;FEM;SG	NUM;NOM;FEM
eine	one	ein	one	DET;NOM;INDF;FEM;SG	
eine	одне	ein	один	DET;NOM;INDF;FEM;SG	DET;NOM;NEUT;SG
eine	один	ein	один	DET;NOM;INDF;FEM;SG	NUM;NOM;MASC
wurde	був	werden	бути	V;IND;SG;3;PST;FIN;PASS	V;IPFV;MASC;IND;SG;PST;FIN
wurde	була	werden	бути	V;IND;SG;3;PST;FIN;PASS	V;IPFV;FEM;IND;SG;PST;FIN
wurde	було	werden	бути	V;IND;SG;3;PST;FIN;PASS	V;IPFV;NEUT;IND;SG;PST;FIN
wurde	став	werden	стати	V;IND;SG;3;PST;FIN;PASS	V;PFV;MASC;IND;SG;PST;FIN
wurde	стали	werden	стати	V;IND;SG;3;PST;FIN;PASS	V;PFV;IND;PL;PST;FIN
wurde	стало	werden	стати	V;IND;SG;3;PST;FIN;PASS	V;PFV;NEUT;IND;SG;PST;FIN
auch	навіть	auch	навіть	ADV	PART
auch	даже	auch	даже	ADV	
nicht	not	nicht	not	PART;NEG	
war	був	sein	бути	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
war	була	sein	бути	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
war	було	sein	бути	V;IND;SG;3;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN
aus	aus	aus	aus	ADP	
aus	назовні	aus	назовні	ADP	ADV
aus	вийшов	aus	вийти	ADP	V;PFV;MASC;IND;SG;PST;FIN
aus	out	aus	out	ADP	
sie	тобою	sie	ти	PRO;NOM;FEM;SG;3	PRO;ANIM;INS;SG;2
sie	ви	sie	ви	PRO;NOM;FEM;SG;3	PRO;ANIM;NOM;PL;2
sie	ти	sie	ти	PRO;NOM;FEM;SG;3	PRO;ANIM;NOM;SG;2
sie	тебе	sie	ти	PRO;NOM;FEM;SG;3	PRO;ANIM;ACC;SG;2
sie	she	sie	she	PRO;NOM;FEM;SG;3	
sie	вони	sie	вони	PRO;NOM;FEM;SG;3	PRO;NOM;PL;3
cest	cest	cest	cest		
bis	очікуванні	bis	очікування	ADP	N;INAN;DAT;NEUT;SG
bis	очікує	bis	очікувати	ADP	V;IPFV;IND;SG;3;PRS;FIN
bis	очікується	bis	очікуватися	ADP	V;IPFV;IND;SG;3;PRS;FIN
bis	затримані	bis	затриманий	ADP	ADJ;PFV;NOM;PL;V.PTCP;PASS
bis	bis	bis	bis	ADP	
bis	доки	bis	доки	ADP	ADV
bis	поки	bis	поки	ADP	ADV
ich	ich	ich	ich	PRO;NOM;SG;1	
einer	одна	ein	один	PRO;NOM;INDF;MASC;SG	NUM;NOM;FEM
einer	one	ein	one	PRO;NOM;INDF;MASC;SG	
einer	одне	ein	один	PRO;NOM;INDF;MASC;SG	DET;NOM;NEUT;SG
einer	один	ein	один	PRO;NOM;INDF;MASC;SG	NUM;NOM;MASC
werden	воля	werden	воля	V;NFIN;PASS	N;INAN;NOM;FEM;SG
werden	буде	werden	бути	V;NFIN;PASS	V;IPFV;IND;SG;3;FUT;FIN
werden	будуть	werden	бути	V;NFIN;PASS	V;IPFV;IND;PL;3;FUT;FIN
werden	стануть	werden	стати	V;NFIN;PASS	V;PFV;IND;PL;3;FUT;FIN
werden	стати	werden	стати	V;NFIN;PASS	V;PFV;NFIN
werden	стають	werden	ставати	V;NFIN;PASS	V;IPFV;IND;PL;3;PRS;FIN
werden	стає	werden	ставати	V;NFIN;PASS	V;IPFV;IND;SG;3;PRS;FIN
werden	становлення	werden	становлення	V;NFIN;PASS	N;INAN;NOM;NEUT;SG
werden	ставши	werden	стати	V;NFIN;PASS	V;PFV;PST;V.CVB
sind	надаються	sein	надаватися	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
