של	shel	של	shel	PART;GEN	N
את	te	את	te	PART;ACC	PRO;SG;2
את	tu	את	tu	PART;ACC	PRO;SG;2
את	voi	את	voi	PART;ACC	PRO;PL;2
על	circa	על	circa	ADP	ADV
גם	too	גם	too	ADV	
זה	this	זה	this	PRO;MASC;SG;3	
זה	questo	זה	questo	PRO;MASC;SG;3	DET;MASC;SG
זה	questa	זה	questo	PRO;MASC;SG;3	DET;FEM;SG
זה	che	זה	che	PRO;MASC;SG;3	DET
היא	she	הוא	she	PRO;FEM;SG;3	
היה	era	היה	essere	V;MASC;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
היה	fu	היה	essere	V;MASC;SG;3;POS;PST	V;IND;SG;3;PST;FIN
שיחה	conversazioni	שיחה	conversazione	N;FEM;SG	N;FEM;PL
שיחה	chiamare	שיחה	chiamare	N;FEM;SG	V;NFIN
שיחה	chiama	שיחה	chiamare	N;FEM;SG	V;IND;SG;3;PRS;FIN
שיחה	chiamate	שיחה	chiamata	N;FEM;SG	N;FEM;PL
שיחה	chiamata	שיחה	chiamare	N;FEM;SG	V;FEM;SG;PST;V.PTCP
לאחר	dopo	לאחר	dopo	ADP	ADV
לאחר	after	לאחר	after	ADP	
בין	fagiolo	בין	fagiolo	ADP	N;MASC;SG
בין	fagioli	בין	fagiolo	ADP	N;MASC;PL
בין	bean	בין	bean	ADP	N
בין	inter	בין	inter	ADP	N;FEM;SG
כל	tutto	כול	tutto	DET;PSSD	PRO;MASC;SG
כל	tutti	כול	tutto	DET;PSSD	PRO;MASC;PL
כי	perchè	כי	perché	CONJ	ADV
כי	perché	כי	perché	CONJ	ADV
יותר	altro	יותר	altro	ADV	PRO;MASC;SG
יותר	more	יותר	more	ADV	N;SG
ישראל	israele	ישראל	israele	PROPN	N;MASC;SG
עד	fino	עד	fino	ADP	ADV
שם	denominazione	שם	denominazione	ADV	N;FEM;SG
שם	nome	שם	nome	ADV	N;MASC;SG
הייתה	era	היה	essere	V;FEM;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
הייתה	fu	היה	essere	V;FEM;SG;3;POS;PST	V;IND;SG;3;PST;FIN
אשר	asher	אשר	asher	CONJ	N;SG
אשר	escher	אשר	escher	CONJ	N;MASC
אשר	usciere	אשר	usciere	CONJ	N;MASC;SG
אשר	usher	אשר	ushere	CONJ	N;MASC
אשר	che	אשר	che	CONJ	DET
אשר	confermare	אשר	confermare	CONJ	V;NFIN
אשר	confermo	אשר	confermo	CONJ	V;IND;SG;1;PRS;FIN
אשר	conferma	אשר	confermare	CONJ	V;IND;SG;3;PRS;FIN
אשר	confermate	אשר	confermare	CONJ	V;FEM;PL;PST;V.PTCP
כמו	come	כמו	come	ADP	ADV
כמו	like	כמו	like	ADP	
אחד	una	אחד	uno	NUM;MASC;SG	DET;INDF;FEM;SG
אחד	one	אחד	ona	NUM;MASC;SG	N;SG
אחד	uno	אחד	uno	NUM;MASC;SG	PRO;MASC;SG
שמאל	lasciato	שמאל	lasciare	N;MASC;SG	V;MASC;SG;PST;V.PTCP
קישורים	links	קישורים	links	N;MASC;PL	V;IND;SG;2;PRS;FIN
חיצוניים	esterno	חיצוני	esterno	ADJ;MASC;PL	ADJ;MASC;SG
חיצוניים	esterna	חיצוני	esterno	ADJ;MASC;PL	ADJ;FEM;SG
הברית	alleanze	הברית	alleanza	PROPN	N;FEM;PL
הברית	alliance	הברית	alliance	PROPN	ADJ;FEM;PL
הברית	alleanza	הברית	alleanza	PROPN	N;FEM;SG
בו	lui	ב	lui	ADP	PRO;MASC;SG;3
בו	bu	ב	bu	ADP	N;SG
בו	boo	ב	boo	ADP	N
היו	erano	היה	essere	V;PL;3;POS;PST	V;IND;PL;3;IPFV;FIN
רק	only	רק	only	ADV	
רק	just	רק	just	ADV	
כאשר	quando	כאשר	quando	CONJ	ADV
כאשר	when	כאשר	when	CONJ	
בן	ben	בן	bene	PROPN	ADV
בן	figlio	בן	figlio	PROPN	N;MASC;SG
בן	figliolo	בן	figliolo	PROPN	N;MASC;SG
שלו	suo	של	suo		DET;MASC;SG
שלו	his	של	his		
שני	seconda	שני	secondo	NUM;MASC;PL	ADJ;FEM;SG
שני	secondo	שני	secondo	NUM;MASC;PL	ADJ;MASC;SG
שני	secondi	שני	secondo	NUM;MASC;PL	N;MASC;PL
שני	shani	שני	shano	NUM;MASC;PL	N;MASC;SG
שני	two	שני	two	NUM;MASC;PL	
שני	lunedi	שני	lunede	NUM;MASC;PL	N;MASC;PL
שני	lunedì	שני	lunedì	NUM;MASC;PL	N;MASC
לו	lew	ל	lew		N;MASC
לו	lou	ל	lou		N;SG
מה	cosa	מה	cosa	ADV	PRO;SG
העולם	mondo	העולם	mondo		N;MASC;SG
העולם	world	העולם	world		N;MASC
העיר	città	העיר	città	V;MASC;SG;3;PST;ACT	N;FEM
העיר	città	העיר	città	V;MASC;SG;3;PST;ACT	N;FEM
במהלך	durante	במהלך	durante	ADV	ADP
כן	si	כן	si	ADV	PRO;3
כן	sì	כן	sì	ADV	INTJ;POS
כן	sì	כן	sì	ADV	INTJ;POS
אף	naso	אף	naso	CONJ	N;MASC;SG
אף	eff	אף	eff	CONJ	N
רבים	molte	רב	molto	V;MASC;PL;V.PTCP;ACT	DET;FEM;PL
רבים	tanti	רב	tanto	V;MASC;PL;V.PTCP;ACT	PRO;MASC;PL
רבים	molti	רב	molto	V;MASC;PL;V.PTCP;ACT	PRO;MASC;PL
רבים	tantissimi	רב	tanto	V;MASC;PL;V.PTCP;ACT	ADJ;AB;MASC;PL
רבים	plurale	רב	plurale	V;MASC;PL;V.PTCP;ACT	ADJ;SG
בה	her	ב	her		ADJ;SG
אין	nessuna	None	nessuna	ADV;NEG	DET;FEM;SG
אין	nessuno	None	nessuno	ADV;NEG	PRO;MASC;SG
במאי	può	במאי	potere	N;MASC;SG	V;IND;SG;3;PRS;FIN
שנה	anni	שנה	anno	N;FEM;SG	N;MASC;PL
נולד	born	נולד	borno	V;MASC;SG;3;PST;MID	N;MASC;SG
נולד	nati	נולד	nascere	V;MASC;SG;3;PST;MID	V;MASC;PL;PST;V.PTCP
נולד	nasce	נולד	nascere	V;MASC;SG;3;PST;MID	V;IND;SG;3;PRS;FIN
הערות	appunti	הערה	appunto	N;FEM;PL	V;IND;SG;2;PRS;FIN
חלק	lisci	חלק	liscio	N;MASC;SG	N;MASC;PL
חלק	liscia	חלק	lisciare	N;MASC;SG	ADJ;FEM;SG
חלק	liscio	חלק	liscio	N;MASC;SG	ADJ;MASC;SG
לפני	prima	לפני	prima	ADP	ADV
לפני	before	לפני	before	ADP	
אחת	una	אחת	uno	NUM;FEM;SG	DET;INDF;FEM;SG
אחת	one	אחת	ona	NUM;FEM;SG	N;SG
אחת	uno	אחת	uno	NUM;FEM;SG	PRO;MASC;SG
ביולי	luglio	ביולי	luglio	PROPN	N;MASC;SG
שוליים	frangia	שול	frangia	N;MASC;PL	N;FEM;SG
שוליים	margine	שול	margine	N;MASC;PL	N;MASC;SG
להיות	essendo	היה	essere	V;POS;NFIN	V;V.MSDR
להיות	essere	היה	essere	V;POS;NFIN	V;NFIN
באוקטובר	ottobre	באוקטובר	ottobre	PROPN	N;MASC;SG
במקום	invece	במקום	invece	ADP	ADV
אותה	her	None	her	PRO;ACC;FEM;SG;3	ADJ;SG
החל	cominciò	None	cominciare	ADP	V;IND;SG;3;PST;FIN
הרב	herb	הרב	herb		N
הרב	erbe	הרב	erba		N;FEM;PL
מן	manna	מן	manna	ADP	N;FEM;SG
בינואר	gennaio	בינואר	gennaio		N;MASC;SG
במרץ	march	במרץ	march	PROPN	N;SG
במרץ	marzo	במרץ	marzo	PROPN	N;MASC;SG
במרץ	marcia	במרץ	marcia	PROPN	N;FEM;SG
חיים	vita	חיים	vita	PROPN	N;FEM;SG
חיים	life	חיים	life	PROPN	N
חיים	chaim	חיים	chaim	PROPN	N;MASC;SG
חיים	haim	חיים	haim	PROPN	N;MASC
המאה	secolo	המאה	secolo		N;MASC;SG
בנובמבר	novembre	בנובמבר	novembre	ADV	N;MASC;SG
בדצמבר	dicembre	בדצמבר	dicembre	PROPN	N;MASC;SG
לי	lee	ל	leo		N
תל	tel	תל	tel	N;MASC;SG	
בבית	home	בבית	home		N
בבית	casa	בבית	casa		N;FEM;SG
בפברואר	febbraio	בפברואר	febbraio	ADV	N;MASC;SG
אלו	queste	אלו	questo	PRO;PL;3	DET;FEM;PL
אחר	altro	אחר	altro	ADP	PRO;MASC;SG
אחר	altre	אחר	altro	ADP	DET;FEM;PL
אחר	altri	אחר	altro	ADP	PRO;MASC;PL
בני	benny	בני	benny	PROPN	N
בני	figlio	בני	figlio	PROPN	N;MASC;SG
בני	figliolo	בני	figliolo	PROPN	N;MASC;SG
שונים	differente	שונה	differente	ADJ;MASC;PL	ADJ;SG
שונים	diversa	שונה	diverso	ADJ;MASC;PL	DET;FEM;SG
שונים	diverso	שונה	diverso	ADJ;MASC;PL	ADJ;MASC;SG
שונים	diversi	שונה	diverso	ADJ;MASC;PL	DET;MASC;PL
רב	rav	רב	rav		N;MASC;SG
אדם	umane	אדם	umano	N;MASC;SG	ADJ;FEM;PL
אדם	umano	אדם	umano	N;MASC;SG	ADJ;MASC;SG
אדם	umani	אדם	umano	N;MASC;SG	ADJ;MASC;PL
אדם	umana	אדם	umano	N;MASC;SG	ADJ;FEM;SG
כלל	regola	כלל	regola	ADV	N;FEM;SG
עוד	altro	עוד	altro	ADV	PRO;MASC;SG
עוד	more	עוד	more	ADV	N;SG
דבר	parlare	דבר	parlare	N;MASC;SG	V;NFIN
דבר	parla	דבר	parlare	N;MASC;SG	V;IND;SG;3;PRS;FIN
דבר	chiacchiere	דבר	chiacchiere	N;MASC;SG	N;FEM;PL
דבר	parla	דבר	parlare	N;MASC;SG	V;IND;SG;3;PRS;FIN
דבר	parlate	דבר	parlato	N;MASC;SG	V;IND;PL;PRS;FIN
אחרים	altro	אחר	altro	ADJ;MASC;PL	PRO;MASC;SG
אחרים	altre	אחר	altro	ADJ;MASC;PL	DET;FEM;PL
אחרים	altri	אחר	altro	ADJ;MASC;PL	PRO;MASC;PL
אחרים	altre	אחר	altro	ADJ;MASC;PL	DET;FEM;PL
אחרים	altri	אחר	altro	ADJ;MASC;PL	PRO;MASC;PL
ספר	prenota	ספר	prenota	N;MASC;SG	V;IMP;SG;2;PRS;FIN
ספר	racconta	ספר	raccontare	N;MASC;SG	V;IND;SG;3;PRS;FIN
נגד	contrari	נגד	contrario	ADP	ADJ;MASC;PL
נגד	against	נגד	against	ADP	
לה	her	ל	her		ADJ;SG
זכה	won	זכה	won	V;MASC;SG;3;PST;ACT	N;SG
זכה	vinti	זכה	vincere	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
אחרי	dopo	אחרי	dopo	ADP	ADV
אחרי	after	אחרי	after	ADP	
אולם	tuttavia	אולם	tuttavia	CONJ	ADV
אלה	queste	אלה	questo	PRO;MASC;PL;3	DET;FEM;PL
אלה	ella	אלה	ella	PRO;MASC;PL;3	PRO;SG;3
אלה	dea	אלה	dia	PRO;MASC;PL;3	N;FEM;SG
אלה	divinità	אלה	divinità	PRO;MASC;PL;3	N;FEM
ירושלים	gerusalemme	ירושלים	gerusalemma	PROPN	ADJ;SG
המדינה	stato	המדין	essere	V;FEM;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP
יהודים	ebraica	יהודי	ebraico	N;MASC;PL	ADJ;FEM;SG
יהודים	ebreo	יהודי	ebreo	N;MASC;PL	N;MASC;SG
יהודים	ebraismo	יהודי	ebraismo	N;MASC;PL	N;MASC;SG
יהודים	ebraico	יהודי	ebraico	N;MASC;PL	ADJ;MASC;SG
רבות	molte	רב	molto	N;FEM;PL	DET;FEM;PL
רבות	tanti	רב	tanto	N;FEM;PL	PRO;MASC;PL
רבות	molti	רב	molto	N;FEM;PL	PRO;MASC;PL
