basel	basel	basel	basel	PROPN	PROPN;NOM;SG
doo	doo	doo	doo	N;INDF;MASC;SG	
étienne	étienne	étienne	étienne	PROPN	PROPN;NOM;SG
baraj	dam	baraj	dam	N;INDF;MASC;SG	
absolvent	valmistunut	absolvent	valmistua	N;INDF;MASC;SG	V;NOM;SG;V.PTCP;ACT
islamică	islamilainen	islamic	islamilainen	ADJ;INDF;FEM;SG	ADJ;NOM;SG
islamică	islamilaisen	islamic	islamilainen	ADJ;INDF;FEM;SG	N;GEN;SG
derivă	drift	deriv	drift	V;IND;SG;3;PST;FIN	
derivă	tuuliajolla	deriv	tuuli#ajo	V;IND;SG;3;PST;FIN	N;AT+ESS
;SG
balta	lampi	baltă	lampi	N;DEF;FEM;SG	N;NOM;SG
aires	aires	aires	aires	PROPN	
roberts	roberts	roberts	roberts	PROPN	PROPN;NOM;SG
amândoi	molemmat	amândoi	molemmat	NUM;MASC;PL	PRO;NOM;PL
amândoi	molempia	amândoi	molemmat	NUM;MASC;PL	PRO;PRT;PL
amândoi	kumpikin	amândoi	kumpikin	NUM;MASC;PL	PRO;NOM;SG
statuie	patsaan	statuie	patsas	N;INDF;FEM;SG	N;GEN;SG
statuie	patsas	statuie	patsas	N;INDF;FEM;SG	N;NOM;SG
tennessee	tennessee	tennessee	tennessee	PROPN	INTJ
toamnă	syksyllä	toamnă	syksy	N;INDF;FEM;SG	N;AT+ESS
;SG
toamnă	syksy	toamnă	syksy	N;INDF;FEM;SG	N;NOM;SG
toamnă	syksyn	toamnă	syksy	N;INDF;FEM;SG	N;GEN;SG
moștenirea	perintö	moștenire	perintö	N;DEF;FEM;SG	N;NOM;SG
moștenirea	perinnön	moștenire	perintö	N;DEF;FEM;SG	N;GEN;SG
moștenirea	perintö	moștenire	perintö	N;DEF;FEM;SG	N;NOM;SG
moștenirea	perinnön	moștenire	perintö	N;DEF;FEM;SG	N;GEN;SG
oslo	oslo	oslo	oslo	PROPN	
oslo	oslon	oslo	oslo	PROPN	N;GEN;SG
turner	turnerin	turner	turneri	PROPN	N;GEN;SG
turner	turner	turner	turner	PROPN	
adăugate	lisättiin	adăuga	lisätä	ADJ;INDF;FEM;PL	V;IND;PST;FIN;PASS
adăugate	lisäsi	adăuga	lisätä	ADJ;INDF;FEM;PL	V;IND;SG;3;PST;FIN;ACT
adăugate	lisätty	adăuga	lisätä	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;PASS
interzisă	kiellettyä	interzice	kieltää	ADJ;INDF;FEM;SG	V;PRT;SG;V.PTCP;PASS
interzisă	kielletty	interzice	kieltää	ADJ;INDF;FEM;SG	V;NOM;SG;V.PTCP;PASS
interzisă	kiellettyä	interzice	kieltää	ADJ;INDF;FEM;SG	V;PRT;SG;V.PTCP;PASS
interzisă	kielletty	interzice	kieltää	ADJ;INDF;FEM;SG	V;NOM;SG;V.PTCP;PASS
numirea	nimittäminen	numire	nimittäminen	N;DEF;FEM;SG	N;NOM;SG
numirea	tapaaminen	numire	tapaaminen	N;DEF;FEM;SG	N;NOM;SG
numirea	nimeäminen	numire	nimeäminen	N;DEF;FEM;SG	N;NOM;SG
numirea	nimitys	numire	nimitys	N;DEF;FEM;SG	N;NOM;SG
contactul	yhteyttä	contact	yhteys	N;DEF;MASC;SG	N;PRT;SG
