din	from	din	from	ADP;ACC	
care	kto	care	kto	PRO;3	PRO;NOM;MASC;SG
care	kogo	care	kto	PRO;3	PRO;ACC;MASC;SG
care	who	care	who	PRO;3	
care	które	care	który	PRO;3	DET;ACC;MASC;SG
care	która	care	który	PRO;3	DET;NOM;FEM;SG
care	który	care	który	PRO;3	DET;NOM;MASC;SG
mai	mai	mai	ja	ADV	PROPN;NOM;MASC;SG
mai	more	mai	more	ADV	
pentru	na	pentru	na	ADP;ACC	INTJ
pentru	za	pentru	za	ADP;ACC	PART
lui	lui	el	lej	PRO;3	
lui	jego	el	on	PRO;3	PRO;GEN;MASC;SG;3
sunt	są	fi	być	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
sit	witryny	sit	witryna	N;INDF;MASC;SG	N;GEN;FEM;PL
dupa	after	dupa	after	N;DEF;FEM;SG	
dupa	po	dupa	po	N;DEF;FEM;SG	INTJ
dupa	after	dupa	after	N;DEF;FEM;SG	
dupa	po	dupa	po	N;DEF;FEM;SG	INTJ
prin	poprzez	prin	poprzez	ADP;ACC	
regiunea	region	regiune	region	N;DEF;FEM;SG	N;NOM;MASC;SG
regiunea	regionie	regiune	region	N;DEF;FEM;SG	N;ACC;MASC;SG
regiunea	regiony	regiune	regić	N;DEF;FEM;SG	N;NOM;MASC;PL
regiunea	regionu	regiune	regić	N;DEF;FEM;SG	N;GEN;MASC;SG
mare	świetnie	mare	świetnie	ADJ;INDF;MASC;SG	ADV
mare	super	mare	super	ADJ;INDF;MASC;SG	
mare	wspaniale	mare	wspaniale	ADJ;INDF;MASC;SG	
mare	big	mare	big	ADJ;INDF;MASC;SG	
mare	morza	mare	morze	ADJ;INDF;MASC;SG	N;GEN;NEUT;SG
mare	morze	mare	morze	ADJ;INDF;MASC;SG	N;NOM;NEUT;SG
anul	roku	an	rok	N;DEF;MASC;SG	N;GEN;MASC;SG
anul	rok	an	rok	N;DEF;MASC;SG	N;NOM;MASC;SG
comuna	wspólnej	comună	wspólny	N;DEF;FEM;SG	ADJ;GEN;FEM;SG
comuna	wspólny	comună	wspólny	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
comuna	częste	comună	częsty	N;DEF;FEM;SG	
comuna	często	comună	często	N;DEF;FEM;SG	ADV
comuna	wspólne	comună	wspólny	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
comuna	gmina	comună	gmina	N;DEF;FEM;SG	
comuna	wspólnej	comună	wspólny	N;DEF;FEM;SG	ADJ;GEN;FEM;SG
comuna	wspólny	comună	wspólny	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
comuna	częste	comună	częsty	N;DEF;FEM;SG	
comuna	często	comună	często	N;DEF;FEM;SG	ADV
comuna	wspólne	comună	wspólny	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
externe	zewnętrzne	extern	zewnętrzny	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
legaturi	łącza	legatură	łączyć	N;INDF;FEM;PL	
legaturi	znajomości	legatură	znajomość	N;INDF;FEM;PL	N;GEN;FEM;SG
legaturi	powiązania	legatură	powiązanie	N;INDF;FEM;PL	N;NOM;NEUT;SG
legaturi	łącza	legatură	łączyć	N;INDF;FEM;PL	
vezi	patrz	vedea	patrzeć	V;IND;SG;2;PRS;FIN	V;IPFV;IMP;SG;2;FIN;ACT
vezi	zobacz	vedea	zobaczyć	V;IND;SG;2;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
cod	kodu	cod	koda		N;GEN;MASC;SG
cod	kod	cod	kod		N;ACC;MASC;SG
populatie	populacja	populatie	populacja	N;INDF;FEM;SG	N;NOM;FEM;SG
populatie	populacji	populatie	populacja	N;INDF;FEM;SG	N;GEN;FEM;SG
populatie	ludność	populatie	ludność	N;INDF;FEM;SG	N;NOM;FEM;SG
bucuresti	bukareszcie	bucurest	bukareszt	PROPN	N;NOM;MASC;SG
bucuresti	bukareszcie	bucurest	bukareszt	PROPN	N;NOM;MASC;SG
bucuresti	bukareszcie	bucurest	bukareszt	PROPN	N;NOM;MASC;SG
fiind	bycie	fi	bycie	V;V.MSDR	
fiind	będąc	fi	być	V;V.MSDR	V;IPFV;PRS;V.CVB;ACT
fiind	bycia	fi	być	V;V.MSDR	
romania	rumunii	romanie	rumunia	N;DEF;FEM;SG	
romania	rumunia	romanie	rumunia	N;DEF;FEM;SG	
romania	rumunii	romanie	rumunia	N;DEF;FEM;SG	
romania	rumunia	romanie	rumunia	N;DEF;FEM;SG	
jpg	jpg	jpg	jeść	N	
lista	listy	listă	list	N;DEF;FEM;SG	
lista	wykaz	listă	wykaz	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	lista	listă	list	N;DEF;FEM;SG	N;NOM;FEM;SG
lista	spis	listă	spis	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	listę	listă	lista	N;DEF;FEM;SG	N;ACC;FEM;SG
lista	listy	listă	list	N;DEF;FEM;SG	
lista	wykaz	listă	wykaz	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	lista	listă	list	N;DEF;FEM;SG	N;NOM;FEM;SG
lista	spis	listă	spis	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	listę	listă	lista	N;DEF;FEM;SG	N;ACC;FEM;SG
ucraina	ukrainy	ucraina	ukrainy	PROPN	
ucraina	ukrainę	ucraina	ukraina	PROPN	N;ACC;FEM;SG
ucraina	ukraina	ucraina	ukrainać	PROPN	
ucraina	ukrainie	ucraina	ukrać	PROPN	
ani	ani	an	ani	N;INDF;MASC;PL	CONJ
avea	mial	avea	mial	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
avea	miał	avea	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
avea	miała	avea	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
avea	miał	avea	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
intre	między	intra	między	V;SBJV;3;PRS;FIN	ADP
intre	pomiędzy	intra	pomiędzy	V;SBJV;3;PRS;FIN	
intre	między	intra	między	V;SBJV;3;PRS;FIN	ADP
intre	pomiędzy	intra	pomiędzy	V;SBJV;3;PRS;FIN	
pana	pióro	pană	pióro	N;DEF;FEM;SG	
pana	piórko	pană	piórko	N;DEF;FEM;SG	
poate	może	poate	móc	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
doua	dwie	doi	dwa	NUM;FEM;SG	NUM;ACC;FEM;PL
doua	dwóch	doi	dwa	NUM;FEM;SG	NUM;ACC;MASC;PL
doua	dwa	doi	dwa	NUM;FEM;SG	NUM;ACC;MASC;PL
doua	dwie	doi	dwa	NUM;FEM;SG	NUM;ACC;FEM;PL
doua	dwóch	doi	dwa	NUM;FEM;SG	NUM;ACC;MASC;PL
doua	dwa	doi	dwa	NUM;FEM;SG	NUM;ACC;MASC;PL
rege	king	rege	king	N;INDF;MASC;SG	
rege	kinga	rege	kinga	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
alte	innych	alt	inny	DET;FEM;PL;3	ADJ;GEN;MASC;PL
alte	inne	alt	inny	DET;FEM;PL;3	ADJ;NOM;NEUT;SG
alte	pozostał	alt	pozostać	DET;FEM;PL;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
alte	inny	alt	inny	DET;FEM;PL;3	ADJ;NOM;MASC;SG
cand	gdy	cand	gdy		CONJ
cand	kiedy	cand	kiedy		ADV
cand	gdy	cand	gdy		CONJ
cand	kiedy	cand	kiedy		ADV
regiune	region	regiune	region	N;INDF;FEM;SG	N;NOM;MASC;SG
regiune	regionie	regiune	region	N;INDF;FEM;SG	N;ACC;MASC;SG
regiune	regiony	regiune	regić	N;INDF;FEM;SG	N;NOM;MASC;PL
regiune	regionu	regiune	regić	N;INDF;FEM;SG	N;GEN;MASC;SG
anii	lat	an	rok	N;DEF;MASC;PL	N;GEN;MASC;PL
anii	lata	an	rok	N;DEF;MASC;PL	N;NOM;MASC;PL
parte	część	parte	część	N;INDF;FEM;SG	N;NOM;FEM;SG
parte	częściowo	parte	częściowo	N;INDF;FEM;SG	ADV
judetul	hrabstwo	judet	hrabstwo	N;DEF;MASC;SG	N;NOM;NEUT;SG
judetul	okręg	judet	okręg	N;DEF;MASC;SG	N;NOM;MASC;SG
judetul	hrabstwa	judet	hrabstwo	N;DEF;MASC;SG	N;ACC;NEUT;SG
judetul	powiat	judet	powiat	N;DEF;MASC;SG	
judetul	hrabstwo	judet	hrabstwo	N;DEF;MASC;SG	N;NOM;NEUT;SG
judetul	okręg	judet	okręg	N;DEF;MASC;SG	N;NOM;MASC;SG
judetul	hrabstwa	judet	hrabstwo	N;DEF;MASC;SG	N;ACC;NEUT;SG
judetul	powiat	judet	powiat	N;DEF;MASC;SG	
centura	pasek	centură	pask	N;DEF;FEM;SG	N;NOM;MASC;SG
centura	pas	centură	pas	N;DEF;FEM;SG	N;NOM;MASC;SG
centura	pasek	centură	pask	N;DEF;FEM;SG	N;NOM;MASC;SG
centura	pas	centură	pas	N;DEF;FEM;SG	N;NOM;MASC;SG
dinastia	dynastia	dinastie	dynastia	N;DEF;FEM;SG	N;NOM;FEM;SG
dinastia	dynastii	dinastie	dynastia	N;DEF;FEM;SG	
septembrie	wrzesień	septembrie	wrzesień	N;INDF;MASC;SG	
septembrie	września	septembrie	wrzesień	N;INDF;MASC;SG	
unde	gdzie	unde	gdzie	ADV	ADV
majoritatea	większość	majoritate	większość	N;DEF;FEM;SG	N;NOM;FEM;SG
majoritatea	najczęściej	majoritate	często	N;DEF;FEM;SG	ADV;RL
majoritatea	większości	majoritate	większość	N;DEF;FEM;SG	N;GEN;FEM;SG
majoritatea	najbardziej	majoritate	bardzo	N;DEF;FEM;SG	ADV;RL
majoritatea	większość	majoritate	większość	N;DEF;FEM;SG	N;NOM;FEM;SG
majoritatea	większości	majoritate	większość	N;DEF;FEM;SG	N;GEN;FEM;SG
densitate	gęstości	densitate	gęstość	N;INDF;FEM;SG	N;GEN;FEM;SG
densitate	gęstość	densitate	gęstość	N;INDF;FEM;SG	N;NOM;FEM;SG
limba	język	limbă	język	N;DEF;FEM;SG	N;NOM;MASC;SG
limba	język	limbă	język	N;DEF;FEM;SG	N;NOM;MASC;SG
limba	języku	limbă	język	N;DEF;FEM;SG	N;ACC;MASC;SG
limba	język	limbă	język	N;DEF;FEM;SG	N;NOM;MASC;SG
limba	język	limbă	język	N;DEF;FEM;SG	N;NOM;MASC;SG
limba	języku	limbă	język	N;DEF;FEM;SG	N;ACC;MASC;SG
iunie	june	iunie	juny	N;INDF;MASC;SG	
iunie	czerwiec	iunie	czerwiec	N;INDF;MASC;SG	
