что	कया	что	कया	PRO;NOM	V;SG;FIN;ACT
для	लिये	для	ले	ADP	V;PFV;MASC;SG;V.PTCP;ACT
как	केसे	как	केसे	CONJ	N;NOM;MASC;SG;3
как	कैसे	как	कैसे	CONJ	PRO
как	कैसा	как	कैसा	CONJ	PRO
как	like	как	like	CONJ	
был	था	быть	था	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;IND;SG;PST;FIN;ACT
был	थी	быть	था	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;IND;SG;PST;FIN;ACT
его	उसकी	он	वह	PRO;ACC;MASC;SG;3	PRO;FEM;SG;3
его	उसका	он	वह	PRO;ACC;MASC;SG;3	PRO;MASC;SG;3
его	उसके	он	वह	PRO;ACC;MASC;SG;3	PRO;MASC;SG;3
его	उससे	он	वह	PRO;ACC;MASC;SG;3	PRO;SG;3
его	उसको	он	वह	PRO;ACC;MASC;SG;3	PRO;SG;3
его	उसे	он	वह	PRO;ACC;MASC;SG;3	PRO;SG;3
также	भी	также	भी	ADV	PART
это	ये	это	यह	PRO;INAN;NOM;NEUT;SG	PRO;NOM;PL;3
это	इस	это	यह	PRO;INAN;NOM;NEUT;SG	DET;ACC;SG;3
это	उस	это	वह	PRO;INAN;NOM;NEUT;SG	DET;ACC;SG;3
это	कि	это	कि	PRO;INAN;NOM;NEUT;SG	
после	बाद	после	बाद	ADP	ADV;NOM;MASC;SG;3
области	एटलस	область	एटलस	N;INAN;NOM;FEM;PL	
области	क्षेत्र	область	क्षेत्र	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG;3
области	क्षेत्रों	область	क्षेत्र	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL;3
было	था	быть	था	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;MASC;IND;SG;PST;FIN;ACT
было	थी	быть	था	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;FEM;IND;SG;PST;FIN;ACT
