right	सही	righta	सही		ADJ
leta	सालों	leto	साल	N;GEN;NEUT;SG	N;NOM;MASC;PL;3
leta	वर्ष	leto	वर्ष	N;GEN;NEUT;SG	N;NOM;MASC;SG;3
leta	साल	leto	साल	N;GEN;NEUT;SG	N;NOM;MASC;SG;3
leta	वर्षों	leto	वर्ष	N;GEN;NEUT;SG	N;NOM;MASC;PL;3
leta	सालो	leto	सालो	N;GEN;NEUT;SG	
kot	like	kot	like	CONJ	
bil	था	biti	था	V;MASC;SG;V.PTCP	V;MASC;IND;SG;PST;FIN;ACT
bil	थी	biti	था	V;MASC;SG;V.PTCP	V;FEM;IND;SG;PST;FIN;ACT
bil	महरूम	biti	महरूम	V;MASC;SG;V.PTCP	
med	दौरान	med	दौरान	ADP;INS	ADV;NOM;MASC;SG;3
med	इंटर	med	इंटर	ADP;INS	
glej	देखें	gledati	देख	V;IPFV;IMP;SG;2;FIN	V;SBJV;PL;FIN;ACT
glej	देखिए	gledati	देखिया	V;IPFV;IMP;SG;2;FIN	V;SBJV;SG;FIN;ACT
glej	देखिये	gledati	देखिया	V;IPFV;IMP;SG;2;FIN	V;IND;SG;3;FIN;ACT
glej	देखें	gledati	देख	V;IPFV;IMP;SG;2;FIN	V;SBJV;PL;FIN;ACT
bila	था	biti	था	V;FEM;SG;V.PTCP	V;MASC;IND;SG;PST;FIN;ACT
bila	थी	biti	था	V;FEM;SG;V.PTCP	V;FEM;IND;SG;PST;FIN;ACT
bila	महरूम	biti	महरूम	V;FEM;SG;V.PTCP	
nova	नोवा	nov	नोवा	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
mehika	मेक्सिको	mehika	मेक्सिको	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
mehika	मैक्सिको	mehika	मैक्सिको	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
bgcolor	bgcolor	bgcolor	bgcolor	N;NOM;MASC;SG	
ter	ter	ter	ter	CONJ	
povezave	कनेक्शन	povezava	कनेक्शन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
povezave	लिंक	povezava	लिंक	N;NOM;FEM;PL	N;NOM;MASC;SG;3
povezave	लिंक्स	povezava	लिंक्स	N;NOM;FEM;PL	N;NOM;FEM;SG;3
povezave	कड़ी	povezava	कडा	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
več	आदि	več	आदि	DET	PART
zunanje	बाह्य	zunanji	बाह्य	ADJ;NOM;FEM;PL	
pod	तहत	pod	तहत		CONJ
pod	अंतर्गत	pod	अंतर्गत		CONJ
del	पार्ट	del	पार्ट	N;NOM;MASC;SG	
del	भाग	del	भाग	N;NOM;MASC;SG	
del	डेल	del	डेल	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
kjer	कहाँ	kjer	कहाँ	CONJ	PRO
kjer	कहां	kjer	कहाँ	CONJ	
kjer	जहां	kjer	जहाँ	CONJ	PRO;NOM
kjer	जहाँ	kjer	जहाँ	CONJ	PRO;NOM
jih	उनसे	on	वह	PRO;ACC;MASC;PL;3	PRO;SG;3;FORM
jih	उनके	on	वह	PRO;ACC;MASC;PL;3	PRO;MASC;SG;3;FORM
jih	उनको	on	वह	PRO;ACC;MASC;PL;3	PRO;SG;3;FORM
jih	उन्हें	on	वह	PRO;ACC;MASC;PL;3	PRO;SG;3;FORM
ima	रै	imeti	रै	V;IPFV;IND;SG;3;POS;PRS;FIN	
september	सितम्बर	september	सितंबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
september	सितंबर	september	सितंबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
opombe	नोट्स	opomba	नोट्स	N;NOM;FEM;PL	N;NOM;MASC;SG;3
opombe	नोट	opomba	नोट	N;NOM;FEM;PL	N;NOM;MASC;SG;3
opombe	टिप्पणी	opomba	टिप्पणी	N;NOM;FEM;PL	N;NOM;FEM;SG;3
