dynasti	dynastie	dynasti	dynastie	N;INDF;NEUT;SG	N;NOM;FEM;PL
glasgow	glasgow	glasgow	glasgow	PROPN	PROPN;INAN;NOM;MASC;SG
secret	tajný	secret	tajný		ADJ;ANIM;NOM;MASC;SG
secret	secret	secret	secret		N;NOM;FEM;SG
secret	tajná	secret	tajný		ADJ;NOM;FEM;SG
secret	tajomstvo	secret	tajomstvo		N;NOM;NEUT;SG
secret	tajné	secret	tajný		ADJ;NOM;NEUT;SG
journalister	novinárom	journalist	novinár	N;INDF;MASC+FEM;PL	N;ANIM;INS;MASC;SG
mikhail	michail	mikhail	michail	PROPN	PROPN;ANIM;NOM;MASC;SG
etage	podlahové	etage	podlahový	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
poesi	poézie	poesi	poézia	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
mil	kilometre	mil	kilometer	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
mil	miles	mil	miles	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
mil	míle	mil	míla	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
mil	mil	mil	mil	N;INDF;MASC+FEM;SG	
installeret	nainštalovaný	installere	nainštalovaný	V;INDF;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
installeret	nainštalované	installere	nainštalovaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
installeret	inštalované	installere	inštalovaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
udkanten	periférii	udkant	periféria	N;DEF;MASC+FEM;SG	N;DAT;FEM;PL
varmt	horúci	varm	horúci	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
varmt	sexi	varm	sexi	ADJ;INDF;NEUT;SG	N;NOM;FEM;SG
varmt	hot	varm	hot	ADJ;INDF;NEUT;SG	
varmt	horúce	varm	horúci	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;PL
varmt	teple	varm	teplo	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
varmt	teplo	varm	teplo	ADJ;INDF;NEUT;SG	N;NOM;NEUT;SG
passere	pass	passere	pass	V;NFIN;ACT	INTJ
