ve	وال	ve	وَال	CONJ	N;NOM;DEF;SG
bir	احد	bir	أَحَد		N;NOM;INDF;SG
bir	واحدة	bir	وَاحِد		ADJ;NOM;INDF;FEM;SG
bir	واحد	bir	وَاحِد		ADJ;NOM;INDF;MASC;SG
bir	واحده	bir	واحده		PRO;NOM;MASC;SG;3
bu	هذا	bu	هٰذَا		DET;NOM;MASC;SG
bu	هذه	bu	هٰذَا		DET;NOM;FEM;SG
bu	هذا	bu	هٰذَا		DET;NOM;MASC;SG
bu	ذلك	bu	ذلك		
de	قل	de	قَلّ		
de	نقول	de	قَال		V;IPFV;MASC;IND;PL;1;FIN;ACT
de	قولي	de	قَولِيّ		
de	قول	de	قَول		N;NOM;INDF;SG
de	اقول	de	قَاوَل		
ile	w	ile	!		
ile	مع	ile	مَعَ		ADP;ACC
için	لاجل	için	لاجل		
en	مفضلة	en	مُفضَلّ	ADV	ADJ;NOM;INDF;FEM;SG
en	المفضلة	en	مُفضَلّ	ADV	N;NOM;DEF;SG
daha	المزيد	daha	مَزِيد	ADV	N;NOM;DEF;SG
daha	اكتر	daha	أَكتَر	ADV	
daha	اكثر	daha	أَكثَر	ADV	ADJ;NOM;INDF;MASC;SG
daha	مزيد	daha	مَزِيد	ADV	N;NOM;INDF;SG
sonra	بعدها	sonra	بعدها	ADV	PRO;NOM;MASC;SG;3
sonra	ثم	sonra	ثُمَّ	ADV	CONJ
sonra	اذا	sonra	إِذَا	ADV	CONJ
sonra	بعدما	sonra	بَعدَمَا	ADV	CONJ
sonra	بعد	sonra	بَعدَ	ADV	ADP;NOM
sonra	لاحقا	sonra	لَاحِق	ADV	ADJ;ACC;INDF;MASC;SG
sonra	لاحق	sonra	لَاحِق	ADV	ADJ;NOM;INDF;MASC;SG
ilk	اول	ilk	أَوَّل		ADJ;NOM;INDF;MASC;SG
ilk	اولا	ilk	أَوَّل		ADJ;ACC;INDF;MASC;SG
ilk	الاول	ilk	أَوَّل		ADJ;NOM;DEF;MASC;SG
ilk	الاولى	ilk	أَوَّل		ADJ;NOM;DEF;FEM;SG
utc	u	utc	!		
çok	جدا	çok	جِدّ		N;ACC;INDF;SG
çok	ماتش	çok	مَاتِش		
gibi	مثل	gibi	مِثلَ		ADP;NOM
gibi	لايك	gibi	لَايك		
dış	المفرزة	dış	مُفرَز		N;NOM;DEF;SG
dış	ديس	dış	دَيس		
büyük	كبيرة	büyük	كَبِير		ADJ;NOM;INDF;FEM;SG
büyük	الكبير	büyük	كَبِير		ADJ;NOM;DEF;MASC;SG
büyük	كبيرة	büyük	كَبِير		ADJ;NOM;INDF;FEM;SG
büyük	كبيره	büyük	كبيره		
büyük	كبير	büyük	كَبِير		ADJ;NOM;INDF;MASC;SG
büyük	ضخم	büyük	ضَخم		ADJ;NOM;INDF;MASC;SG
büyük	ضخمة	büyük	ضَخم		ADJ;NOM;INDF;FEM;SG
türkiye	تركيا	türkiye	تُركِيَا	PROPN;NOM;SG;3	
iki	اثنين	iki	اِثنَان		NUM;NOM;INDF;MASC
iki	اثنان	iki	اِثنَان		N;NOM;INDF;SG
iki	اثنتان	iki	اِثنَان		NUM;NOM;INDF;FEM
center	سنتر	center	سنتر	N;NOM;SG;3	
arasında	بين	ara	بَينَ	ADJ;ESS;SG;3	ADP;ACC
ayrıca	ايضا	ayrıca	أَيضًا		ADV
ayrıca	كمان	ayrıca	كَمَان		
ayrıca	بجانب	ayrıca	بَجنَبَة		
ayrıca	بالاضافة	ayrıca	بالاضافة		N;NOM;DEF;SG
istanbul	اسطنبول	istanbul	اسطنبول	PROPN;NOM;SG;3	
türk	الترك	türk	تُرك	ADJ	N;NOM;DEF;SG
türk	تورك	türk	تُورك	ADJ	
türk	التركي	türk	تُركِيّ	ADJ	N;NOM;DEF;SG
türk	تركي	türk	تُركِيّ	ADJ	
yeni	جدد	yeni	جَدَّد	ADJ	V;PFV;MASC;SG;3;ACT
un	الطحين	un	الطحين		N;NOM;DEF;SG
un	الدقيق	un	دَقِيق		N;NOM;DEF;SG
aynı	نفس	aynı	نَفس	ADJ	N;NOM;PSSD;SG
aynı	نفسه	aynı	نفسه	ADJ	PRO;NOM;MASC;SG;3
kulüp	النادي	kul	نَادِي		N;NOM;DEF;SG
kulüp	ناد	kul	نَادِي		N;NOM;INDF;SG
kulüp	نادى	kul	نَادِي		
kulüp	نادي	kul	نادي		
