úseky	раздели	úsek	разделя-(се)	N;INAN;NOM;MASC;PL;POS	V;PFV;IMP;SG;2;FIN
brigády	бригада	brigáda	бригада	N;NOM;FEM;PL;POS	N;INDF;FEM;SG
brigády	бригадата	brigáda	бригада	N;NOM;FEM;PL;POS	N;DEF;FEM;SG
společenský	социално	společenský	социален	ADJ;INAN;NOM;MASC;SG;POS	ADV
společenský	социални	společenský	социален	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;PL
oka	ока	oko	ока	N;NOM;NEUT;PL;POS	PROPN;INDF;MASC;SG
oka	окото	oko	око	N;NOM;NEUT;PL;POS	N;DEF;NEUT;SG
oka	око	oko	око	N;NOM;NEUT;PL;POS	N;INDF;NEUT;SG
vazba	задължителен	vazba	задължителен	N;NOM;FEM;SG;POS	ADJ;INDF;MASC;SG
vazba	обвързващи	vazba	обвързвам-(се)	N;NOM;FEM;SG;POS	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
albánie	албански	albánie	албански	PROPN;NOM;FEM;SG;POS	ADJ;INDF;MASC;SG
albánie	албанска	albánie	албански	PROPN;NOM;FEM;SG;POS	ADJ;INDF;FEM;SG
albánie	албанско	albánie	албански	PROPN;NOM;FEM;SG;POS	ADV
albánie	албания	albánie	албания	PROPN;NOM;FEM;SG;POS	N;INDF;FEM;SG
řetězec	струнната	řetězec	струнен	N;INAN;NOM;MASC;SG;POS	ADJ;DEF;FEM;SG
řetězec	вериги	řetězec	верига	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;PL
nabídky	предлага	nabídka	предлагам	N;NOM;FEM;PL;POS	V;IPFV;IND;SG;3;PRS;FIN;ACT
jordan	джордън	jordan	джордън	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
jordan	йордан	jordan	йордан	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
jordan	йордания	jordan	йордания	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;FEM;SG
jordan	джордан	jordan	джордан	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
bot	бот	bota	бот	N;GEN;FEM;PL;POS	N;INDF;MASC;SG
bot	обувка	bota	обувка	N;GEN;FEM;PL;POS	N;INDF;FEM;SG
bot	обувката	bota	обувка	N;GEN;FEM;PL;POS	N;DEF;FEM;SG
weber	уебър	weber	уебър	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
vstoupit	въвеждане	vstoupit	въвеждане	V;PFV;POS;NFIN	N;INDF;NEUT;SG
čtvrtí	квартали	čtvrť	квартал	N;INS;FEM;SG;POS	N;INDF;MASC;PL
laura	лора	laura	лора	PROPN;NOM;FEM;SG;POS	N;INDF;FEM;SG
laura	лаура	laura	лаура	PROPN;NOM;FEM;SG;POS	PROPN;INDF;FEM;SG
harris	харис	harris	харис	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
detroit	детройт	detroit	детройт	PROPN;INAN;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
