nie	non	nie	non	PART;NEG	ADV
przez	through	przez	through	ADP	
był	era	być	essere	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
był	fu	być	essere	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
jego	suo	on	suo	PRO;GEN;MASC;SG;3	DET;MASC;SG
jego	his	on	his	PRO;GEN;MASC;SG;3	
center	centra	center	centra		V;IND;SG;3;PRS;FIN
center	centro	center	centro		N;MASC;SG
tym	this	to	this	PRO;INS;NEUT;SG	
tym	questo	to	questo	PRO;INS;NEUT;SG	DET;MASC;SG
tym	questa	to	questo	PRO;INS;NEUT;SG	DET;FEM;SG
pod	under	pod	undere	ADP	N;MASC
cest	cest	cest	cest		N;SG
dyskusja	discussioni	dyskusja	discussione	N;NOM;FEM;SG	N;FEM;PL
jak	how	jak	how	ADV	N
jak	like	jak	like	ADV	
też	inoltre	też	inoltre	PART	ADV
też	anche	też	anche	PART	ADV
też	too	też	too	PART	
też	troppo	też	troppo	PART	ADV
polski	polacchi	polski	polacco	ADJ;NOM;MASC;SG	N;MASC;PL
polski	polonia	polski	polonia	ADJ;NOM;MASC;SG	N;FEM;SG
polski	polski	polski	polsko	ADJ;NOM;MASC;SG	N;SG
linki	links	linka	links	N;NOM;FEM;PL	V;IND;SG;2;PRS;FIN
zewnętrzne	esterni	zewnętrzny	esterno	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
także	inoltre	także	inoltre	PART	ADV
także	anche	także	anche	PART	ADV
cet	cet	cet	cet		
team	squadra	team	squadra		N;FEM;SG
team	team	team	team		N;MASC
jednak	tuttavia	jednak	tuttavia	PART	ADV
jednak	tuttavia	jednak	tuttavia	PART	ADV
również	inoltre	również	inoltre	PART	ADV
również	anche	również	anche	PART	ADV
jej	her	on	her	PRO;GEN;FEM;SG;3	ADJ;SG
brak	carenza	brak	carenza	V;IND;PRS;FIN	N;FEM;SG
brak	mancanza	brak	mancanza	V;IND;PRS;FIN	N;FEM;SG
brak	assenza	brak	assenza	V;IND;PRS;FIN	N;FEM;SG
brak	assenze	brak	assenza	V;IND;PRS;FIN	N;FEM;PL
brak	scomparsa	brak	scomparire	V;IND;PRS;FIN	V;FEM;SG;PST;V.PTCP
brak	mancante	brak	mancante	V;IND;PRS;FIN	ADJ;SG
brak	scomparso	brak	scomparire	V;IND;PRS;FIN	V;MASC;SG;PST;V.PTCP
brak	mancanti	brak	mancante	V;IND;PRS;FIN	ADJ;PL
podczas	mentre	podczas	mentre	ADP	CONJ
była	era	być	essere	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
była	fu	być	essere	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
września	settembre	wrzesień	settembre		N;MASC;SG
ich	ich	on	ich	PRO;GEN;MASC;PL;3	
gdzie	where	gdzie	where	ADV	
tylko	solo	tylko	solo	PART	ADV
tylko	only	tylko	only	PART	
tylko	soltanto	tylko	soltanto	PART	ADV
tylko	solo	tylko	solo	PART	ADV
tylko	just	tylko	just	PART	
maja	may	mieć	may		N
maja	maggio	mieć	maggio		N;MASC;SG
maja	può	mieć	potere		V;IND;SG;3;PRS;FIN
maja	maya	mieć	maya		N;MASC;SG
maja	maja	mieć	maja		N;FEM;SG
