खिड़की	fenêtres	खिड़की	fenêtre	N;NOM;FEM;SG;3	N;FEM;PL
लुइस	luis	लुइस	lui	PROPN;NOM;MASC;SG;3	PROPN
क्लैप्टन	clapton	क्लैप्टन	clapton	PROPN;NOM;MASC;SG;3	PROPN
डगलस	douglas	डगलस	dougla	PROPN;NOM;MASC;SG;3	PROPN
एलेक्स	alex	एलेक्स	alex	PROPN;NOM;MASC;SG;3	PROPN
पढ़े	lecture	पढ़े	lecture	V;PFV;MASC;SG;FIN;ACT	N;FEM;SG
पढ़े	lisez	पढ़े	lire	V;PFV;MASC;SG;FIN;ACT	V;IMP;PL;2;PRS;FIN
मेनन	menon	मेनन	menon	PROPN;NOM;MASC;SG;3	N;MASC;SG
नियोजित	prévu	नियोजित	prévoir	ADJ;NOM	V;MASC;SG;PST;V.PTCP
नियोजित	planifié	नियोजित	planifier	ADJ;NOM	V;MASC;SG;PST;V.PTCP
नियोजित	planifiés	नियोजित	planifié	ADJ;NOM	V;MASC;PL;PST;V.PTCP
नियोजित	planifiée	नियोजित	planifier	ADJ;NOM	V;FEM;SG;PST;V.PTCP
नियोजित	prévue	नियोजित	prévoir	ADJ;NOM	V;FEM;SG;PST;V.PTCP
यूनिवर्सल	universal	यूनिवर्सल	universal	N;NOM;MASC;SG;3	PROPN
यूनिवर्सल	universels	यूनिवर्सल	universel	N;NOM;MASC;SG;3	ADJ;MASC;PL
यूनिवर्सल	universelle	यूनिवर्सल	universel	N;NOM;MASC;SG;3	ADJ;FEM;SG
यूनिवर्सल	universel	यूनिवर्सल	universel	N;NOM;MASC;SG;3	ADJ;MASC;SG
विधवा	veuves	विधवा	veuve		N;FEM;PL
विधवा	veuf	विधवा	voufr		ADJ;MASC;SG
विधवा	veufs	विधवा	voufre		N;MASC;PL
विधवा	veuve	विधवा	veuve		N;FEM;SG
विधवा	veuves	विधवा	veuve		N;FEM;PL
विधवा	veuve	विधवा	veuve		N;FEM;SG
विधवा	veuf	विधवा	voufr		ADJ;MASC;SG
गोदावरी	godavari	गोदावरी	godavari	PROPN;NOM;FEM;SG;3	PROPN
गज	verges	गज	verge		N;FEM;PL
गज	yards	गज	yard		N;MASC;PL
दुर्बल	faiblesse	दुर्बल	faiblesse		N;FEM;SG
दुर्बल	faible	दुर्बल	faible		ADJ;MASC;SG
दुर्बल	faibles	दुर्बल	faible		ADJ;MASC;PL
स्थूल	grasse	स्थूल	gras		ADJ;FEM;SG
स्थूल	gros	स्थूल	gros		ADJ;MASC;SG
स्थूल	gras	स्थूल	gras		ADJ;MASC;SG
स्थूल	graisses	स्थूल	grais		N;FEM;PL
स्थूल	graisse	स्थूल	graisse		N;FEM;SG
मौलाना	maulana	मौलाना	maulana	N;NOM;MASC;SG;3	PROPN
अभूतपूर्व	phénoménal	अभूतपूर्व	phénoménal	ADV	ADJ;MASC;SG
अभूतपूर्व	phénoménale	अभूतपूर्व	phénoménal	ADV	ADJ;FEM;SG
कमजोरी	faiblesses	कमजोरी	faiblesse	N;NOM;FEM;SG;3	N;FEM;PL
वैचारिक	idéologique	वैचारिक	idéologique	PROPN;NOM;SG;3	ADJ;MASC;SG
वैचारिक	idéologie	वैचारिक	idéologie	PROPN;NOM;SG;3	N;FEM;SG
वैचारिक	idéologiques	वैचारिक	idéologique	PROPN;NOM;SG;3	ADJ;MASC;PL
क्षारीय	alcalin	क्षारीय	alcalin	N;NOM	ADJ;MASC;SG
क्षारीय	alcalins	क्षारीय	alcalin	N;NOM	ADJ;MASC;PL
क्षारीय	alcalins	क्षारीय	alcalin	N;NOM	ADJ;MASC;PL
