חנקן	nitróxeno	חנקן	nitróxeno	PROPN	N
פנטום	membro	פנטום	membro	PROPN	N
פנטום	pantasma	פנטום	pantasma	PROPN	N
פנטום	carreta	פנטום	carreta	PROPN	N
כותנה	de	כותנה	de	N;FEM;SG	ADP
התחייבות	de	התחייבות	de	N;FEM;SG	ADP
התחייבות	cos	התחייבות	cos	N;FEM;SG	PROPN
לקוי	visuais	לקוי	visual		ADJ
לקוי	con	לקוי	con		ADP
בריאה	san	בריא	ser	N;FEM;SG	ADJ
בריאה	sans	בריא	san	N;FEM;SG	PROPN
בריאה	saudable	בריא	saudable	N;FEM;SG	ADJ
כבידה	a	כבידה	o	N;FEM;SG	DET
פוליצר	premio	פוליצר	premio	PROPN	N
פוליצר	pulitzer	פוליצר	pulitzer	PROPN	V
חיסון	as	חיסון	o	N;MASC;SG	DET
איסט	leste	איסט	leste	PROPN	N
איסט	oriente	איסט	oriente	PROPN	N
איסט	este	איסט	este	PROPN	DET
איסט	do	איסט	do	PROPN	PROPN
איסט	próximo	איסט	próximo	PROPN	ADJ
שביתה	¡	שביתה	¡	N;FEM;SG	
שביתה	que	שביתה	que	N;FEM;SG	PRO
שביתה	empece	שביתה	empecer	N;FEM;SG	V
אינטראקציה	interactuar	אינטראקציה	interactuar	N;FEM;SG	V
זקוקה	precisamos	זקוק	precisar	ADJ;FEM;SG	V
זקוקה	necesitamos	זקוק	necesitar	ADJ;FEM;SG	V
זקוקה	que	זקוק	que	ADJ;FEM;SG	PRO
שובל	rastro	שובל	rastro	PROPN	N
שובל	pista	שובל	pistar	PROPN	N
שוגר	azucre	שוגר	azucrar	PROPN	N
הורמון	hormona	הורמון	hormona	PROPN	N
הורמון	hormonal	הורמון	hormonal	PROPN	ADJ
מדוייק	exacto	מדוייק	exacto	ADJ	N
הקריביים	caribe	הקריביים	caribe	PROPN	N
הבטחה	prometer	הבטחה	prometer	N;FEM;SG	V
הבטחה	prométolle	הבטחה	prométolle	N;FEM;SG	PROPN
הבטחה	prometo	הבטחה	prometo	N;FEM;SG	V
כלה	noiva	כלה	noiva		N
לחבל	sabotaxe	חיבל	sabotaxe	V;NFIN;ACT	N
התפשט	se	התפשט	se	V;MASC;SG;3;PST	CONJ
האפרטהייד	apartheid	האפרטהייד	apartheid	PROPN	PROPN
חלף	pasaran	חלף	pasar	PROPN	V
חלף	morreu	חלף	morrer	PROPN	V
חלף	aprobouse	חלף	aprobouse	PROPN	N
חלף	transmitiron	חלף	transmitir	PROPN	V
חלף	pasou	חלף	pasar	PROPN	V
חלף	pasar	חלף	pasar	PROPN	V
לשכוח	o	שכח	o	V;NFIN;ACT	DET
הל	hal	הל	hal		PROPN
הארקטי	ártico	הארקטי	ártico	PROPN	ADJ
קליני	clínicos	קליני	clínico	N;MASC	ADJ
קליני	clínicas	קליני	clínico	N;MASC	ADJ
קליני	clínico	קליני	clínico	N;MASC	ADJ
הרגלי	costumes	הרגלי	costume	PROPN	N
הרגלי	hábitos	הרגלי	hábito	PROPN	N
קונצרט	concert	קונצרט	concertir	PROPN	PROPN
קונצרט	concerto	קונצרט	concerto	PROPN	N
קונצרט	balde	קונצרט	balde	PROPN	N
קונצרט	espectáculo	קונצרט	espectáculo	PROPN	N
קונצרט	show	קונצרט	show	PROPN	PROPN
תמצית	esencia	תמצית	esencia		N
תמצית	extraer	תמצית	extraer		V
תמצית	extraen	תמצית	extraer		V
אומצה	bisté	אומצה	bisté	V;FEM;SG;3;PST;PASS	PROPN
פריצה	roubo	פריצה	roubo		N
פריצה	invasión	פריצה	invasión		N
פריצה	piratería	פריצה	piratería		N
חתום	asinado	חתום	asinar	PROPN	V
חתום	sinal	חתום	sinal	PROPN	N
חתום	asinar	חתום	asinar	PROPN	V
ניס	bonito	ניס	bonito	PROPN	N
ניס	ben	ניס	ben	PROPN	ADV
ניס	bonita	ניס	bonita	PROPN	N
ניס	bo	ניס	bo	PROPN	ADJ
ניס	boa	ניס	bo	PROPN	ADJ
עסוק	moi	עסק	moi	V;MASC;SG	ADV
עסוק	ocupado	עסק	ocupar	V;MASC;SG	ADJ
עסוק	ocupados	עסק	ocupado	V;MASC;SG	ADJ
עסוק	negocios	עסק	negocio	V;MASC;SG	N
העמוק	máis	העמוק	máis		ADV
העמוק	profundo	העמוק	profundo		ADJ
העמוק	profunda	העמוק	profundo		ADJ
המחבל	bomber	המחבל	bomber	PROPN	PROPN
הנאשמים	dos	הנאשם	dos	N	PROPN
הנאשמים	acusados	הנאשם	acusar	N	V
הנאשמים	acusado	הנאשם	acusar	N	V
הנאשמים	os	הנאשם	o	N	DET
הנאשמים	imputados	הנאשם	imputar	N	V
פרנסה	vivo	פרנסה	vivo	N;FEM;SG	ADJ
פרנסה	vivir	פרנסה	vivir	N;FEM;SG	V
פרנסה	vivindo	פרנסה	vivir	N;FEM;SG	V
רלוונטיות	relevante	רלוונטיה	relevante	N;FEM;SG	ADJ
רלוונטיות	relevantes	רלוונטיה	relevante	N;FEM;SG	ADJ
ספירה	contan	ספירה	contar	N;FEM;SG	V
ספירה	contar	ספירה	contar	N;FEM;SG	V
ספירה	conde	ספירה	conder	N;FEM;SG	PROPN
ספירה	con	ספירה	con	N;FEM;SG	ADP
ספירה	contar	ספירה	contar	N;FEM;SG	V
ספירה	contigo	ספירה	contigo	N;FEM;SG	ADV
נקייה	limpar	נקי	limpar	ADJ;FEM;SG	V
באקס	dólares	באקס	dólar	PROPN	N
באקס	patacóns	באקס	patacón	PROPN	N
באקס	pavos	באקס	pavo	PROPN	N
באקס	por	באקס	por	PROPN	ADP
דוק	doc	דוק	doc		PROPN
ריקודים	bailando	ריקוד	bailar	N;MASC;PL	V
ריקודים	bailar	ריקוד	bailar	N;MASC;PL	V
ריקודים	bailaba	ריקוד	bailar	N;MASC;PL	V
טנזניה	tanzania	טנזניה	tanzania	PROPN	PROPN
בגז	gas	בגז	gas		N
בדק	a	בדק	o	PROPN	DET
דאבל	o	דאבל	o	PROPN	DET
דאבל	dobre	דאבל	dobre	PROPN	N
דאבל	double	דאבל	double	PROPN	PROPN
יקרות	caro	יקר	caro	ADJ;FEM;PL	N
יקרות	cara	יקר	cara	ADJ;FEM;PL	N
בנקס	bancos	בנקס	banco	PROPN	N
כתף	ombro	כתף	ombro	PROPN	N
כתף	ombreiro	כתף	ombreiro	PROPN	N
היישום	aplicación	היישום	aplicación		N
חקלאים	labregos	חקלאי	labrego	N;MASC;PL	ADJ
מוטיבציה	conducido	מוטיבציה	conducir	N;FEM;SG	V
משלם	a	שילם	o	V;MASC;SG;V.PTCP;ACT	DET
משלם	atención	שילם	atención	V;MASC;SG;V.PTCP;ACT	N
משלם	pagalas	שילם	pagala	V;MASC;SG;V.PTCP;ACT	N
המפץ	baten	המפץ	bater	PROPN	V
המפץ	bang	המפץ	bang	PROPN	PROPN
האסיר	preso	האסיר	preso	PROPN	N
האסיר	prisioneira	האסיר	prisioneira	PROPN	N
