xenio	genial	xenio	genial	N	ADJ;MASC;SG
procurar	por	procurar	por	V	ADP
procurar	para	procurar	para	V	ADP
procurar	olhar	procurar	olhar	V	N;MASC;SG
iraq	iraque	iraq	iraque	PROPN	N;MASC;SG
artillaría	artilharia	artillar	artilharia	V	N;FEM;SG
presta	like	prestar	like	V	N;MASC;SG
presta	curta	prestar	curto	V	ADJ;FEM;SG
presta	como	prestar	como	V	ADV
stein	stein	star	stein	PROPN	N;MASC;SG
custar	custo	custar	custo	V	N;MASC;SG
custar	cost	custar	cost	V	N;MASC;SG
custar	custos	custar	custo	V	N;MASC;PL
usas	tu	usar	tu	ADV	INTJ
usas	você	usar	você	ADV	PRO;NOM;SG;3
usas	vc	usar	vc	ADV	PRO;NOM;MASC;SG;3
usas	uso	usar	uso	ADV	N;MASC;SG
usas	usar	usar	usar	ADV	V;NFIN
usas	use	usar	usar	ADV	V;SBJV;SG;3;PRS;FIN
usas	utilizar	usar	utilizar	ADV	V;NFIN
usas	utilização	usar	utilização	ADV	N;FEM;SG
aturar	stand	aturar	stand	V	N;MASC;SG
cá	os	cá	o	N	PRO;ACC;MASC;PL;3
saberán	eles	saber	eles	V	PRO;NOM;MASC;PL;3
saberán	elas	saber	ele	V	PRO;NOM;FEM;PL;3
patada	chuta	patada	chuta	N	V;IND;SG;3;PRS;FIN
patada	chutar	patada	chutar	N	V;NFIN
natal	naturalidade	natal	naturalidade	PROPN	N;FEM;SG
comparación	comparado	comparación	comparar	N	V;MASC;SG;V.PTCP
comparación	comparada	comparación	comparar	N	V;FEM;SG;V.PTCP
comparación	comparados	comparación	comparar	N	V;MASC;PL;V.PTCP
reclamar	reivindicação	reclamar	reivindicação	V	N;FEM;SG
reclamar	alegação	reclamar	alegação	V	N;FEM;SG
reclamar	por	reclamar	por	V	ADP
reclamar	para	reclamar	para	V	ADP
polonia	polônia	polonia	polônia	PROPN	N;FEM;SG
polonia	polónia	polonia	polónia	PROPN	N;FEM;SG
humilde	humilde	humilde	humilde	N	ADJ;MASC;SG
detén	paradas	detén	parada	V	N;FEM;PL
detén	paragens	detén	paragem	V	N;FEM;PL
faltaba	estava	faltar	estar	V	V;IND;SG;3;IPFV;FIN
faltaba	tava	faltar	tavo	V	V;IND;SG;1;IPFV;FIN
faltaba	foi	faltar	foi	V	ADV
faltaba	ausente	faltar	ausente	V	ADJ;MASC;SG
faltaba	falta	faltar	falta	V	N;FEM;SG
hmm	hmm	hmm	hmm	PROPN	INTJ
esixe	obrigatório	esixir	obrigatório	V	ADJ;MASC;SG
esixe	necessária	esixir	necessário	V	ADJ;FEM;SG
esixe	necessário	esixir	necessário	V	ADJ;MASC;SG
corren	run	currir	run	V	N;MASC;SG
gañaches	tu	gañaches	tu	N	INTJ
gañaches	você	gañaches	você	N	PRO;NOM;SG;3
gañaches	vc	gañaches	vc	N	PRO;NOM;MASC;SG;3
gañaches	venceu	gañaches	vencer	N	V;IND;SG;3;PST;FIN
gañaches	ganhou	gañaches	ganhar	N	V;IND;SG;3;PST;FIN
gañaches	ganhado	gañaches	ganhar	N	V;MASC;SG;V.PTCP
gañaches	ganhe	gañaches	ganhar	N	V;SBJV;SG;3;PRS;FIN
gañaches	ganhar	gañaches	ganhar	N	V;NFIN
gañaches	vencer	gañaches	vencer	N	V;NFIN
puxeches	did	puxeche	dider	V	PROPN;MASC;SG
puxeches	tu	puxeche	tu	V	INTJ
puxeches	você	puxeche	você	V	PRO;NOM;SG;3
puxeches	vc	puxeche	vc	V	PRO;NOM;MASC;SG;3
debate	debater	debate	debater	N	V;NFIN
larry	larry	larry	larry	PROPN	N;MASC;SG
arrestaron	presos	arrestar	preso	V	N;MASC;PL
arrestaron	eles	arrestar	eles	V	PRO;NOM;MASC;PL;3
arrestaron	elas	arrestar	ele	V	PRO;NOM;FEM;PL;3
parados	desempregado	parado	desempregado	N	ADJ;MASC;SG
tiros	baleado	tiro	balear	N	V;MASC;SG;V.PTCP
axudala	ajude	axudala	ajude	N	V;SBJV;SG;3;PRS;FIN
axudala	ajudar	axudala	ajudar	N	V;NFIN
axudala	tu	axudala	tu	N	INTJ
axudala	você	axudala	você	N	PRO;NOM;SG;3
axudala	vc	axudala	vc	N	PRO;NOM;MASC;SG;3
axudala	ela	axudala	ela	N	PRO;NOM;FEM;SG;3
enfronte	front	enfronte	front	ADV	N;MASC;SG
enfronte	fachada	enfronte	fachada	ADV	N;FEM;SG
durmo	sono	durmo	sono	V	N;MASC;SG
honorable	honrada	honorable	honrado	ADJ	V;FEM;SG;V.PTCP
honorable	honrado	honorable	honrar	ADJ	V;MASC;SG;V.PTCP
vagóns	treinar	vagón	treinar	N	V;NFIN
quedes	stay	quedes	stay	V	N;MASC;SG
quedes	stand	quedes	stand	V	N;MASC;SG
kent	kent	kent	kent	PROPN	N;MASC;SG
douche	tu	douche	tu	V	INTJ
douche	você	douche	você	V	PRO;NOM;SG;3
douche	vc	douche	vc	V	PRO;NOM;MASC;SG;3
pódolle	pode	pódoller	poder	N	V;IND;SG;3;PRS;FIN
pódolle	podem	pódoller	poder	N	V;IND;PL;3;PRS;FIN
marchen	march	marchar	march	V	N;MASC;SG
marchen	marcha	marchar	marcha	V	N;FEM;SG
marchen	março	marchar	março	V	N;MASC;SG
atreves	tu	atrever	tu	V	INTJ
atreves	você	atrever	você	V	PRO;NOM;SG;3
atreves	vc	atrever	vc	V	PRO;NOM;MASC;SG;3
choro	chore	choro	chore	N	V;SBJV;SG;3;PRS;FIN
choro	chorar	choro	chorar	N	V;NFIN
choro	chora	choro	chorar	N	V;IND;SG;3;PRS;FIN
impórtache	tu	impórtache	tu	N	INTJ
impórtache	você	impórtache	você	N	PRO;NOM;SG;3
impórtache	vc	impórtache	vc	N	PRO;NOM;MASC;SG;3
acouguen	facil	acougar	facil	PROPN	ADJ;MASC;SG
acouguen	fácil	acougar	fácil	PROPN	ADJ;MASC;SG
acouguen	easy	acougar	easy	PROPN	N;MASC;SG
acouguen	calma	acougar	calma	PROPN	N;FEM;SG
acouguen	calado	acougar	calar	PROPN	V;MASC;SG;V.PTCP
acouguen	quietos	acougar	quieto	PROPN	ADJ;MASC;PL
acouguen	silêncio	acougar	silêncio	PROPN	N;MASC;SG
toleaches	tu	toleache	tu	N	INTJ
toleaches	você	toleache	você	N	PRO;NOM;SG;3
toleaches	vc	toleache	vc	N	PRO;NOM;MASC;SG;3
toleaches	doida	toleache	doida	N	V;FEM;SG;V.PTCP
toleaches	doido	toleache	doido	N	V;MASC;SG;V.PTCP
toleaches	louco	toleache	louco	N	ADJ;MASC;SG
católico	católico	católico	católico	ADJ	N;MASC;SG
católico	católicas	católico	católico	ADJ	N;FEM;PL
católico	católicos	católico	católico	ADJ	N;MASC;PL
católico	catolicismo	católico	catolicismo	ADJ	N;MASC;SG
católico	católica	católico	católico	ADJ	N;FEM;SG
ficas	stay	fica	stay	V	N;MASC;SG
ficas	tu	fica	tu	V	INTJ
ficas	você	fica	você	V	PRO;NOM;SG;3
ficas	vc	fica	vc	V	PRO;NOM;MASC;SG;3
deixarnos	deixe	deixarno	deixar	N	V;SBJV;SG;3;PRS;FIN
deixarnos	sair	deixarno	sair	N	V;NFIN
deixarnos	deixar	deixarno	deixar	N	V;NFIN
brancas	brancos	branco	branco	ADJ	N;MASC;PL
brancas	branco	branco	branco	ADJ	N;MASC;SG
brancas	white	branco	white	ADJ	N;MASC;SG
brancas	brancas	branco	branco	ADJ	N;FEM;PL
brancas	branca	branco	branco	ADJ	N;FEM;SG
erguédevos	dias	erguédevo	dia	ADJ	N;MASC;PL
erguédevos	will	erguédevo	will	ADJ	N;MASC;SG
erguédevos	vontade	erguédevo	vontade	ADJ	N;FEM;SG
erguédevos	melhor	erguédevo	melhor	ADJ	ADV
erguédevos	apanha	erguédevo	apanhar	ADJ	V;IND;SG;3;PRS;FIN
erguédevos	obtenha	erguédevo	obter	ADJ	V;SBJV;SG;3;PRS;FIN
erguédevos	receba	erguédevo	receber	ADJ	V;SBJV;SG;3;PRS;FIN
erguédevos	obter	erguédevo	obter	ADJ	V;NFIN
mack	mack	mack	mack	PROPN	N;MASC;SG
carter	carter	carter	carter	PROPN	N;MASC;SG
carter	cárter	carter	cárter	PROPN	N;MASC;SG
creas	acredita	crea	acreditar	N	V;IND;SG;3;PRS;FIN
creas	acreditar	crea	acreditar	N	V;NFIN
creas	creia	crea	crear	N	V;SBJV;SG;3;PRS;FIN
creas	acredite	crea	acreditar	N	V;SBJV;SG;3;PRS;FIN
creas	tu	crea	tu	N	INTJ
creas	você	crea	você	N	PRO;NOM;SG;3
creas	vc	crea	vc	N	PRO;NOM;MASC;SG;3
berres	grite	berre	grite	N	V;SBJV;SG;3;PRS;FIN
berres	grita	berre	grita	N	V;IND;SG;3;PRS;FIN
berres	gritar	berre	gritar	N	V;NFIN
berres	don	berre	don	N	PROPN;MASC;SG
dezasete	dezassete	dezasete	dezassete	NUM	ADV
dezasete	seventeen	dezasete	seventeen	NUM	N;MASC;SG
dezasete	dezessete	dezasete	dezessete	NUM	V;IND;SG;3;IPFV;FIN
faite	tu	faite	tu	PROPN	INTJ
faite	você	faite	você	PROPN	PRO;NOM;SG;3
faite	vc	faite	vc	PROPN	PRO;NOM;MASC;SG;3
crees	tu	cree	tu	V	INTJ
crees	você	cree	você	V	PRO;NOM;SG;3
crees	vc	cree	vc	V	PRO;NOM;MASC;SG;3
césar	caesar	césar	caesar	V	N;MASC;SG
césar	cesar	césar	cesar	V	N;MASC;SG
césar	césar	césar	césar	V	N;MASC;SG
vulgar	vulgar	vulgar	vulgar	N	ADJ;MASC;SG
vulgar	vulgares	vulgar	vulgar	N	ADJ;MASC;PL
pasalo	divertida	pasalo	divertido	N	ADJ;FEM;SG
pasalo	divertido	pasalo	divertido	N	ADJ;MASC;SG
pasalo	tenha	pasalo	ter	N	V;SBJV;SG;3;PRS;FIN
pasalo	ter	pasalo	ter	N	V;NFIN
roger	rogério	roger	rogério	PROPN	N;MASC;SG
roger	roger	roger	roger	PROPN	N;MASC;SG
cago	diabos	cago	diabo	V	N;MASC;PL
cago	hell	cago	hell	V	N;MASC;SG
cago	inferno	cago	inferno	V	N;MASC;SG
cago	raios	cago	raio	V	N;MASC;PL
matarme	kill	matarme	kill	V	N;MASC;SG
matarme	mata	matarme	matar	V	N;FEM;SG
atacaron	eles	atacar	eles	V	PRO;NOM;MASC;PL;3
atacaron	elas	atacar	ele	V	PRO;NOM;FEM;PL;3
quixeches	tu	quixeche	tu	V	INTJ
quixeches	você	quixeche	você	V	PRO;NOM;SG;3
quixeches	vc	quixeche	vc	V	PRO;NOM;MASC;SG;3
irlandesa	irlandeses	irlandesa	irlandês	ADJ	N;MASC;PL
irlandesa	irish	irlandesa	irish	ADJ	N;MASC;SG
irlandesa	irlandesa	irlandesa	irlandesa	ADJ	N;FEM;SG
irlandesa	irlandês	irlandesa	irlandês	ADJ	N;MASC;SG
sicilia	sicilia	sicilia	sicilia	PROPN	N;MASC;SG
sicilia	sicília	sicilia	sicília	PROPN	N;FEM;SG
reich	reich	reich	reich	PROPN	N;MASC;SG
déronme	eles	déronme	eles	V	PRO;NOM;MASC;PL;3
déronme	elas	déronme	ele	V	PRO;NOM;FEM;PL;3
meniña	pequeno	meniña	pequeno	N	ADJ;MASC;SG
meniña	pouco	meniña	pouco	N	ADV
meniña	pequena	meniña	pequeno	N	ADJ;FEM;SG
católicos	católicos	católico	católico	ADJ	N;MASC;PL
católicos	católico	católico	católico	ADJ	N;MASC;SG
católicos	católicas	católico	católico	ADJ	N;FEM;PL
católicos	católicos	católico	católico	ADJ	N;MASC;PL
católicos	catolicismo	católico	catolicismo	ADJ	N;MASC;SG
católicos	católica	católico	católico	ADJ	N;FEM;SG
pasear	caminhada	pasear	caminhar	V	N;FEM;SG
pasear	passeio	pasear	passeio	V	N;MASC;SG
pasear	por	pasear	por	V	ADP
pasear	para	pasear	para	V	ADP
hmong	hmong	hmong	hmong	PROPN	N;MASC;SG
leland	leland	leland	leland	PROPN	N;MASC;SG
klaus	klaus	klaus	klaus	PROPN	N;MASC;SG
