категория	kategorien	категория	kategori	N;INDF;FEM;SG	N;DEF;MASC;SG
през	through	през	through	ADP	
като	som	като	som	CONJ	ADP
като	liker	като	like	CONJ	V;IND;PRS;FIN
като	like	като	lik	CONJ	ADJ;SG
година	året	година	år	N;INDF;FEM;SG	N;DEF;NEUT;SG
след	after	след	after	ADP	N;INDF;NEUT;SG
след	etterpå	след	etterpå	ADP	ADV
след	efter	след	efter	ADP	
това	this	този	this	PRO;NOM;NEUT;SG	
това	dette	този	dette	PRO;NOM;NEUT;SG	PRO;NEUT;SG;3
това	denne	този	denne	PRO;NOM;NEUT;SG	PRO;SG;3
това	detta	този	dette	PRO;NOM;NEUT;SG	PRO;NEUT;SG;3
български	bulgarsk	български	bulgarsk	ADJ;INDF;MASC;SG	N;INDF;MASC;SG
български	bulgarske	български	bulgarsk	ADJ;INDF;MASC;SG	ADJ;PL
българия	bulgaria	българия	bulgari	PROPN;INDF;FEM;SG	N;DEF;FEM;SG
част	del	част	dele	N;INDF;FEM;SG	V;IMP;FIN
години	ar	година	ar	N;INDF;FEM;PL	N;INDF;MASC;SG
години	årevis	година	årevis	N;INDF;FEM;PL	ADV
години	år	година	år	N;INDF;FEM;PL	N;INDF;NEUT;SG
със	with	със	with	ADP	N
която	hvilket	който	hvilk	PRO;NOM;FEM;SG	N;DEF;NEUT;SG
която	hvilken	който	hvilk	PRO;NOM;FEM;SG	N;DEF;MASC;SG
което	hvilket	който	hvilk	PRO;NOM;NEUT;SG	N;DEF;NEUT;SG
което	hvilken	който	hvilk	PRO;NOM;NEUT;SG	N;DEF;MASC;SG
външни	ekstern	външен	ekstern	ADJ;INDF;PL	ADJ;INDF;SG
външни	eksternt	външен	eksternt	ADJ;INDF;PL	ADJ;INDF;NEUT;SG
препратки	referanser	препратка	referanse	N;INDF;FEM;PL	N;INDF;NEUT;SG
препратки	refererer	препратка	referere	N;INDF;FEM;PL	V;IND;PRS;FIN
град	town	град	town	N;INDF;MASC;SG	PROPN
град	byen	град	by	N;INDF;MASC;SG	N;DEF;MASC;SG
град	byen	град	by	N;INDF;MASC;SG	N;DEF;MASC;SG
много	svært	много	svær	ADV;INDF;PL	ADJ;INDF;NEUT;SG
много	very	много	very	ADV;INDF;PL	
много	meget	много	meget	ADV;INDF;PL	N;DEF;NEUT;SG
много	veldig	много	veldig	ADV;INDF;PL	ADJ;INDF;NEUT;SG
много	mangt	много	mangt	ADV;INDF;PL	N;INDF;MASC;SG
много	many	много	many	ADV;INDF;PL	N
много	mangen	много	mang	ADV;INDF;PL	N;DEF;MASC;SG
много	mange	много	mange	ADV;INDF;PL	ADJ;PL
село	bygda	село	bygd	N;INDF;NEUT;SG	N;DEF;FEM;SG
един	one	един	one	NUM;INDF;MASC;SG	
един	en	един	en	NUM;INDF;MASC;SG	
един	ett	един	ett	NUM;INDF;MASC;SG	
един	én	един	én	NUM;INDF;MASC;SG	
около	around	около	around	ADP	N;INDF;MASC;SG
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	N;INDF;FEM;SG
софия	sophia	софия	sophi	PROPN;INDF;FEM;SG	N;INDF;FEM;SG
други	andre	друг	annan	ADJ;INDF;PL	DET;PL
други	annet	друг	annet	ADJ;INDF;PL	N;INDF;NEUT;SG
други	annen	друг	annen	ADJ;INDF;PL	N;INDF;MASC;SG
други	andre	друг	annan	ADJ;INDF;PL	DET;PL
още	forsatt	още	forsitje	ADV	N;INDF;MASC;SG
още	fremdeles	още	fremdeles	ADV	N;INDF;MASC;SG
още	fortsatt	още	fortsatt	ADV	ADJ;INDF;NEUT;SG
още	fleire	още	mange	ADV	ADJ;CMPR
още	fler	още	fler	ADV	N;INDF;NEUT;SG
още	flere	още	flere	ADV	
още	mer	още	mer	ADV	N;INDF;MASC;SG
още	meir	още	mykje	ADV	ADJ;CMPR
още	mere	още	mere	ADV	N;INDF;MASC;SG
война	krigen	война	krig	N;INDF;FEM;SG	N;DEF;MASC;SG
само	only	само	only	ADV	
само	kun	само	kun	ADV	N;INDF;NEUT;SG
само	just	само	just	ADV	N;INDF;MASC;SG
област	distriktet	област	distrikt	N;INDF;FEM;SG	N;DEF;NEUT;SG
област	området	област	område	N;INDF;FEM;SG	N;DEF;NEUT;SG
място	sted	място	stå	N;INDF;NEUT;SG	
място	beliggenhet	място	beliggenhet	N;INDF;NEUT;SG	N;DEF;MASC;SG
място	sted	място	stå	N;INDF;NEUT;SG	
когато	when	когато	when	ADV	
вид	skriv	вид	skrive	N;INDF;MASC;SG	V;IMP;FIN
вид	typen	вид	type	N;INDF;MASC;SG	N;DEF;MASC;SG
вид	arter	вид	arter	N;INDF;MASC;SG	N;INDF;FEM;PL
една	edna	един	edne	NUM;INDF;FEM;SG	N;INDF;MASC;SG
една	one	един	one	NUM;INDF;FEM;SG	
една	en	един	en	NUM;INDF;FEM;SG	
една	ett	един	ett	NUM;INDF;FEM;SG	
една	én	един	én	NUM;INDF;FEM;SG	
всички	alle	всеки	alle	PRO;NOM;PL	PRO;PL;3
всички	alt	всеки	alt	PRO;NOM;PL	PRO;NEUT;SG;3
всички	all	всеки	all	PRO;NOM;PL	DET;MASC;SG
всички	alle	всеки	alle	PRO;NOM;PL	PRO;PL;3
семейство	familien	семейство	familie	N;INDF;NEUT;SG	N;DEF;MASC;SG
започва	starts	започвам-(се)	starts	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF
македония	makedonia	македония	makedonie	PROPN;INDF;FEM;SG	N;DEF;FEM;SG
сащ	usa	сащ	usa	PROPN;INDF;MASC;PL	N
над	overstått	над	overstå	ADP	ADJ;INDF;SG;V.PTCP
над	bortom	над	bortom	ADP	N;INDF;MASC;SG
над	ovenfor	над	ovenfor	ADP	N;INDF;NEUT;SG
над	above	над	above	ADP	N
него	ham	аз	ham	PRO;ACC;MASC;SG;3	N;INDF;MASC;SG
него	him	аз	him	PRO;ACC;MASC;SG;3	N
срещу	versus	срещу	versus	ADP	N;INDF;NEUT;SG
срещу	kontra	срещу	kontre	ADP	N;INDF;NEUT;SG
тези	desse	този	desse	DET;PL	PRO;PL;3
тези	disse	този	disse	DET;PL	N;INDF;NEUT;SG
тези	de	този	de	DET;PL	PRO;HUM;NOM;PL;2
души	sjelene	души	sjele	N;INDF	N;DEF;FEM;PL
души	sjeler	души	sjele	N;INDF	N;INDF;FEM;PL
мини	gruvene	мина	gruv	N;INDF;FEM;PL	N;DEF;FEM;PL
мини	minnie	мина	minnie	N;INDF;FEM;PL	N;INDF;MASC;SG
република	republikken	република	republikk	N;INDF;FEM;SG	N;DEF;MASC;SG
късно	sen	късно	sen	ADV	N;INDF;MASC;SG
късно	seint	късно	sein	ADV	ADJ;INDF;NEUT;SG
късно	sein	късно	sein	ADV	N;INDF;MASC;SG
късно	sent	късно	senje	ADV	N;INDF;MASC;SG
май	mai	май	mai	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
май	may	май	may	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
път	ruta	път	rute	N;INDF;MASC;SG	N;DEF;FEM;SG
път	ruten	път	rut	N;INDF;MASC;SG	N;DEF;MASC;SG
път	veien	път	vie	N;INDF;MASC;SG	N;DEF;MASC;SG
отбор	laget	отбор	lag	N;INDF;MASC;SG	N;DEF;NEUT;SG
няколко	fåtall	няколко	fåtall	PRO;INDF	N;INDF;MASC;SG
роден	born	родя-(се)	barn	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;INDF;NEUT;PL
роден	født	родя-(се)	føde	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;INDF;SG;V.PTCP
беседа	samtalen	бесед	samtale	N;INDF;FEM;SG	N;DEF;MASC;SG
преди	before	преди	brfor	ADP	N;INDF;NEUT;SG
името	namn	име	namn	N;DEF;NEUT;SG	N;INDF;NEUT;SG
името	navn	име	navn	N;DEF;NEUT;SG	N;INDF;NEUT;SG
група	gruppen	група	grupp	N;INDF;FEM;SG	N;DEF;MASC;SG
език	tunge	език	tung	N;INDF;MASC;SG	ADJ;PL
език	tunga	език	tunge	N;INDF;MASC;SG	N;DEF;FEM;SG
някои	some	някой	some	PRO;NOM;PL	N
някои	noen	някой	noen	PRO;NOM;PL	
някои	enkelte	някой	enkelt	PRO;NOM;PL	ADJ;PL
тях	them	аз	them	PRO;ACC;PL;3	
тях	dem	аз	dem	PRO;ACC;PL;3	
река	elven	река	elven	N;INDF;FEM;SG	
две	two	два	Two	NUM;INDF;FEM;PL	
октомври	oct	октомври	oct	N;INDF;MASC;SG	NUM
име	navnet	име	navn	N;INDF;NEUT;SG	N;DEF;NEUT;SG
заедно	sammen	заедно	sam	ADV	
заедно	together	заедно	together	ADV	N;INDF;MASC;SG
фон	bakgrunnen	фон	bakgrunn	N;INDF;MASC;SG	N;DEF;MASC;SG
американски	amerikaner	американски	amerikan	ADJ;INDF;MASC;SG	N;INDF;MASC;PL
американски	amerikanske	американски	amerikansk	ADJ;INDF;MASC;SG	ADJ;PL
американски	american	американски	american	ADJ;INDF;MASC;SG	N
март	marsjere	март	marsjere	N;INDF;MASC;SG	V;NFIN
чрез	through	чрез	through	ADP	
жители	beboerne	жител	beboerne	N;INDF;MASC;PL	ADJ;PL
жители	beboere	жител	beboere	N;INDF;MASC;PL	N;INDF;MASC;SG
различни	annerledes	различен	annerledes	ADJ;INDF;PL	N;INDF;MASC;SG
различни	forskjellig	различен	forskjellig	ADJ;INDF;PL	ADJ;INDF;NEUT;SG
без	without	без	without	ADP	N;INDF;NEUT;SG
без	uten	без	uten	ADP	N;INDF;NEUT;SG
