die	на	die	на	DET;DEF	ADP
van	фамилия	van	фамилия		N;INDF;FEM;SG
van	фамилно	van	фамилен		ADV
van	от	van	от		ADP
wat	какво	wat	какъв	PRO	DET;NEUT;SG
wat	че	wat	че	PRO	CONJ
nie	не	nie	не	PART	INTJ;NEG
dit	това	dit	този	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
deur	врата	deur	врата	ADP	N;INDF;FEM;SG
deur	вратата	deur	врата	ADP	N;DEF;FEM;SG
tot	тил	tot	тил	ADP	N;INDF;MASC;SG
hulle	ги	hulle	аз	PRO;PL;3	PRO;ACC;PL;3
hulle	тях	hulle	аз	PRO;PL;3	PRO;ACC;PL;3
suid	южно	suid	южен		ADV
suid	южен	suid	южен		N;INDF;MASC;SG
suid	юг	suid	юг		N;INDF;MASC;SG
suid	южна	suid	южен		ADJ;INDF;FEM;SG
uit	вън	uit	вън	ADP	ADV
uit	навън	uit	навън	ADP	ADV
eerste	първо	eerste	първо	ADJ;NOM	ADV
kan	могат	kan	мога	V;PRS	V;IPFV;IND;PL;3;PRS;FIN;ACT
kan	can	kan	can	V;PRS	PROPN;INDF;MASC;SG
hierdie	това	hierdie	този	DET	PRO;NOM;NEUT;SG
ander	друго	ander	друг	PRO	ADV
ander	друг	ander	друг	PRO	ADJ;INDF;MASC;SG
ander	други	ander	друг	PRO	ADJ;INDF;PL
soos	like	soos	like	CONJ	PROPN;INDF;MASC;SG
afrika	африка	afrika	африка	PROPN;SG	N;INDF;FEM;SG
afrika	африканска	afrika	африкански	PROPN;SG	ADJ;INDF;FEM;SG
afrika	африкански	afrika	африкански	PROPN;SG	ADJ;INDF;MASC;SG
oor	уши	oor	ухо	ADP	N;INDF;MASC;PL
oor	ухо	oor	ухо	ADP	N;INDF;NEUT;SG
oor	ухото	oor	ухо	ADP	N;DEF;NEUT;SG
oor	оставащи	oor	оставам	ADP	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
oor	оставащите	oor	оставам	ADP	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
gebruik	използване	gebruik	използване	V;PRS	N;INDF;NEUT;SG
gebruik	употреба	gebruik	употреба	V;PRS	N;INDF;FEM;SG
gebruik	използване	gebruik	използване	V;PRS	N;INDF;NEUT;SG
gebruik	употреба	gebruik	употреба	V;PRS	N;INDF;FEM;SG
afrikaanse	африканска	afrikaans	африкански	N;PL	ADJ;INDF;FEM;SG
afrikaanse	африкански	afrikaans	африкански	N;PL	ADJ;INDF;MASC;SG
groot	страхотно	groot	страхотно	V;PRS	ADV
meer	езерото	baie	езеро	DET	N;DEF;NEUT;SG
meer	лейк	baie	лейк	DET	PROPN;INDF;MASC;SG
meer	езеро	baie	езеро	DET	N;INDF;NEUT;SG
meer	повече	baie	повече	DET	ADV;INDF;PL
meer	още	baie	още	DET	ADV
onder	долу	onder	долу	ADP	ADV
onder	отдолу	onder	отдолу	ADP	ADV
onder	дъното	onder	дъно	ADP	N;DEF;NEUT;SG
onder	отдолу	onder	отдолу	ADP	ADV
onder	дъно	onder	дъно	ADP	N;INDF;NEUT;SG
kerk	kerk	kerk	kerk		PROPN;INDF;FEM;SG
kerk	църква	kerk	църква		N;INDF;FEM;SG
kerk	чърч	kerk	чърч		PROPN;INDF;MASC;SG
kerk	църквата	kerk	църква		N;DEF;FEM;SG
duimnael	нокът	duimnael	нок	V;PRS	N;DEF;MASC;SG
baie	много	baie	много	DET	ADV;INDF;PL
baie	mnogo	baie	mnogo	DET	PROPN;INDF;NEUT;SG
baie	много	baie	много	DET	ADV;INDF;PL
begin	начало	begin	начало	V;PRS	N;INDF;NEUT;SG
begin	старт	begin	старт	V;PRS	N;INDF;MASC;SG
begin	стартиране	begin	стартиране	V;PRS	N;INDF;NEUT;SG
hul	тяхното	hul	наш	PRO;PL;3	DET;DEF;NEUT;SG;3
hul	тяхната	hul	наш	PRO;PL;3	DET;DEF;FEM;SG;3
hul	техните	hul	наш	PRO;PL;3	DET;DEF;PL;3
hul	техният	hul	наш	PRO;PL;3	DET;DEF;MASC;SG;3
lêer	леджър	lêer	леджър		N;INDF;MASC;SG
waar	къде	waar	къде	PRO	ADV
waar	истина	waar	истина	PRO	N;INDF;FEM;SG
waar	верни	waar	верен	PRO	ADJ;INDF;PL
waar	вярно	waar	верен	PRO	ADV
dié	това	dié	този	DET	PRO;NOM;NEUT;SG
eeu	век	eeu	век		N;INDF;MASC;SG
eeu	вековен	eeu	вековен		ADJ;INDF;MASC;SG
eeu	века	eeu	век		N;DEF;MASC;SG
