категория	kategorin	категория	kategori	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
като	gilla	като	gilla	CONJ	V;IMP;FIN;ACT
като	gillar	като	gilla	CONJ	V;IND;PRS;FIN;ACT
като	like	като	like	CONJ	V;IMP;FIN;ACT
година	året	година	år	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
след	efteråt	след	efteråt	ADP	ADV
след	after	след	after	ADP	N;NOM;INDF;MASC+FEM;SG
български	bulgariska	български	bulgarisk	ADJ;INDF;MASC;SG	ADJ;NOM;PL
българия	bulgarien	българия	bulgarien	PROPN;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
част	delen	част	del	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
години	years	година	years	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
години	åren	година	år	N;INDF;FEM;PL	N;NOM;DEF;NEUT;PL
години	år	година	år	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
време	tiden	време	tid	N;INDF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
която	vilka	който	vilken	PRO;NOM;FEM;SG	PRO;INDF;PL
която	vilken	който	vilken	PRO;NOM;FEM;SG	PRO;INDF;MASC+FEM;SG
която	som	който	som	PRO;NOM;FEM;SG	CONJ
което	vilka	който	vilken	PRO;NOM;NEUT;SG	PRO;INDF;PL
което	vilken	който	vilken	PRO;NOM;NEUT;SG	PRO;INDF;MASC+FEM;SG
което	som	който	som	PRO;NOM;NEUT;SG	CONJ
външни	extern	външен	exter	ADJ;INDF;PL	ADJ;NOM;INDF;MASC+FEM;SG
външни	externt	външен	extern	ADJ;INDF;PL	ADV
външни	yttre	външен	yttre	ADJ;INDF;PL	ADJ;NOM;CMPR
външни	externa	външен	ext	ADJ;INDF;PL	N;NOM;DEF;MASC+FEM;PL
град	staden	град	stad	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
град	staden	град	stad	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
град	orten	град	ort	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
много	många	много	mången	ADV;INDF;PL	PRO;INDF;PL
#виж	#se	ввиж	#se	PROPN;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
век	århundradet	век	århundrad	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
село	byn	село	byn	N;INDF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
един	one	един	one	NUM;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
около	omkring	около	omkring	ADP	ADV
около	runt	около	runt	ADP	ADV
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	PROPN;NOM
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	PROPN;NOM
софия	sophia	софия	sophia	PROPN;INDF;FEM;SG	PROPN;NOM
други	annan	друг	annan	ADJ;INDF;PL	ADJ;NOM;INDF;MASC+FEM;SG
