den	το	den	ο	PRO;DEF;MASC+FEM;SG	DET;NOM;DEF;NEUT;SG
med	med	med	med	ADP	
som	όπως	som	όπως	CONJ	ADV
som	οπως	som	οπως	CONJ	ADV
som	like	som	like	CONJ	
som	σαν	som	σαν	CONJ	ADV
som	που	som	που	CONJ	PRO;ACC;NEUT;SG;3
runt	στρογγυλό	runt	στρογγυλός	ADV	N;NOM;NEUT;SG
runt	γύρο	runt	γύρος	ADV	N;ACC;MASC;SG
runt	στρογγυλά	runt	στρογγυλά	ADV	N;NOM;NEUT;PL
runt	στρογγυλή	runt	στρογγυλή	ADV	ADJ;NOM;FEM;SG
runt	γύρος	runt	γύρος	ADV	N;NOM;MASC;SG
månaden	μηνιαίως	månad	μηνιαίως	N;NOM;DEF;MASC+FEM;SG	ADV
månaden	μηνιαία	månad	μηνιαία	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG
månaden	μηνιαίες	månad	μηνιαίος	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;FEM;PL
månaden	μήνα	månad	μήνας	N;NOM;DEF;MASC+FEM;SG	N;ACC;MASC;SG
nederbörd	βροχοπτώσεις	nederbörd	βροχοπτώση	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL
nederbörd	κατακρήμνιση	nederbörd	κατακρήμνιση	N;NOM;INDF;MASC+FEM;SG	N;ACC;FEM;SG
ligger	ψέματα	ligga	ψέμα	V;IND;PRS;FIN;ACT	N;NOM;NEUT;PL
ligger	ψέμματα	ligga	ψέμμα	V;IND;PRS;FIN;ACT	N;NOM;NEUT;PL
ligger	εντοπίστηκε	ligga	εντοπίζω	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
ingår	συμπεριλαμβάνεται	ingå	συμπεριλαμβάνω	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
ingår	περιλαμβάνονται	ingå	περιλαμβάνω	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
ingår	συμπεριλαμβάνονται	ingå	συμπεριλαμβάνω	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
ingår	περιλαμβάνεται	ingå	περιλαμβάνω	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
ingår	περιλαμβάνονται	ingå	περιλαμβάνω	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
att	αυτό	att	αυτός	PART	PRO;NOM;NEUT;SG;3
att	ότι	att	ότι	PART	CONJ
