loại	digita	loại	digitare	N	V;IMP;SG;2;PRS;FIN
một	una	một	uno	NUM	DET;INDF;FEM;SG
một	one	một	ona	NUM	N;SG
một	uno	một	uno	NUM	PRO;MASC;SG
năm	cinque	năm	cinque	N	NUM
các	te	các	te	DET	PRO;SG;2
các	tu	các	tu	DET	PRO;SG;2
các	voi	các	voi	DET	PRO;PL;2
này	this	này	this	PROPN	
này	questo	này	questo	PROPN	DET;MASC;SG
này	questa	này	questo	PROPN	DET;FEM;SG
vật	animale	vật	animale	N	ADJ;SG
thích	piaciuto	thích	piacere	V	ADJ;MASC;SG
thích	come	thích	come	V	ADV
thích	like	thích	like	V	
học	studio	học	studio	V	N;MASC;SG
học	scuola	học	scuola	V	N;FEM;SG
học	apprendimento	học	apprendimento	V	N;MASC;SG
học	le	học	il	V	DET;DEF;FEM;PL
thực	real	thực	real	V	N
thực	reali	thực	reale	V	ADJ;PL
thực	reale	thực	reale	V	ADJ;SG
thực	veri	thực	vero	V	ADJ;MASC;PL
thực	autentici	thực	autentico	V	ADJ;MASC;PL
thực	autentica	thực	autentico	V	ADJ;FEM;SG
thực	autentiche	thực	autentico	V	ADJ;FEM;PL
thực	autentico	thực	autentico	V	ADJ;MASC;SG
thực	veramente	thực	veramente	V	ADV
thực	davvero	thực	davvero	V	ADV
tham	articolazione	tham	articolazione	V	N;FEM;SG
đầu	primi	đầu	primo	N	ADJ;MASC;PL
đầu	primo	đầu	primo	N	ADJ;MASC;SG
đầu	prima	đầu	prima	N	ADV
ngoài	fuori	ngoài	fuori	N	ADV
ngoài	esterno	ngoài	esterno	N	ADJ;MASC;SG
ngoài	esterno	ngoài	esterno	N	ADJ;MASC;SG
thành	cheng	thành	cheng	V	N;MASC;SG
thành	cittadella	thành	cittadella	V	N;FEM;SG
khoa	scienze	khoa	scienza		N;FEM;PL
khoa	scienza	khoa	scienza		N;FEM;SG
khoa	facoltà	khoa	facoltà		N;FEM
khoa	docenti	khoa	docente		N;PL
cho	cho	cho	cho	V	N;MASC;SG
cho	per	cho	per	V	ADP
không	non	không	non	;NEG	ADV
hoa	uniti	hoa	unito	N	ADJ;MASC;PL
ngày	data	ngày	dare	N	V;FEM;SG;PST;V.PTCP
ngày	date	ngày	dare	N	V;IND;PL;2;PRS;FIN
dân	dân	dân	dino	N	ADJ;SG
những	questi	những	questo	DET	PRO;MASC;PL
những	quelli	những	quello	DET	PRO;MASC;PL
những	quelle	những	quello	DET	PRO;FEM;PL
những	loro	những	loro	DET	PRO;PL;3
nam	maschile	nam	maschile	N	ADJ;SG
nam	nam	nam	nam	N	
công	attaccare	công	attaccare	N	V;NFIN
công	pubblica	công	pubblico	N	ADJ;FEM;SG
công	pubblici	công	pubblico	N	ADJ;MASC;PL
công	pubblico	công	pubblico	N	ADJ;MASC;SG
chính	even	chính	eveno	PART	
chính	perfino	chính	perfino	PART	ADV
chính	persino	chính	persino	PART	ADV
chính	anche	chính	anche	PART	ADV
chính	propria	chính	proprio	PART	DET;FEM;SG
chính	primario	chính	primario	PART	ADJ;MASC;SG
chính	primarie	chính	primario	PART	N;FEM;PL
chính	primari	chính	primario	PART	ADJ;MASC;PL
chính	primaria	chính	primario	PART	ADJ;FEM;SG
chính	principali	chính	principale	PART	ADJ;PL
chính	main	chính	main	PART	
chính	principale	chính	principale	PART	ADJ;SG
động	dinamica	động	dinamica	V	ADJ;FEM;SG
động	dinamici	động	dinamico	V	ADJ;MASC;PL
động	dynamic	động	dynamic	V	N
động	dinamico	động	dinamico	V	ADJ;MASC;SG
động	dinamiche	động	dinamica	V	N;FEM;PL
động	automatici	động	automatico	V	N;MASC;PL
động	automatico	động	automatico	V	ADJ;MASC;SG
động	automatiche	động	automatico	V	ADJ;FEM;PL
động	automatica	động	automatico	V	ADJ;FEM;SG
động	automaticamente	động	automaticamente	V	ADV
khi	quando	khi	quando	N	ADV
khi	when	khi	when	N	
đến	arrivo	đến	arrivo	PART	N;MASC;SG
đến	arrivato	đến	arrivare	PART	V;MASC;SG;PST;V.PTCP
đến	arrivati	đến	arrivare	PART	V;MASC;PL;PST;V.PTCP
đến	arrivata	đến	arrivare	PART	V;FEM;SG;PST;V.PTCP
đến	vieni	đến	venire	PART	V;IND;SG;2;PRS;FIN
đến	venite	đến	venita	PART	V;IND;PL;2;PRS;FIN
đến	arrivo	đến	arrivo	PART	N;MASC;SG
đến	coming	đến	coming	PART	N
theo	theo	theo	theo	V	N;MASC;SG
theo	follow	theo	follow	V	N
theo	dopo	theo	dopo	V	ADV
theo	after	theo	after	V	
tỉnh	sobria	tỉnh	sobria	N	ADJ;FEM;SG
tỉnh	sobrio	tỉnh	sobrio	N	ADJ;MASC;SG
tỉnh	sobri	tỉnh	sobro	N	ADJ;MASC;PL
tỉnh	svegli	tỉnh	sveglio	N	V;IND;SG;3;PRS;FIN
tỉnh	svegliatevi	tỉnh	svegliateva	N	V;PL;PST;V.PTCP
tỉnh	sveglio	tỉnh	sveglio	N	ADJ;MASC;SG
sau	dopo	sau	dopo	N	ADV
sau	after	sau	after	N	
sau	dopo	sau	dopo	N	ADV
