پِگھلانا	topi	پِگھلانا	topiti	V;MASC;SG;NFIN;ACT	N;NOM;MASC;SG
پِگھلنا	stopil	پِگھلنا	stopiti	PROPN;NOM;MASC;SG;3	V;PFV;MASC;SG;V.PTCP
پِگھلنا	stopi	پِگھلنا	stopiti	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
پِگھلنا	topi	پِگھلنا	topiti	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پِگھلنا	donos	پِگھلنا	donos	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پِگھلنا	izkupiček	پِگھلنا	izkupiček	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پِگھلنا	pridelek	پِگھلنا	pridelek	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پُل	most	پُل	most	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پُل	bridge	پُل	bridg	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پلّا	čepa	پلّا	čep	PROPN;NOM;MASC;SG;3	
پلّا	zajemalko	پلّا	zajemalko	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
پلّا	tarča	پلّا	tarča	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پلّا	ciljna	پلّا	ciljen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
پلّا	škarje	پلّا	škarja	PROPN;NOM;MASC;SG;3	N;ACC;MASC;PL
پلّا	oddaljenost	پلّا	oddaljenost	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پلّا	razdalja	پلّا	razdaljati	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پِلّا	psička	پِلِ	psiček	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پِلّا	kuža	پِلِ	kuža	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پِلّا	kužek	پِلِ	kužek	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پِلّا	mladič	پِلِ	mladič	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پلاتک	begunec	پلاتک	begunec	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پلاتک	begunca	پلاتک	begunec	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پلاتک	ubežnik	پلاتک	ubežnik	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پلاتک	ubežnika	پلاتک	ubežnik	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پلاتک	pobegli	پلاتک	pobeči	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;PL;V.PTCP
پلاس	platna	پلاس	platno	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
پلاس	platno	پلاس	platno	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
پِلاس	klešče	پِلاس	klešča	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
پِلپِل	poper	پِلپِل	poper	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پِلپِلا	mehko	پِلپِلا	mehek	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
پِلپِلا	mehka	پِلپِلا	mehek	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
پِلپِلا	mehke	پِلپِلا	mehek	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
پِلپِلا	mehak	پِلپِلا	mehek	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
پُلپُلاہٹ	strah	پُلپُلاہٹ	strah	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پلٹا	maščevanje	پلٹا	maščevanje	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;NEUT;SG
پلٹا	revolucijo	پلٹا	revolucija	V;PFV;MASC;SG;V.PTCP;ACT	N;ACC;FEM;SG
پلٹا	revolucije	پلٹا	revolucija	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;FEM;PL
پلٹا	revolucija	پلٹا	revolucija	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;FEM;SG
پلٹانا	povratek	پلٹانا	povratek	V;MASC;SG;NFIN;ACT	N;NOM;MASC;SG
پلٹانا	vrnitev	پلٹانا	vrnitev	V;MASC;SG;NFIN;ACT	N;NOM;FEM;SG
پلٹائو	protislovje	پلٹائو	protislovje	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
پلٹائو	nasprotju	پلٹائو	nasprotje	PROPN;NOM;MASC;SG;3	N;DAT;NEUT;SG
پلٹائو	reakcijo	پلٹائو	reakcija	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
پلٹائو	reakcija	پلٹائو	reakcija	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پلٹائو	odziv	پلٹائو	odziv	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پلٹن	vod	پلٹن	voda		N;NOM;MASC;SG
پلٹن	množice	پلٹن	množica		N;NOM;FEM;PL
پلٹن	množica	پلٹن	množica		N;NOM;FEM;SG
پلٹن	mafija	پلٹن	mafija		N;NOM;FEM;SG
پلٹن	drhal	پلٹن	drhati		N;NOM;NEUT;SG
پلٹنا	povratek	پلٹ	povratek	V;MASC;SG;NFIN;ACT	N;NOM;MASC;SG
پلٹنا	vrnitev	پلٹ	vrnitev	V;MASC;SG;NFIN;ACT	N;NOM;FEM;SG
پلٹنا	umik	پلٹ	umik	V;MASC;SG;NFIN;ACT	N;NOM;MASC;SG
پلشت	onesnažena	پلشت	onesnažen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
پلشت	nečiste	پلشت	nečist	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
پلشتی	onesnaževanje	پلشتی	onesnaževanje	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
پلشتی	onesnaženje	پلشتی	onesnaženje	PROPN;NOM;MASC;SG;3	N;NOM;NEUT;SG
پلشتی	nečistoče	پلشتی	nečistoč	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
پلک	takojšnja	پلک	takojšnji	V;SG;ACT	ADJ;NOM;FEM;SG
پلک	moment	پلک	moment	V;SG;ACT	N;NOM;MASC;SG
پلک	trenutek	پلک	trenutek	V;SG;ACT	N;NOM;MASC;SG
پلنا	zibelka	پل	zibelka	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پلنا	zibelko	پل	zibelka	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
پلنا	uspevajo	پل	uspevati	PROPN;NOM;MASC;SG;3	V;IPFV;IND;PL;3;PRS;FIN
پِلنا	vihar	پِل	vihar	V;MASC;SG;NFIN;ACT	N;NOM;MASC;SG
