для	for	для	for	ADP	
как	πώς	как	πώς	CONJ	ADV
как	όπως	как	όπως	CONJ	ADV
как	οπως	как	οπως	CONJ	ADV
как	like	как	like	CONJ	
как	σαν	как	σαν	CONJ	ADV
был	ήταν	быть	είμαι	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
это	ότι	это	ότι	PRO;INAN;NOM;NEUT;SG	CONJ
это	that	это	that	PRO;INAN;NOM;NEUT;SG	
после	μετα	после	μετα	ADP	ADV
после	μετά	после	μετά	ADP	ADV
год	έτος	год	έτος	N;INAN;NOM;MASC;SG	N;ACC;NEUT;SG
год	χρονιά	год	χρονιά	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
было	ήταν	быть	είμαι	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
время	χρονος	время	χρονος	N;INAN;NOM;NEUT;SG	DET;NOM;DEF;MASC;SG
время	ώρα	время	ώρα	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
время	φορά	время	φορά	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
время	ωρα	время	ωρα	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
время	χρόνο	время	χρόνος	N;INAN;NOM;NEUT;SG	N;ACC;MASC;SG
состав	σύνθεση	состав	σύνθεση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
была	ήταν	быть	είμαι	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
место	spot	место	spot	N;INAN;NOM;NEUT;SG	
район	έκταση	район	έκταση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
вид	ειδη	вид	ειδη	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL
вид	είδη	вид	είδος	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL
вид	view	вид	view	N;INAN;NOM;MASC;SG	
только	μόνον	только	μόνο	PART	ADV
только	μόνο	только	μόνο	PART	ADV
только	μονο	только	μονο	PART	ADV
только	απλα	только	απλά	PART	ADV
только	απλά	только	απλά	PART	ADV
только	απλώς	только	απλά	PART	ADV
язык	γλωσσα	язык	γλωσσα	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
ссср	εσσδ	ссср	εσσδ	PROPN;INAN;NOM;MASC;SG	N
районе	γειτονιά	район	γειτονιά	N;INAN;ESS;MASC;SG	N;NOM;FEM;SG
код	κωδικός	код	κωδικός	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
