especializada	špecializovaných	especializado	špecializovaný	ADJ;FEM;SG;V.PTCP	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
palestina	palestíny	palestino	palestína	ADJ;FEM;SG	N;NOM;FEM;PL
palestina	palestíne	palestino	palestína	ADJ;FEM;SG	N;DAT;FEM;SG
palestina	palestínskych	palestino	palestínsky	ADJ;FEM;SG	ADJ;GEN;MASC;PL
ampliar	zväčšenie	ampliar	zväčšenie	V;NFIN	N;NOM;NEUT;SG
ampliar	priblíženie	ampliar	priblíženie	V;NFIN	N;NOM;NEUT;SG
ampliar	zoom	ampliar	zoj	V;NFIN	N;INAN;NOM;MASC;SG
ampliar	rozšírenie	ampliar	rozšírenie	V;NFIN	N;NOM;NEUT;SG
estatuto	stanovy	estatuto	stanova	N;MASC;SG	N;NOM;FEM;PL
estatuto	stanov	estatuto	stať	N;MASC;SG	N;GEN;FEM;PL
dream	snívať	dream	snívať	N	V;IPFV;POS;NFIN
dream	dream	dream	dream	N	PROPN;ANIM;NOM;MASC;SG
liderazgo	vedenia	liderazgo	vedenie	N;MASC;SG	N;NOM;NEUT;PL
mostrando	zobrazovanie	mostrar	zobrazovanie	V;V.MSDR	N;NOM;NEUT;SG
space	space	spacer	space	N	PROPN;ANIM;NOM;MASC;SG
célula	cely	célula	cela	N;FEM;SG	N;NOM;FEM;PL
célula	bunky	célula	bunka	N;FEM;SG	N;NOM;FEM;PL
célula	cele	célula	cela	N;FEM;SG	N;NOM;FEM;PL
adquirir	nákupu	adquirir	nákup	V;NFIN	N;INAN;GEN;MASC;SG
adquirir	nákup	adquirir	nákup	V;NFIN	N;INAN;NOM;MASC;SG
adquirir	kúpa	adquirir	kúp	V;NFIN	N;NOM;FEM;SG
adquirir	získanie	adquirir	získanie	V;NFIN	N;NOM;NEUT;SG
linda	linda	linda	lindo	ADJ;FEM;SG	N;NOM;FEM;SG
linda	zlatí	linda	zlatiť	ADJ;FEM;SG	ADJ;ANIM;NOM;MASC;PL
linda	pekny	linda	pekny	ADJ;FEM;SG	N;ANIM;NOM;MASC;SG
linda	pekne	linda	pekne	ADJ;FEM;SG	ADV
