den	на	den	на	PRO;DEF;MASC+FEM;SG	ADP;ACC
med	мед	med	мед.	ADP	N;INAN;NOM;MASC;SG
som	подобається	som	подобатися	CONJ	V;IPFV;IND;SG;3;PRS;FIN
som	зразок	som	зразок	CONJ	N;INAN;NOM;MASC;SG
som	like	som	like	CONJ	
som	какой	som	какой	CONJ	
som	який	som	який	CONJ	DET;NOM;MASC;SG
som	які	som	який	CONJ	DET;NOM;PL
som	яке	som	який	CONJ	DET;NOM;NEUT;SG
som	яка	som	який	CONJ	DET;NOM;FEM;SG
runt	around	runt	around	ADV	
runt	навколо	runt	навколо	ADV	
runt	кругла	runt	кругти	ADV	N;INAN;NOM;FEM;SG
runt	круглий	runt	круглий	ADV	ADJ;NOM;MASC;SG
runt	round	runt	round	ADV	
runt	раунд	runt	раунд	ADV	N;INAN;NOM;MASC;SG
månaden	щомісяця	månad	щомісяць	N;NOM;DEF;MASC+FEM;SG	ADV
månaden	місячного	månad	місячний	N;NOM;DEF;MASC+FEM;SG	ADJ;GEN;MASC;SG
månaden	місячний	månad	місячний	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
månaden	місяця	månad	місяць	N;NOM;DEF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
nederbörd	опадами	nederbörd	опада	N;NOM;INDF;MASC+FEM;SG	N;INAN;INS;MASC;PL
nederbörd	опадів	nederbörd	опад	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;PL
ligger	брехня	ligga	брехня	V;IND;PRS;FIN;ACT	N;INAN;NOM;FEM;SG
ligger	брехні	ligga	брехня	V;IND;PRS;FIN;ACT	N;INAN;ACC;FEM;PL
ligger	розташовані	ligga	розташований	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;PL;V.PTCP;PASS
ligger	розташований	ligga	розташований	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
ingår	включені	ingå	включений	V;IND;PRS;FIN;ACT	ADJ;PFV;NOM;PL;V.PTCP;PASS
ingår	включення	ingå	включення	V;IND;PRS;FIN;ACT	N;INAN;NOM;NEUT;SG
att	той	att	той	PART	DET;NOM;MASC;SG
ett	one	en	one	NUM;NOM;INDF;NEUT;SG	
ett	одне	en	один	NUM;NOM;INDF;NEUT;SG	DET;NOM;NEUT;SG
över	закінчилося	över	закінчитися	ADP	V;PFV;NEUT;IND;SG;PST;FIN
över	закінчено	över	закінчити	ADP	V;PFV;IND;0;FIN
över	закінчилась	över	закінчитися	ADP	V;PFV;FEM;IND;SG;PST;FIN
familjen	сімейний	familj	сімейний	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
familjen	сімейні	familj	сімейний	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;PL
inga	жодного	ingen	жодний	PRO;INDF;PL	DET;GEN;MASC;SG
inga	відсутнє	ingen	відсутній	PRO;INDF;PL	ADJ;NOM;NEUT;SG
inga	немає	ingen	немати	PRO;INDF;PL	V;IPFV;IND;SG;3;NEG;PRS;FIN
inga	жодних	ingen	жодний	PRO;INDF;PL	DET;GEN;PL
inga	відсутній	ingen	відсутній	PRO;INDF;PL	ADJ;NOM;MASC;SG
underarter	підвид	underart	підвид	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
life	лайф	life	Лайф	N;NOM;INDF;MASC+FEM;SG	
listade	зазначив	lisa	зазначити	ADJ;NOM;PL;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
listade	зазначає	lisa	зазначати	ADJ;NOM;PL;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
landet	країни	land	країна	N;NOM;DEF;NEUT;SG	N;INAN;NOM;FEM;PL
landet	кантрі	land	кантрі	N;NOM;DEF;NEUT;SG	N;INAN;NOM;FEM;PL
meter	метр	meter	метр	N;NOM;INDF;MASC+FEM;PL	
meter	метрів	meter	метр	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
meter	метрах	meter	метр	N;NOM;INDF;MASC+FEM;PL	N;INAN;ESS;MASC;PL
meter	метрів	meter	метр	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
meter	метр	meter	метр	N;NOM;INDF;MASC+FEM;PL	
meter	ярдів	meter	ярд	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
varmaste	передаємо	varm	передавати	ADJ;NOM;DEF;RL	V;IPFV;IND;PL;1;PRS;FIN
kallaste	найхолодніший	kalla	найхолодніший	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
invånare	мешканців	invånare	мешканець	N;NOM;INDF;MASC+FEM;PL	N;ANIM;ACC;MASC;PL
invånare	громадян	invånare	громадянин	N;NOM;INDF;MASC+FEM;PL	N;ANIM;ACC;MASC;PL
invånare	громадянам	invånare	громадянин	N;NOM;INDF;MASC+FEM;PL	N;ANIM;DAT;MASC;PL
januari	січні	januari	січень	N;NOM;INDF;MASC+FEM;SG	ADV
januari	січня	januari	січень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
millimeter	міліметр	millimet	міліметр	N;NOM;INDF;MASC+FEM;PL	
millimeter	міліметрах	millimet	міліметр	N;NOM;INDF;MASC+FEM;PL	N;INAN;DAT;MASC;PL
millimeter	міліметр	millimet	міліметр	N;NOM;INDF;MASC+FEM;PL	
millimeter	міліметрах	millimet	міліметр	N;NOM;INDF;MASC+FEM;PL	N;INAN;DAT;MASC;PL
genomsnitt	середній	genomsnitt	середній	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
genomsnitt	середнє	genomsnitt	середній	N;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
genomsnitt	середня	genomsnitt	середній	N;NOM;INDF;NEUT;SG	ADJ;NOM;FEM;SG
genomsnitt	середнього	genomsnitt	середній	N;NOM;INDF;NEUT;SG	ADJ;GEN;MASC;SG
genomsnittlig	середнього	genomsnittlig	середній	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;GEN;MASC;SG
var	вар	var	вар	PRO;INDF;MASC+FEM;SG	
var	був	var	бути	PRO;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;PST;FIN
var	була	var	бути	PRO;INDF;MASC+FEM;SG	V;IPFV;FEM;IND;SG;PST;FIN
var	було	var	бути	PRO;INDF;MASC+FEM;SG	V;IPFV;NEUT;IND;SG;PST;FIN
var	були	var	бути	PRO;INDF;MASC+FEM;SG	V;IPFV;IND;PL;PST;FIN
var	звідки	var	звідки	PRO;INDF;MASC+FEM;SG	ADV
var	де	var	де	PRO;INDF;MASC+FEM;SG	ADV
var	where	var	where	PRO;INDF;MASC+FEM;SG	
var	куди	var	куди	PRO;INDF;MASC+FEM;SG	ADV
juli	липні	juli	липень	N;NOM;INDF;MASC+FEM;SG	ADV
juli	липня	juli	липень	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	
han	хан	han	хан	PRO;NOM;DEF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
han	хана	han	хана	PRO;NOM;DEF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
har	have	ha	have	V;IND;PRS;FIN;ACT	
