diana	diana	dian	dian		N;INDF;FEM;SG
barok	barokk	barok	barokk		N;INDF;MASC;SG
ud	lutt	ud	lutt		N;INDF;MASC;SG
gnu	gnu	gn	gnu		N;INDF;NEUT;SG
wien	wien	wien	wien	PROPN;NOM;SG;3	N
pete	pete	pete	pete		N;INDF;MASC;SG
tanıtımı	promoterer	tanıtım	promotere	N;NOM;SG;3	V;IND;PRS;FIN
tanıtımı	promotere	tanıtım	promotere	N;NOM;SG;3	V;NFIN
tanıtımı	promoterte	tanıtım	promotere	N;NOM;SG;3	ADJ;PL;V.PTCP
tanıtımı	promotert	tanıtım	promotere	N;NOM;SG;3	ADJ;INDF;SG;V.PTCP
tanıtımı	fremme	tanıtım	fremme	N;NOM;SG;3	V;NFIN
tanıtımı	promoterer	tanıtım	promotere	N;NOM;SG;3	V;IND;PRS;FIN
tanıtımı	promotere	tanıtım	promotere	N;NOM;SG;3	V;NFIN
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG;3	PROPN
lille	lille	lille	lilje	PROPN;NOM;SG;3	N;INDF;MASC;SG
sevda	elsk	sevda	elsk		N;INDF;MASC;SG
sevda	love	sevda	love		N;INDF;FEM;SG
sevda	kjærligheten	sevda	kjærlighet		N;DEF;MASC;SG
sevda	elsker	sevda	elsker		N;INDF;FEM;PL
sevda	kjærlighet	sevda	kjærlighet		N;INDF;FEM;SG
tören	seremoni	tör	seremoni		N;INDF;MASC;SG
tören	rituell	tör	rituell		ADJ;INDF;SG
tören	ritual	tör	ritual		N;INDF;NEUT;SG
tören	rituale	tör	rituale		ADJ;PL
bayat	corny	bayat	corny		N;INDF;MASC;SG
bayat	banalt	bayat	banal		ADJ;INDF;NEUT;SG
memphis	memphis	memphis	memphis	PROPN;NOM;SG;3	N;INDF;MASC;SG
cadı	heks	cadı	heks		ADJ;INDF;SG
cadı	witch	cadı	witch		N
patlayıcı	eksplosiv	patlayıcı	eksplosiv		N;INDF;NEUT;SG
patlayıcı	sprengstoff	patlayıcı	sprengstoff		N;INDF;NEUT;SG
patlayıcı	sprengstoff	patlayıcı	sprengstoff		N;INDF;NEUT;SG
patlayıcı	eksplosiver	patlayıcı	eksplosiver		N;INDF;FEM;SG
ufuk	skyline	ufuk	skyline		N;INDF;FEM;SG
ufuk	horisont	ufuk	horisont		N;INDF;MASC;SG
ufuk	horizon	ufuk	horizon		N;INDF;MASC;SG
ufuk	horisonten	ufuk	horisont		N;DEF;MASC;SG
división	división	divi	división		N;INDF;MASC;SG
kader	skjebnen	kader	skjebn		N;DEF;MASC;SG
kader	skjebne	kader	skjebe		N;INDF;FEM;SG
kader	destiny	kader	destiny		N
kader	skjebnen	kader	skjebn		N;DEF;MASC;SG
kader	skjebne	kader	skjebe		N;INDF;FEM;SG
werner	werner	werner	werner	PROPN;NOM;SG;3	PROPN
nihai	ypperste	nihai	ypperrje		N;INDF;MASC;SG
nihai	ultimate	nihai	ultimat		ADJ;PL
erich	erich	erich	erich		N
nem	nem	nem	nem		N;INDF
nem	fuktighet	nem	fuktighet		N;INDF;MASC;SG
nem	luftfuktighet	nem	luftfuktighet		N;INDF;NEUT;SG
nem	fuktighet	nem	fuktighet		N;INDF;MASC;SG
çılgın	sinnssyke	çılgın	sinnssyke		N;INDF;NEUT;SG
çılgın	wild	çılgın	wild		N;INDF;MASC;SG
çılgın	vill	çılgın	vill		ADJ;INDF;SG
çılgın	vilt	çılgın	vilt		N;INDF;NEUT;SG
çılgın	sprøtt	çılgın	sprøte		ADJ;INDF;NEUT;SG;V.PTCP
çılgın	sprø	çılgın	sprø		ADJ;INDF;SG
çılgın	gale	çılgın	galen		ADJ;INDF;NEUT;SG
çılgın	sint	çılgın	sint		ADJ;INDF;SG
çılgın	mad	çılgın	mad		N;INDF;MASC;SG
üstünlük	overlegne	üstünlük	overlegen	N;NOM;SG;3	ADJ;PL
radar	sonar	radar	son		N;INDF;MASC;PL
radar	radar	radar	rade		N;INDF;MASC;SG
porno	porno	porno	porno		N;INDF;MASC;SG
porno	pornofilm	porno	pornofilm		N;INDF;MASC;SG
porno	pornofilmer	porno	pornofilm		N;INDF;MASC;PL
porno	porno	porno	porno		N;INDF;MASC;SG
pol	pol	pol	pol		N;INDF;NEUT;SG
hayati	vitale	hayati	vitale		ADJ;PL
hayati	livsviktig	hayati	livsviktig		ADJ;INDF;NEUT;SG
hayati	vital	hayati	vital		N;INDF;MASC;SG
madison	madison	madison	madison	PROPN;NOM;SG;3	N;INDF;MASC;SG
tang	tang	tang	tang		N;INDF;NEUT;SG
kürtler	kurdere	kürt	kurdere	N;NOM;PL;3	N;INDF;FEM;SG
belgeler	dokumentasjon	belge	dokumentasjon	N;NOM;PL;3	N;INDF;MASC;SG
belgeler	dokumentasjonen	belge	dokumentasjon	N;NOM;PL;3	N;DEF;MASC;SG
değişmez	uforanderlig	değişmez	uforanderlig		ADJ;INDF;NEUT;SG
roland	roland	roland	roland		N;INDF;MASC;SG
uçar	fluer	uç	flu		N;INDF;FEM;PL
adın	namn	ad	namn		N;INDF;NEUT;SG
adın	navnet	ad	navn		N;DEF;NEUT;SG
adın	navn	ad	navn		N;INDF;NEUT;SG
kobe	kobe	kobe	kobe	PROPN;NOM;SG;3	N;INDF;NEUT;SG
wanderers	wanderers	wanderers	wanderer	PROPN;NOM;SG;3	N;INDF;MASC;SG
wanderers	vandrerne	wanderers	vandrerne	PROPN;NOM;SG;3	N;INDF;FEM;SG
garcía	garcía	garc	garcpe	PROPN;NOM;SG;3	N;DEF;FEM;SG
taktik	taktikk	taktik	taktikk		N;INDF;MASC;SG
taktik	taktikk	taktik	taktikk		N;INDF;MASC;SG
taktik	taktiske	taktik	taktisk		ADJ;PL
taktik	taktisk	taktik	taktisk		ADJ;INDF;NEUT;SG
talat	talat	talat	talat		N;INDF;MASC;SG
siteleri	nettsteder	site	nettstede	N;ACC;PL;3	N;INDF;MASC;SG
siteleri	nettsteder	site	nettstede	N;ACC;PL;3	N;INDF;MASC;SG
noktalar	poeng	nokta	poeng	N;NOM;PL;3	N;INDF;NEUT;SG
yuva	hjemme	yuva	hjemme		
yuva	heime	yuva	heime		ADP
yuva	hjem	yuva	hjem		N;INDF;NEUT;SG
yuva	hjemmet	yuva	hjem		N;DEF;NEUT;SG
yuva	home	yuva	home		N;INDF;NEUT;SG
yuva	reir	yuva	reir		N;INDF;NEUT;SG
yuva	rede	yuva	rede		N;INDF;MASC;SG
uzayı	rom	uza	rom		N;INDF;NEUT;SG
uzayı	space	uza	space		N
uzayı	verdensrommet	uza	verdensrom		N;DEF;NEUT;SG
uzayı	plass	uza	plass		N;INDF;MASC;SG
por	por	por	por		N
montana	montana	monta	montan		N;DEF;MASC;SG
orda	der	ora	der	N;ESS;SG;3	ADV
nesli	generasjon	nesli	generasjon		N;INDF;MASC;SG
koltuk	sete	koltuk	sitje	N;NOM;SG;3	ADJ;INDF;NEUT;SG;V.PTCP
yara	arr	yara	arr		N;INDF;NEUT;SG
yara	skade	yara	skade		N;INDF;MASC;SG
yara	sår	yara	sår		N;INDF;MASC;SG
yara	sår	yara	sår		N;INDF;MASC;SG
yara	arr	yara	arr		N;INDF;NEUT;SG
kayak	skiene	kayak	ski	N;NOM;SG;3	N;DEF;FEM;PL
kayak	grener	kayak	gren	N;NOM;SG;3	N;INDF;FEM;PL
icd	icd	icd	icd		N
alabama	alabama	alaba	alabama	PROPN;NOM;SG;3	PROPN
çevreleyen	omgir	çevrele	omgi	V;PFV;IND;POS;PRS;V.PTCP	N;INDF;MASC;SG
cole	cole	cole	cole		N;INDF;MASC;SG
bombası	granat	bomba	granat		N;INDF;MASC;SG
montreal	montreal	montreal	montreal	PROPN;NOM;SG;3	N;INDF;NEUT;SG
masters	masters	masters	masters		N;INDF;NEUT;SG
fikirleri	idéer	fikir	idé	N;NOM;PL;3	N;INDF;NEUT;SG
politikalar	politikk	politika	politikk	N;NOM;PL;3	N;INDF;MASC;SG
engeller	hekk	engel	hekk		N;INDF;MASC;SG
engeller	blokkeringer	engel	blokkeringe		N;INDF;FEM;PL
engeller	kvartaler	engel	kvartale		N;INDF;MASC;PL
engeller	hindringer	engel	hindring		N;INDF;FEM;PL
engeller	barrierer	engel	barriere		V;IND;PRS;FIN
lorenzo	lorenzo	lorenzo	lorenzo	PROPN;NOM;SG;3	N;DEF;MASC;SG
çarpışma	sammenstøt	çarpış	sammenstøt	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
çarpışma	innvirkning	çarpış	innvirkning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
çarpışma	nedslag	çarpış	nedslag	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;NEUT;SG
çarpışma	clash	çarpış	clash	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çarpışma	kollisjon	çarpış	kollisjon	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
yıkıldı	knust	yıkıl	knuse	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;NEUT;SG;V.PTCP
yıkıldı	ødela	yıkıl	ødele	V;PFV;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
yıkıldı	revet	yıkıl	rev	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC;SG
atmosfer	atmosfærer	atmosfer	atmosfære		N;INDF;FEM;PL
atmosfer	atmosfære	atmosfer	atmosfære		N;INDF;MASC;SG
atmosfer	stemning	atmosfer	stemning		N;INDF;FEM;SG
atmosfer	atmosfæren	atmosfer	atmosfære		N;DEF;MASC;SG
walt	walt	walt	walt		N;INDF;MASC;SG
primera	primera	primer	primere	PROPN;NOM;SG;3	ADJ;INDF;SG;V.PTCP
grace	ynde	grace	ynde		N;INDF;MASC;SG
grace	nåden	grace	nåde		N;INDF;MASC;SG
grace	nåde	grace	nåde		N;INDF;MASC;SG
grace	grace	grace	grace		N;INDF;MASC;SG
haberleşme	kommunikasjon	haberleş	kommunikasjon		N;INDF;MASC;SG
haberleşme	telekommunikasjon	haberleş	telekommunikasjon		N;INDF;MASC;SG
haberleşme	kommunikasjon	haberleş	kommunikasjon		N;INDF;MASC;SG
cena	cena	cena	cene		N;INDF;SG
vandal	vandal	vandal	vandal		N;INDF;MASC;SG
sportif	sporty	sportif	sporty		N;INDF;MASC;SG
jung	jung	jung	jung		N;INDF;MASC;SG
sihirli	magi	sihirli	magi		N;INDF;MASC;SG
sihirli	magic	sihirli	magic		N
sihirli	trylling	sihirli	trylling		N;INDF;FEM;SG
sihirli	magisk	sihirli	magisk		ADJ;INDF;NEUT;SG
sihirli	trolldom	sihirli	trolldom		N;INDF;MASC;SG
sihirli	magisk	sihirli	magisk		ADJ;INDF;NEUT;SG
savundu	forfektet	savun	forfekt	V;PFV;IND;SG;3;POS;PST	N;DEF;NEUT;SG
savundu	forsvart	savun	forsvare	V;PFV;IND;SG;3;POS;PST	ADJ;INDF;NEUT;SG;V.PTCP
korsan	hacker	kors	hacke	V;PFV;SG;2;POS;PRS	N;INDF;MASC;SG
korsan	sjørøver	kors	sjørøver	V;PFV;SG;2;POS;PRS	N;INDF;NEUT;SG
korsan	pirat	kors	pirat	V;PFV;SG;2;POS;PRS	N;INDF;MASC;SG
korsan	sjørøvere	kors	sjørøvere	V;PFV;SG;2;POS;PRS	N;INDF;NEUT;SG
korsan	pirater	kors	pirater	V;PFV;SG;2;POS;PRS	N;INDF;MASC;SG
korsan	pirates	kors	pirates	V;PFV;SG;2;POS;PRS	N;INDF;MASC;SG
church	kirka	church	kirk	PROPN;NOM;SG;3	N;INDF;FEM;SG
church	kirken	church	kirk	PROPN;NOM;SG;3	N;DEF;MASC;SG
church	kirke	church	kirke	PROPN;NOM;SG;3	N;INDF;MASC;SG
ot	kjele	ot	kjele		N;INDF;MASC;SG
ot	pot	ot	pot		N;INDF;MASC;SG
ot	grass	ot	grass		N;INDF;MASC;SG
ot	gress	ot	gress		N;INDF;MASC;SG
ot	ugress	ot	ugress		N;INDF;MASC;SG
ot	weed	ot	weed		N
ot	gress	ot	gress		N;INDF;MASC;SG
everton	everton	everton	everton		N;INDF;MASC;SG
fukuoka	fukuoka	fukuoka	fukuok	PROPN;NOM;SG;3	N;DEF;FEM;SG
wagner	wagner	wagner	wagner	PROPN;NOM;SG;3	N;INDF;MASC;SG
marvel	marvel	marvel	marvel		N;INDF;MASC;SG
dikdörtgen	rektangulære	dik	rektangulær		N;INDF;FEM;SG
split	split	split	split	PROPN;NOM;SG;3	N
split	delt	split	dele	PROPN;NOM;SG;3	ADJ;INDF;NEUT;SG;V.PTCP
olympique	olympique	olympique	olympique	PROPN;NOM;SG;3	N;INDF;MASC;SG
tugay	brigaden	tugay	brigad		N;DEF;MASC;SG
tugay	brigade	tugay	brigade		N;INDF;MASC;SG
kinetik	kinetisk	kinetik	kinetisk		ADJ;INDF;NEUT;SG
öldürdü	drepte	öl	drepe	V;PFV;IND;SG;3;POS;PST;CAUS	ADJ;PL;V.PTCP
öldürdü	drept	öl	drepe	V;PFV;IND;SG;3;POS;PST;CAUS	ADJ;INDF;SG;V.PTCP
fransızlar	fransk	fransız	fransk	N;NOM;PL;3	N;INDF;MASC;SG
américa	américa	américa	américa	N;NOM;SG;3	PROPN
esen	blåser	es	blåse		N;INDF;MASC;SG
rosa	rosa	rosa	ros	PROPN;NOM;SG;3	N;DEF;FEM;SG
self	self	self	selfef		N;INDF;NEUT;SG
ein	ein	ein	ein	INTJ	DET;MASC;SG
iddiaları	påstander	iddia	påstand	N;NOM;PL;3	N;INDF;FEM;SG
bakteri	bakteriell	bakteri	bakteriell		ADJ;INDF;NEUT;SG
bakteri	bakterier	bakteri	bakterium		N;INDF;MASC;PL
bakteri	bakterie	bakteri	bakterie		N;INDF;MASC;SG
bakteri	bakterie	bakteri	bakterie		N;INDF;MASC;SG
