של	shel	של	shel	PART;GEN	N;INDF;SG
את	du	את	du	PART;ACC	PRO;HUM;NOM;SG;2
את	deg	את	du	PART;ACC	PRO;HUM;ACC;SG;2
על	angående	על	angående	ADP	N;INDF;MASC;SG
על	omtrent	על	omtrent	ADP	ADV
עם	with	עם	with	ADP	N
גם	too	גם	too	ADV	N
זה	this	זה	this	PRO;MASC;SG;3	
זה	at	זה	at	PRO;MASC;SG;3	CONJ
היא	hun	הוא	hun	PRO;FEM;SG;3	
היא	she	הוא	she	PRO;FEM;SG;3	N;INDF;SG
היה	var	היה	vere	V;MASC;SG;3;POS;PST	V;IND;PST;FIN
שיחה	ringe	שיחה	ringe	N;FEM;SG	V;IMP;NFIN
לאחר	after	לאחר	after	ADP	N;INDF;NEUT;SG
לאחר	etterpå	לאחר	etterpå	ADP	ADV
לאחר	efter	לאחר	efter	ADP	
בין	bean	בין	bean	ADP	N
בין	bønne	בין	bønne	ADP	N;INDF;MASC;SG
בין	inter	בין	inter	ADP	N
כל	alle	כול	alle	DET;PSSD	PRO;PL;3
כל	alt	כול	alt	DET;PSSD	PRO;NEUT;SG;3
כל	noen	כול	noen	DET;PSSD	
כל	any	כול	any	DET;PSSD	N;SG
כי	because	כי	because	CONJ	N;INDF;SG
יותר	fleire	יותר	mange	ADV	ADJ;CMPR
יותר	fler	יותר	fler	ADV	N;INDF;NEUT;SG
יותר	flere	יותר	flere	ADV	
יותר	mer	יותר	mer	ADV	N;INDF;MASC;SG
יותר	meir	יותר	mykje	ADV	ADJ;CMPR
יותר	mere	יותר	mere	ADV	N;INDF;MASC;SG
ישראל	israel	ישראל	israel	PROPN	N;INDF;MASC;SG
עד	till	עד	till	ADP	
עד	until	עד	until	ADP	N
יש	jippi	יש	jippi	V	N;INDF;MASC;SG
יש	hurra	יש	hurra	V	N;INDF;MASC;SG
שם	namn	שם	namn	ADV	N;INDF;NEUT;SG
שם	navnet	שם	navn	ADV	N;DEF;NEUT;SG
שם	navn	שם	navn	ADV	N;INDF;NEUT;SG
בית	beit	בית	beit	N;MASC;SG	V;IMP;PRS;FIN
בית	hjemme	בית	hjemme	N;MASC;SG	
בית	heime	בית	heime	N;MASC;SG	ADP
הם	de	הוא	de	PRO;MASC;PL;3	PRO;HUM;NOM;PL;2
הם	they	הוא	they	PRO;MASC;PL;3	N
הייתה	var	היה	vere	V;FEM;SG;3;POS;PST	V;IND;PST;FIN
אשר	asher	אשר	asher	CONJ	N;INDF;MASC;SG
אשר	escher	אשר	escher	CONJ	N;INDF;MASC;SG
אשר	usher	אשר	usher	CONJ	N;INDF;MASC;SG
אשר	hvilket	אשר	hvilk	CONJ	N;DEF;NEUT;SG
אשר	hvilken	אשר	hvilk	CONJ	N;DEF;MASC;SG
אשר	bekrefte	אשר	bekrefte	CONJ	N;INDF;FEM;SG
כמו	liker	כמו	like	ADP	V;IND;PRS;FIN
כמו	like	כמו	lik	ADP	ADJ;SG
אחד	one	אחד	one	NUM;MASC;SG	
אחד	en	אחד	en	NUM;MASC;SG	
אחד	ett	אחד	ett	NUM;MASC;SG	
אחד	én	אחד	én	NUM;MASC;SG	
שמאל	forlatt	שמאל	forlatt	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
חיצוניים	ekstern	חיצוני	ekstern	ADJ;MASC;PL	ADJ;INDF;SG
חיצוניים	eksternt	חיצוני	eksternt	ADJ;MASC;PL	ADJ;INDF;NEUT;SG
הברית	alliance	הברית	alliance	PROPN	N
הברית	allianse	הברית	allianse	PROPN	N;INDF;MASC;SG
הברית	alliansen	הברית	allianse	PROPN	N;DEF;MASC;SG
בו	ham	ב	ham	ADP	N;INDF;MASC;SG
בו	him	ב	him	ADP	N
בו	boo	ב	boo	ADP	N;INDF;MASC;SG
היו	var	היה	vere	V;PL;3;POS;PST	V;IND;PST;FIN
רק	only	רק	only	ADV	
רק	kun	רק	kun	ADV	N;INDF;NEUT;SG
רק	just	רק	just	ADV	N;INDF;MASC;SG
כאשר	when	כאשר	when	CONJ	
כאשר	når	כאשר	når	CONJ	ADV
אותו	ham	None	ham	PRO;ACC;MASC;SG;3	N;INDF;MASC;SG
אותו	him	None	him	PRO;ACC;MASC;SG;3	N
בן	ben	בן	ben	PROPN	PROPN
בן	sønn	בן	sønn	PROPN	N;INDF;MASC;SG
בן	son	בן	son	PROPN	N;INDF;MASC;SG
שלו	hans	של	hans		PRO;NEUT;SG
שלו	sin	של	sin		PRO;MASC;SG
שלו	dets	של	det		N;INDF;NEUT;SG
שלו	sine	של	sin		PRO;PL
שלו	sin	של	sin		PRO;MASC;SG
שלו	its	של	its		
שני	sekund	שני	sekund	NUM;MASC;PL	N;INDF;NEUT;SG
שני	andre	שני	annan	NUM;MASC;PL	DET;PL
שני	second	שני	second	NUM;MASC;PL	N
שני	shani	שני	shani	NUM;MASC;PL	N;INDF;MASC;SG
שני	two	שני	Two	NUM;MASC;PL	
שני	mandag	שני	mandag	NUM;MASC;PL	N;INDF;MASC;SG
לו	lew	ל	lew		N;INDF;MASC;SG
לו	lou	ל	lou		N;INDF;NEUT;SG
מה	hva	מה	hva	ADV	N;INDF;NEUT;SG
העולם	verdens	העולם	verd		N;GEN;DEF;MASC;SG
העולם	world	העולם	world		N
העולם	verden	העולם	verden		
העיר	town	העיר	town	V;MASC;SG;3;PST;ACT	PROPN
העיר	byen	העיר	by	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
העיר	by	העיר	by	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	N
העיר	byen	העיר	by	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
העיר	poststed	העיר	poststed	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	by	העיר	by	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
כן	yes	כן	yes	ADV	N;INDF;NEUT;SG
כן	ja	כן	ja	ADV	INTJ
כן	yeah	כן	yeah	ADV	N;INDF
כן	ja	כן	ja	ADV	INTJ
כן	jada	כן	jada	ADV	ADJ;INDF;NEUT;SG;V.PTCP
שנים	ar	שנה	ar	N;FEM;PL	N;INDF;MASC;SG
שנים	årevis	שנה	årevis	N;FEM;PL	ADV
שנים	år	שנה	år	N;FEM;PL	N;INDF;NEUT;SG
אף	nese	אף	nese	CONJ	N;INDF;MASC;SG
אף	nesen	אף	nesen	CONJ	N;DEF;MASC;SG
אף	nesa	אף	nesa	CONJ	N;INDF;MASC;SG
אף	eff	אף	eff	CONJ	N;INDF;MASC;SG
רבים	mangt	רב	mangt	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;SG
רבים	many	רב	many	V;MASC;PL;V.PTCP;ACT	N
