분류	מיון	분류	מיון	N	
토론	דיונים	토론	דיון		N;MASC;PL
토론	דיון	토론	דיון		N;MASC;SG
토론	דיון	토론	דיון		N;MASC;SG
토론	ויכוח	토론	ויכוח		N;MASC;SG
토론	עימות	토론	עימות		N;FEM;SG
선수	נגן	선수	נגן	N	
바깥	בחוץ	바깥	בחוץ	N	
바깥	מחוץ	바깥	מחוץ	N	
축구	פוטבול	축구	None	N	PROPN
다른	אחר	다르+ㄴ	אחר	ADJ	ADP
이후	מאז	이후	מאז	N	ADV
함께	עם	함께	עם	ADV	ADP
함께	ביחד	함께	ביחד	ADV	
또한	גם	또한	גם	CONJ	ADV
또한	וגם	또한	וגם	CONJ	
현재	נוכחית	현재	נוכחי	N	ADV
현재	נוכחי	현재	נוכחי	N	
현재	כרגע	현재	כרגע	N	ADV
현재	כיום	현재	כיום	N	ADV
현재	מתנה	현재	מתנה	N	
현재	הווה	현재	הווה	N	PROPN
현재	נוכח	현재	נוכח	N	
같이	ביחד	같이	ביחד	ADV	
사람	האדם	사람	האדם	N	
사람	בנאדם	사람	בנאדם	N	ADV
배우	השחקן	배우	השחקן	N	PROPN
일본	יפן	일본	יפן	PROPN	PROPN
일본	יפני	일본	יפני	PROPN	PROPN
일본	יפנית	일본	יפני	PROPN	PROPN
일본	יפנים	일본	יפנים	PROPN	N;MASC;PL
그의	שלו	그+의	של	PRO	
보기	צפיה	보+기	צפיה	V	
보기	צפייה	보+기	צפייה	V	N;FEM;SG
보기	צפי	보+기	None	V	
보기	צפייה	보+기	צפייה	V	N;FEM;SG
보기	צפה	보+기	צפה	V	PROPN
보기	תצוגה	보+기	תצוגה	V	N;FEM;SG
보기	הצג	보+기	הצג	V	
파일	קובץ	파일	קובץ	N	PROPN
파일	הקובץ	파일	הקובץ	N	PROPN
많은	הרבה	많+ㄴ	הרבה	ADJ	ADV
많은	רבות	많+ㄴ	רב	ADJ	N;FEM;PL
많은	רבים	많+ㄴ	רב	ADJ	V;MASC;PL;V.PTCP;ACT
다시	בחזרה	다시	בחזרה	ADV	
리그	הליגה	리그	הליגה	N	
통해	דרך	통하+어	דרך	CONJ	
모두	כולם	모두	None	ADV	N;MASC;PL
모두	הכל	모두	הכיל	ADV	N
모두	כל	모두	כול	ADV	DET;PSSD
모두	כולם	모두	None	ADV	N;MASC;PL
클럽	קלאב	클럽	קלאב		PROPN
클럽	מועדון	클럽	מועדון		N;MASC;SG
클럽	המועדון	클럽	המועדון		PROPN
클럽	תלתן	클럽	תלתן		PROPN
클럽	מועדונים	클럽	מועדון		N;MASC;PL
공식	הנוסחה	공식	הנוסחה	N	PROPN
공식	פורמולה	공식	פורמולה	N	PROPN
공식	רשמי	공식	רשמי	N	ADJ;MASC;SG
공식	רישמי	공식	רישמי	N	PROPN
세기	מאות	세기	מאות	N	NUM;FEM;PL
세기	המאה	세기	המאה	N	
방송	השידור	방송	השידור	N	PROPN
세계	העולם	세계	העולם	N	
작품	עובד	작품	עובד	N	PROPN
게임	המשחק	게임	המשחק	N	PROPN
감독	ביים	감독	ביים	N	PROPN
웹사이트	אתר	웹사이트	אתר		N;MASC;SG
웹사이트	אתרים	웹사이트	אתר		N;MASC;PL
관련	רלוונטיים	관련	רלוונטיים	N	ADJ;MASC;PL
관련	רלוונטית	관련	רלוונטי	N	ADJ;FEM;SG
관련	רלוונטי	관련	רלוונטי	N	ADJ;MASC;SG
관련	קשורות	관련	קשר	N	V;FEM;PL;V.PTCP;ACT
관련	קשור	관련	קשר	N	V;MASC;SG;V.PTCP;ACT
관련	קשורה	관련	קשר	N	V;FEM;SG;V.PTCP;ACT
관련	קשורים	관련	קשר	N	V;MASC;PL;V.PTCP;ACT
시즌	עונה	시즌	עונה		N;FEM;SG
시즌	העונה	시즌	העונה		ADV
시즌	עונות	시즌	עונה		N;FEM;PL
드라마	דרמה	드라마	דרמה		N;FEM;SG
사용자	משתמש	사용자	השתמש	N	V;MASC;SG;V.PTCP
사용자	המשתמש	사용자	המשתמש	N	V;MASC;SG;3;PST;ACT
사용자	משתמשים	사용자	השתמש	N	V;MASC;PL;V.PTCP
참고	הערה	참+고	הערה		ADV
참고	המלצות	참+고	המלצה		N;FEM;PL
참고	הפניות	참+고	הפניה		N;FEM;PL
참고	התייחסות	참+고	התייחסות		N;FEM;SG
설립	נוסדה	설립	נוסד	N	V;FEM;SG;3;PST;MID
설립	נוסד	설립	נוסד	N	V;MASC;SG;3;PST;MID
설립	מבוסס	설립	None	N	V;MASC;SG;V.PTCP
설립	הוקם	설립	הוקם	N	V;MASC;SG;3;PST;PASS
설립	הוקמה	설립	הוקם	N	V;FEM;SG;3;PST;PASS
참가	השתתפו	참가	השתתף	N	V;PL;3;PST
참가	השתתפה	참가	השתתף	N	V;FEM;SG;3;PST
참가	השתתפתי	참가	השתתף	N	V;SG;1;PST
참가	השתתף	참가	השתתף	N	V;MASC;SG;3;PST
연도	שנת	연도	שנה		N;PSSD;FEM;SG
연도	שנה	연도	שנה		N;FEM;SG
경기	המשחק	경기	המשחק	N	PROPN
서울	סיאול	서울	סיאול	PROPN	PROPN
경기장	האצטדיון	경기장	האצטדיון	N	PROPN
특히	בייחוד	특히	בייחוד	ADV	
특히	ובמיוחד	특히	ובמיוחד	ADV	PROPN
위키백과	ויקיפדיה	위키백+과	ויקיפדיה	CONJ	PROPN
위키백과	לויקיפדיות	위키백+과	לויקיפדי	CONJ	N
위치	עמדה	위치	עמדה		N;FEM;SG
위치	משרה	위치	משרה		N;FEM;SG
위치	העמדה	위치	העמדה		N;FEM;SG
위치	המיקום	위치	המיקום		N;MASC;SG
위치	מיקום	위치	מיקום		N;MASC;SG
위치	מיקומים	위치	מיקומים		N;MASC;PL
대학교	המכללה	대학교	המכללה	N	
문서	התיעוד	문서	התיעוד	N	PROPN
