של	شيل	של	شيل	PART;GEN	
את	انت	את	أَنتَى	PART;ACC	
את	انتي	את	أَنتِي	PART;ACC	
על	بشان	על	بشان	ADP	N;NOM;INDF;SG
על	بخصوص	על	بخصوص	ADP	N;NOM;INDF;SG
עם	w	עם	!	ADP	
גם	كمان	גם	كَمَان	ADV	
זה	هذا	זה	هٰذَا	PRO;MASC;SG;3	DET;NOM;MASC;SG
זה	هذه	זה	هٰذَا	PRO;MASC;SG;3	DET;NOM;FEM;SG
זה	هذا	זה	هٰذَا	PRO;MASC;SG;3	DET;NOM;MASC;SG
זה	ذلك	זה	ذلك	PRO;MASC;SG;3	
היא	انها	הוא	انها	PRO;FEM;SG;3	
שיחה	اتصل	שיחה	اِتَّصَل	N;FEM;SG	
לאחר	بعدما	לאחר	بَعدَمَا	ADP	CONJ
בין	الفول	בין	فُول	ADP	N;NOM;DEF;SG
בין	الانتر	בין	إِنتَر	ADP	
בין	انتر	בין	إِنتَر	ADP	
כל	كلهم	כול	كلهم	DET;PSSD	
כל	كله	כול	كٰلِهَ	DET;PSSD	
כל	جميع	כול	جَمِيع	DET;PSSD	N;NOM;INDF;SG
כל	كل	כול	كُلّ	DET;PSSD	N;NOM;INDF;SG
כל	الكل	כול	كُلّ	DET;PSSD	
כל	اي	כול	أَي	DET;PSSD	CONJ
כל	اية	כול	أَيّ	DET;PSSD	ADJ;NOM;INDF;FEM;SG
כי	لان	כי	لِأَنَّ	CONJ	CONJ
כי	لانه	כי	لانه	CONJ	
כי	عشان	כי	عشان	CONJ	
כי	لانني	כי	لانني	CONJ	N;NOM;DEF;SG
כי	بسبب	כי	بسبب	CONJ	N;NOM;INDF;SG
כי	لاني	כי	لاني	CONJ	
יותר	المزيد	יותר	مَزِيد	ADV	N;NOM;DEF;SG
יותר	اكتر	יותר	أَكتَر	ADV	
יותר	اكثر	יותר	أَكثَر	ADV	ADJ;NOM;INDF;MASC;SG
יותר	مزيد	יותר	مَزِيد	ADV	N;NOM;INDF;SG
ישראל	اسرائيل	ישראל	إِسرَائِيل	PROPN	N;NOM;INDF;SG
אך	لكن	אך	لكن	CONJ	
אך	بس	אך	بِسّ	CONJ	
אך	ولكن	אך	ولكن	CONJ	
עד	حتى	עד	حَتَّى	ADP	ADV
יש	ياي	יש	يَاي	V	
שם	اسم	שם	اِسم	ADV	N;NOM;INDF;SG
שם	الاسم	שם	اِسم	ADV	N;NOM;DEF;SG
בית	هاوس	בית	هاوس	N;MASC;SG	
הם	انهم	הוא	اِنهَمّ	PRO;MASC;PL;3	
אשר	ايهما	אשר	ايهما	CONJ	
אשר	الذي	אשר	اَلَّذِي	CONJ	DET;NOM;MASC;SG
אשר	والذي	אשר	والذي	CONJ	N;NOM;DEF;SG
אשר	تاكيد	אשר	تَأكِيد	CONJ	N;NOM;INDF;SG
אשר	التاكيد	אשר	التاكيد	CONJ	N;NOM;DEF;SG
אשר	اكد	אשר	أَكَّد	CONJ	V;PFV;MASC;SG;3;ACT
כמו	لايك	כמו	لَايك	ADP	
אחד	احد	אחד	أَحَد	NUM;MASC;SG	N;NOM;INDF;SG
אחד	واحدة	אחד	وَاحِد	NUM;MASC;SG	ADJ;NOM;INDF;FEM;SG
אחד	واحد	אחד	وَاحِد	NUM;MASC;SG	ADJ;NOM;INDF;MASC;SG
אחד	واحده	אחד	واحده	NUM;MASC;SG	PRO;NOM;MASC;SG;3
שמאל	يسار	שמאל	سَار	N;MASC;SG	
חיצוניים	الخارجية	חיצוני	خَارِجِيَّة	ADJ;MASC;PL	N;NOM;DEF;SG
חיצוניים	خارجي	חיצוני	خَارِجِيّ	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
חיצוניים	خارجية	חיצוני	خَارِجِيَّة	ADJ;MASC;PL	N;NOM;INDF;SG
