periferia	predmestja	periferia	predmestje	N;FEM;SG	N;NOM;NEUT;PL
cranio	lobanje	cranio	lobanje	N;MASC;SG	N;NOM;FEM;PL
iscritto	vpisali	iscritto	vpisati	N;MASC;SG	V;PFV;MASC;PL;V.PTCP
iscritto	vpisal	iscritto	vpisati	N;MASC;SG	V;PFV;MASC;SG;V.PTCP
iscritto	vpisan	iscritto	vpisan	N;MASC;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
iscritto	vključenih	iscritto	vključen	N;MASC;SG	ADJ;GEN;MASC;PL;V.PTCP
que	que	que	que	ADJ;SG	
cosenza	cosenza	cosenza	cosenza	N;FEM;SG	PROPN;NOM;MASC;SG
borgogna	bourgogne	borgogna	bourgogen	N;FEM;SG	
orizzontale	horizontalno	orizzontale	horizontalen	ADJ;SG	ADV
orizzontale	vodoravno	orizzontale	vodoravno	ADJ;SG	ADV
catturare	zajetje	catturare	zajetje	V;NFIN	N;NOM;NEUT;SG
catturare	zajemanje	catturare	zajemanje	V;NFIN	N;NOM;NEUT;SG
catturare	zajemanje	catturare	zajemanje	V;NFIN	N;NOM;NEUT;SG
strati	plast	strato	plast	N;MASC;PL	N;NOM;FEM;SG
strati	sloj	strato	sloj	N;MASC;PL	N;NOM;MASC;SG
campana	campana	campana	campan	N;FEM;SG	PROPN;NOM;MASC;SG
tombe	graves	tomba	graves	N;FEM;PL	N;NOM;MASC;SG
studia	študija	studiare	študij	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
ricostruita	obnovljene	ricostruire	obnovljen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
ricostruita	rekonstruirani	ricostruire	rekonstruiran	V;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;PL
ricostruita	obnovljena	ricostruire	obnovljen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
gambe	nogi	gamba	noga	N;FEM;PL	N;NOM;FEM;DU
puro	čist	puro	čist	ADJ;MASC;SG	
miles	miles	miles	miles	N	
olandesi	nizozemsko	olandese	nizozemski	N;PL	ADJ;NOM;NEUT;SG
olandesi	nizozemski	olandese	nizozemski	N;PL	ADJ;NOM;MASC;SG
var	var	vario	vara		N;NOM;MASC;SG
anziani	starejših	anziano	star	N;MASC;PL	ADJ;GEN;CMPR;MASC;PL
anziani	starejši	anziano	star	N;MASC;PL	ADJ;NOM;DEF;CMPR;MASC;SG
anziani	starejše	anziano	star	N;MASC;PL	ADJ;NOM;CMPR;FEM;SG
intellettuale	intelektualne	intellettuale	intelektualen	ADJ;SG	ADJ;NOM;FEM;PL
marittima	pomorske	marittimo	pomorski	ADJ;FEM;SG	ADJ;NOM;FEM;PL
full	poln	full	poln	N	ADJ;NOM;INDF;MASC;SG
full	polno	full	polno	N	ADV
full	polni	full	poln	N	ADJ;NOM;MASC;PL
full	polna	full	poln	N	ADJ;NOM;FEM;SG
classiche	klasike	classico	klasika	ADJ;FEM;PL	N;NOM;FEM;PL
classiche	klasika	classico	klasika	ADJ;FEM;PL	N;NOM;FEM;SG
classiche	klasično	classico	klasičen	ADJ;FEM;PL	ADV
classiche	klasična	classico	klasičen	ADJ;FEM;PL	ADJ;NOM;FEM;SG
classiche	klasičen	classico	klasičen	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
classiche	klasični	classico	klasičen	ADJ;FEM;PL	ADJ;NOM;MASC;SG
batterie	baterija	batteria	baterija	N;FEM;PL	N;NOM;FEM;SG
