של	шел	של	идти	PART;GEN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
את	тебя	את	ты	PART;ACC	PRO;ACC;SG;2
את	you	את	you	PART;ACC	PROPN
את	вы	את	вы	PART;ACC	PRO;NOM;PL;2
את	ты	את	ты	PART;ACC	PRO;NOM;SG;2
על	about	על	about	ADP	PROPN
על	о	על	о	ADP	INTJ
קטגוריה	категории	קטגוריה	категория	N;FEM;SG	N;INAN;NOM;FEM;PL
עם	with	עם	with	ADP	PROPN
גם	тоже	גם	тоже	ADV	PART
זה	this	זה	this	PRO;MASC;SG;3	PROPN
זה	эта	זה	этот	PRO;MASC;SG;3	DET;NOM;FEM;SG
זה	этот	זה	этот	PRO;MASC;SG;3	DET;NOM;MASC;SG
זה	that	זה	that	PRO;MASC;SG;3	PROPN
היא	she	הוא	she	PRO;FEM;SG;3	PROPN
היה	была	היה	быть	V;MASC;SG;3;POS;PST	V;IPFV;FEM;IND;SG;PST;FIN;ACT
שיחה	звоните	שיחה	звонить	N;FEM;SG	V;IPFV;IMP;PL;2;FIN;ACT
שיחה	позвонить	שיחה	звонить	N;FEM;SG	V;PFV;NFIN;ACT
לאחר	after	לאחר	after	ADP	PROPN
בין	фасоль	בין	фасоль	ADP	N;INAN;NOM;FEM;SG
בין	бобы	בין	боб	ADP	N;INAN;NOM;MASC;PL
בין	бин	בין	бин	ADP	PART
כל	всем	כול	все	DET;PSSD	PRO;ANIM;DAT;PL
כל	всех	כול	все	DET;PSSD	PRO;ANIM;ACC;PL
כל	all	כול	all	DET;PSSD	PROPN
כל	все	כול	все	DET;PSSD	PRO;INAN;NOM;NEUT;SG
ישראל	израиль	ישראל	израиль	PROPN	N;INAN;NOM;MASC;SG
יש	ура	יש	ура	V	
שם	имя	שם	имя	ADV	N;INAN;NOM;NEUT;SG
שם	название	שם	название	ADV	N;INAN;NOM;NEUT;SG
בית	дома	בית	дома	N;MASC;SG	ADV
בית	домой	בית	домой	N;MASC;SG	ADV
בית	домашний	בית	домашний	N;MASC;SG	ADJ;NOM;MASC;SG
בית	home	בית	home	N;MASC;SG	PROPN
בית	house	בית	house	N;MASC;SG	PROPN
בית	хауз	בית	хауз	N;MASC;SG	
בית	хаус	בית	хаус	N;MASC;SG	INTJ
הייתה	была	היה	быть	V;FEM;SG;3;POS;PST	V;IPFV;FEM;IND;SG;PST;FIN;ACT
אשר	ашер	אשר	ашер	CONJ	PART
אשר	эшер	אשר	эшер	CONJ	N;ANIM;NOM;MASC;SG
אשר	ашер	אשר	ашер	CONJ	PART
אשר	которое	אשר	который	CONJ	PRO;NOM
אשר	которая	אשר	который	CONJ	PRO;NOM
אשר	которые	אשר	который	CONJ	PRO;NOM
אשר	который	אשר	который	CONJ	PRO;NOM
אשר	подтвердите	אשר	подтвердить	CONJ	V;PFV;IMP;PL;2;FIN;ACT
אשר	подтвердить	אשר	подтвердить	CONJ	V;PFV;NFIN;ACT
אשר	подтверждение	אשר	подтверждение	CONJ	N;INAN;NOM;NEUT;SG
כמו	нравится	כמו	нравиться	ADP	V;IPFV;IND;SG;3;PRS;FIN;MID
כמו	like	כמו	like	ADP	PROPN
כמו	как	כמו	как	ADP	CONJ
אחד	одна	אחד	один	NUM;MASC;SG	DET;NOM;FEM;SG
אחד	one	אחד	one	NUM;MASC;SG	PROPN
אחד	одно	אחד	один	NUM;MASC;SG	DET;NOM;NEUT;SG
שמאל	левой	שמאל	левый	N;MASC;SG	ADJ;INS;FEM;SG
שמאל	слева	שמאל	слева	N;MASC;SG	ADV
שמאל	налево	שמאל	налево	N;MASC;SG	ADV
שמאל	осталось	שמאל	остаться	N;MASC;SG	V;PFV;NEUT;IND;SG;PST;FIN;MID
שמאל	оставил	שמאל	оставить	N;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
חיצוניים	внешнее	חיצוני	внешний	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
חיצוניים	внешняя	חיצוני	внешний	ADJ;MASC;PL	ADJ;NOM;FEM;SG
חיצוניים	внешний	חיצוני	внешний	ADJ;MASC;PL	ADJ;NOM;MASC;SG
הברית	альянс	הברית	альянс	PROPN	N;INAN;NOM;MASC;SG
בו	его	ב	он	ADP	PRO;ACC;MASC;SG;3
בו	ему	ב	он	ADP	PRO;DAT;MASC;SG;3
בו	бу	ב	бу	ADP	N;INAN;NOM;MASC;SG
רק	только	רק	только	ADV	PART
רק	просто	רק	просто	ADV	PART
רק	только	רק	только	ADV	PART
כאשר	when	כאשר	when	CONJ	PROPN
אותו	ему	None	он	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
בן	бэн	בן	бэн	PROPN	N;INAN;NOM;MASC;SG
בן	бен	בן	бен	PROPN	PART
בן	сынок	בן	сынок	PROPN	N;ANIM;NOM;MASC;SG
בן	сын	בן	сын	PROPN	N;ANIM;NOM;MASC;SG
שלו	его	של	он		PRO;ACC;MASC;SG;3
שני	секунда	שני	секунда	NUM;MASC;PL	N;INAN;NOM;FEM;SG
שני	второй	שני	второй	NUM;MASC;PL	ADJ;NOM;MASC;SG
שני	вторая	שני	второй	NUM;MASC;PL	ADJ;NOM;FEM;SG
שני	второе	שני	второй	NUM;MASC;PL	ADJ;NOM;NEUT;SG
שני	шани	שני	шани	NUM;MASC;PL	N;INAN;NOM;MASC;SG
שני	понедельник	שני	понедельник	NUM;MASC;PL	N;INAN;NOM;MASC;SG
לו	лью	ל	лия		INTJ
לו	лу	ל	лу		PART
מה	что	מה	что	ADV	PRO;NOM
מה	какие	מה	какой	ADV	DET;NOM;PL
מה	какая	מה	какой	ADV	DET;NOM;FEM;SG
מה	какой	מה	какой	ADV	DET;NOM;MASC;SG
העולם	world	העולם	world		PROPN
העולם	мир	העולם	мир		N;INAN;NOM;MASC;SG
העיר	town	העיר	town	V;MASC;SG;3;PST;ACT	PROPN
העיר	город	העיר	город	V;MASC;SG;3;PST;ACT	N;INAN;NOM;MASC;SG
העיר	городок	העיר	городок	V;MASC;SG;3;PST;ACT	N;INAN;NOM;MASC;SG
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	PROPN
העיר	город	העיר	город	V;MASC;SG;3;PST;ACT	N;INAN;NOM;MASC;SG
העיר	города	העיר	город	V;MASC;SG;3;PST;ACT	N;INAN;NOM;MASC;PL
כן	да	כן	да	ADV	PART
כן	ага	כן	ага	ADV	
שנים	years	שנה	years	N;FEM;PL	PROPN
אף	нос	אף	нос	CONJ	N;INAN;NOM;MASC;SG
אף	носом	אף	нос	CONJ	N;INAN;INS;MASC;SG
רבים	многих	רב	много	V;MASC;PL;V.PTCP;ACT	NUM
רבים	много	רב	много	V;MASC;PL;V.PTCP;ACT	ADV
רבים	многим	רב	много	V;MASC;PL;V.PTCP;ACT	NUM
רבים	многие	רב	много	V;MASC;PL;V.PTCP;ACT	NUM
רבים	множественное	רב	множественный	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;NEUT;SG
בה	ее	ב	она		PRO;ACC;FEM;SG;3
בה	ей	ב	она		PRO;DAT;FEM;SG;3
בה	её	ב	она		PRO;ACC;FEM;SG;3
אביב	spring	אביב	spring	N;MASC;SG	PROPN
אביב	весенний	אביב	весенний	N;MASC;SG	ADJ;NOM;MASC;SG
במאי	май	במאי	май	N;MASC;SG	
במאי	майские	במאי	майский	N;MASC;SG	ADJ;NOM;PL
שנה	годы	שנה	год	N;FEM;SG	N;INAN;ACC;MASC;PL
שנה	лет	שנה	год	N;FEM;SG	N;INAN;GEN;MASC;PL
שנה	years	שנה	years	N;FEM;SG	PROPN
הערות	отмечает	הערה	отмечать	N;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
חלק	частично	חלק	частично	N;MASC;SG	ADV
חלק	гладко	חלק	гладкий	N;MASC;SG	ADJ;NEUT;SG
לפני	прежде	לפני	прежде	ADP	ADV
אחת	одна	אחת	один	NUM;FEM;SG	DET;NOM;FEM;SG
אחת	one	אחת	one	NUM;FEM;SG	PROPN
אחת	одно	אחת	один	NUM;FEM;SG	DET;NOM;NEUT;SG
ביולי	июль	ביולי	июль	PROPN	N;INAN;NOM;MASC;SG
שוליים	грань	שול	грань	N;MASC;PL	N;INAN;NOM;FEM;SG
באוקטובר	октябрь	באוקטובר	октябрь	PROPN	N;INAN;NOM;MASC;SG
באוקטובר	октября	באוקטובר	октябрь	PROPN	N;INAN;GEN;MASC;SG
באוקטובר	октябрь	באוקטובר	октябрь	PROPN	N;INAN;NOM;MASC;SG
באוקטובר	октября	באוקטובר	октябрь	PROPN	N;INAN;GEN;MASC;SG
