शोधकर्ता	výskumník	शोधकर्ता	výskumník	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
रॉबिन	robin	रॉबिन	robin	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
बैंगनी	fialová	बैंगनी	fialový		ADJ;NOM;FEM;SG
बैंगनी	fialové	बैंगनी	fialový		ADJ;NOM;NEUT;SG
बैंगनी	fialky	बैंगनी	fialka		N;NOM;FEM;PL
बैंगनी	fialová	बैंगनी	fialový		ADJ;NOM;FEM;SG
बैंगनी	fialové	बैंगनी	fialový		ADJ;NOM;NEUT;SG
बैंगनी	violet	बैंगनी	violet		PROPN;NOM;FEM;SG
व्यू	vrátnik	व्यू	vrátnik	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
बीजिंग	peking	बीजिंग	peking	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बीजिंग	pekingu	बीजिंग	peking	PROPN;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
स्वैच्छिक	dobrovoľné	स्वैच्छिक	dobrovoľný	PROPN;NOM	ADJ;NOM;NEUT;SG
स्वैच्छिक	dobrovoľná	स्वैच्छिक	dobrovoľný	PROPN;NOM	ADJ;NOM;FEM;SG
स्वैच्छिक	dobrovoľný	स्वैच्छिक	dobrovoľný	PROPN;NOM	ADJ;ANIM;NOM;MASC;SG
फोटोग्राफी	fotografie	फोटोग्राफी	fotografia	N;NOM;FEM;SG;3	N;NOM;FEM;PL
प्रौढ़	dospelý	प्रौढ़	dospelý		ADJ;ANIM;NOM;MASC;SG
प्रौढ़	dospelých	प्रौढ़	dospelý		N;ANIM;GEN;MASC;PL
प्रौढ़	dospelé	प्रौढ़	dospelý		ADJ;NOM;NEUT;SG
प्रौढ़	dospelí	प्रौढ़	dospeliť		ADJ;ANIM;NOM;MASC;PL
कैलिफ़ोर्निया	kalifornii	कैलिफ़ोर्निया	kalifornie	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
कैलिफ़ोर्निया	california	कैलिफ़ोर्निया	californie	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
कैलिफ़ोर्निया	kalifornia	कैलिफ़ोर्निया	kalifornie	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
धड़	trupu	धड़	trup	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
कैलगरी	calgary	कैलगरी	calgar	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
महलों	paláce	महल	palác	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
वार्तालाप	konverzácie	वार्तालाप	konverzácia	N;NOM;FEM;SG;3	N;NOM;FEM;PL
वार्तालाप	konverzáciu	वार्तालाप	konverzácia	N;NOM;FEM;SG;3	N;ACC;FEM;SG
वार्तालाप	rozhovory	वार्तालाप	rozhovor	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
वार्तालाप	konverzácie	वार्तालाप	konverzácia	N;NOM;FEM;SG;3	N;NOM;FEM;PL
बुद्धिमान	inteligentné	बुद्धिमान	inteligentný	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
बुद्धिमान	inteligentná	बुद्धिमान	inteligentný	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
बुद्धिमान	inteligentný	बुद्धिमान	inteligentný	N;NOM;MASC;SG;3	ADJ;ANIM;NOM;MASC;SG
उभरते	vznikajúce	उभर	vznikajúci	V;IPFV;MASC;PL;V.PTCP;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
फोकस	sústrediť	फोकस	sústrediť		V;PFV;POS;NFIN
फोकस	zameranie	फोकस	zameranie		N;NOM;NEUT;SG
फोकस	sústredenie	फोकस	sústredenie		N;NOM;NEUT;SG
वर्चस्व	dominoval	वर्चस्व	dominovať	N;NOM;MASC;SG;3	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
रुझान	trendy	रुझान	trend	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
रुझान	tendencie	रुझान	tendencia	N;NOM;MASC;SG;3	N;NOM;FEM;PL
रुझान	populárne	रुझान	populárne	N;NOM;MASC;SG;3	ADV
वेशभूषा	kostým	वेशभूषा	kostým	N;NOM;FEM;SG;3	ADJ;INS;MASC;SG
वेशभूषा	kostýmy	वेशभूषा	kostým	N;NOM;FEM;SG;3	ADJ;INS;MASC;PL
भागीदार	účastníkov	भागीदार	účastník	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;PL
भागीदार	účastníkmi	भागीदार	účastník	N;NOM;MASC;SG;3	N;ANIM;INS;MASC;PL
भागीदार	účastníci	भागीदार	účastník	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
भागीदार	účastníka	भागीदार	účastník	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
स्पेंसर	spencer	स्पेंसर	spencer	N;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
अस्पतालों	nemocnice	अस्पताल	nemocnica	N;ACC;MASC;PL;3	N;NOM;FEM;PL
अस्पतालों	nemocníc	अस्पताल	nemocníca	N;ACC;MASC;PL;3	N;GEN;FEM;PL
वान	dodávka	वान	dodávka	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
वान	van	वान	van	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
वान	dodávku	वान	dodávka	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
तुर्कमेनिस्तान	turkménsko	तुर्कमेनिस्तान	turkménsko	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
देखिए	pozri	देखिया	pozrieť	V;SBJV;SG;FIN;ACT	V;PFV;IMP;SG;2;POS;FIN
देखिए	vidíš	देखिया	vidieť	V;SBJV;SG;FIN;ACT	V;IPFV;IND;SG;2;POS;PRS;FIN
