krans	آرائشی	krans	آرائشی	N;MASC+FEM;SG	ADJ
netto	پیکنگ	netto	پیکنگ	N;MASC+FEM;SG	
netto	شبکہ.	netto	شبکہ.	N;MASC+FEM;SG	
netto	پھانسنا.	netto	پھانسنا.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
netto	(	netto	(	N;MASC+FEM;SG	
netto	ڈوریوں	netto	ڈوری	N;MASC+FEM;SG	N;ACC;MASC;PL;3
netto	پیکنگ	netto	پیکنگ	N;MASC+FEM;SG	
netto	شبکہ.	netto	شبکہ.	N;MASC+FEM;SG	
netto	پھانسنا.	netto	پھانسنا.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
netto	(	netto	(	N;MASC+FEM;SG	
netto	ڈوریوں	netto	ڈوری	N;MASC+FEM;SG	N;ACC;MASC;PL;3
rem	جھاڑی	rem	جھاڑی	N;MASC+FEM;SG	ADJ
rem	سرخس	rem	سرخس	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bijlage	تعلیقہ.	bijlage	تعلیقہ.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bijlage	تعلیقہ.	bijlage	تعلیقہ.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bijlage	ضمیمہ	bijlage	ضمیمہ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bijlage	نسبت.	bijlage	نسبت.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
bijlage	لگائو	bijlage	لگا	N;MASC+FEM;SG	
bijlage	ہتھیانا.	bijlage	ہتھیانا	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
gesorteerd	متفرق.	sorteren	متفرق.	V;V.PTCP	ADJ
gesorteerd	متنوع	sorteren	متنوع	V;V.PTCP	ADJ
gesorteerd	متوافق	sorteren	متوافق	V;V.PTCP	ADJ
belediging	خرابی.	belediging	خرابی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
belediging	خرابی.	belediging	خرابی.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
belediging	ہتک	belediging	ہتک	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
spy	جاسوس	spy	جاسوس		PROPN;NOM;MASC;SG;3
spy	مخبر	spy	مخبر		PROPN;NOM;MASC;SG;3
symboliek	علامتیت.	symboliek	علامتیت.	N;MASC+FEM;SG	PROPN;NOM;MASC;SG;3
