кратеров	kraattereita	кратер	kraatteri	N;INAN;GEN;MASC;PL	N;PRT;PL
тан	tang	тан	tang	PART	N;NOM;SG
спектр	taajuuksien	спектр	taajuus	N;INAN;NOM;MASC;SG	N;GEN;PL
курт	kurt	курт	kurra	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
курт	curt	курт	curt	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
ширину	leveys	ширина	leveys	N;INAN;ACC;FEM;SG	N;NOM;SG
нации	kansakunta	нация	kansa#kunta	N;INAN;NOM;FEM;PL	N;NOM;SG
джин	jin	джин	jin	PART	PROPN;NOM;SG
джин	gin	джин	gin	PART	N;NOM;SG
джин	giniä	джин	gini	PART	N;PRT;SG
джин	jean	джин	jeka	PART	
джин	gene	джин	gene	PART	PROPN;NOM;SG
джин	geeni	джин	geeni	PART	N;NOM;SG
продано	myi	продать	myydä	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;SG;3;PST;FIN;ACT
продано	myydään	продать	myydä	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;PRS;FIN;PASS
мощный	voimakasta	мощный	voimakas	ADJ;NOM;MASC;SG	ADJ;PRT;SG
мощный	voimakkaita	мощный	voimakas	ADJ;NOM;MASC;SG	ADJ;PRT;PL
кругах	ympyrää	круг	ympyrä	N;INAN;ESS;MASC;PL	N;PRT;SG
кругах	piireissä	круг	piireä	N;INAN;ESS;MASC;PL	N;IN+ESS;PL
записать	levy	записать	levy	V;PFV;NFIN;ACT	N;NOM;SG
записать	kirjataan	записать	kirjata	V;PFV;NFIN;ACT	V;IND;PRS;FIN;PASS
записать	ennätys	записать	ennätys	V;PFV;NFIN;ACT	N;NOM;SG
испанская	espanjan	испанский	espanja	ADJ;NOM;FEM;SG	N;GEN;SG
испанская	espanjalaiset	испанский	espanja#lainen	ADJ;NOM;FEM;SG	N;NOM;PL
испанская	espanja	испанский	espanja	ADJ;NOM;FEM;SG	N;NOM;SG
испанская	espanjaa	испанский	espanja	ADJ;NOM;FEM;SG	N;PRT;SG
комплексы	komplekseja	комплекс	kompleksi	N;INAN;NOM;MASC;PL	N;PRT;PL
мол	mal	мол	mal	ADV	INTJ
мол	mol	мол	mol	ADV	N;NOM;SG
льда	jää	лед	jäädä	N;INAN;GEN;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
льда	jäitä	лед	jää	N;INAN;GEN;MASC;SG	N;PRT;PL
льда	jäät	лед	jää	N;INAN;GEN;MASC;SG	N;NOM;PL
льда	jäätä	лед	jää	N;INAN;GEN;MASC;SG	N;PRT;SG
северные	pohjoinen	северный	pohjoinen	ADJ;NOM;PL	N;NOM;SG
северные	pohjois	северный	pohjois	ADJ;NOM;PL	N;NOM;SG
сопровождении	saatettiin	сопровождение	saattaa	N;INAN;ESS;NEUT;SG	V;IND;PST;FIN;PASS
зимний	talven	зимний	talvi	ADJ;NOM;MASC;SG	N;GEN;SG
зимний	talvi	зимний	talvi	ADJ;NOM;MASC;SG	N;NOM;SG
зимний	winter	зимний	winter	ADJ;NOM;MASC;SG	
зимний	talvella	зимний	talvi	ADJ;NOM;MASC;SG	N;AT+ESS
;SG
институты	toimielimiin	институт	toimi#elin	N;INAN;NOM;MASC;PL	N;IN+ALL;PL
институты	toimielimiä	институт	toimi#elin	N;INAN;NOM;MASC;PL	N;PRT;PL
институты	toimielinten	институт	toimi#elin	N;INAN;NOM;MASC;PL	N;GEN;PL
немецкое	saksaa	немецкий	saksa	ADJ;NOM;NEUT;SG	N;PRT;SG
немецкое	saksa	немецкий	saksa	ADJ;NOM;NEUT;SG	PROPN;NOM;SG
немецкое	saksaksi	немецкий	saksa	ADJ;NOM;NEUT;SG	N;TRANS;SG
немецкое	saksan	немецкий	saksa	ADJ;NOM;NEUT;SG	N;GEN;SG
